#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.SINR
#  Description: Center Cell DL SINR distribution [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 47.9037261
#  Maximum: 56.4323598
#  Trials: 320
#  Mean: 52.2394574
# 
#  Variance: 6.0540575
#  Relative variance: 0.0022184
#  Coefficient of variation: 0.0471004
#  Standard deviation: 2.4604994
#  Relative standard deviation: 0.0471004
# 
#  Skewness: 0.0229447
# 
#  2nd moment: 2734.9960446
#  3rd moment: 143505.5957881
# 
#  Sum of all values: 16716.6263575
#  (Sum of all values)^2: 875198.7342808
#  (Sum of all values)^3: 45921790.6522077
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -50
#  Right border of x-axis: 100
#  Resolution of x-axis: 150
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 48.1466667
#  P02: 48.3600000
#  P03: 48.5733333
#  P04: 48.7866667
#  P05: 49.0000000
#  P06: 49.0438356
#  P07: 49.0876712
#  P08: 49.1315068
#  P09: 49.1753425
#  P10: 49.2191781
#  P11: 49.2630137
#  P12: 49.3068493
#  P13: 49.3506849
#  P14: 49.3945205
#  P15: 49.4383562
#  P16: 49.4821918
#  P17: 49.5260274
#  P18: 49.5698630
#  P19: 49.6136986
#  P20: 49.6575342
#  P21: 49.7013699
#  P22: 49.7452055
#  P23: 49.7890411
#  P24: 49.8328767
#  P25: 49.8767123
#  P26: 49.9205479
#  P27: 49.9643836
#  P28: 50.0098361
#  P29: 50.0622951
#  P30: 50.1147541
#  P31: 50.1672131
#  P32: 50.2196721
#  P33: 50.2721311
#  P34: 50.3245902
#  P35: 50.3770492
#  P36: 50.4295082
#  P37: 50.4819672
#  P38: 50.5344262
#  P39: 50.5868852
#  P40: 50.6393443
#  P41: 50.6918033
#  P42: 50.7442623
#  P43: 50.7967213
#  P44: 50.8491803
#  P45: 50.9016393
#  P46: 50.9540984
#  P47: 51.0400000
#  P48: 51.3600000
#  P49: 51.6800000
#  P50: 52.0000000
#  P51: 53.0060606
#  P52: 53.1030303
#  P53: 53.2000000
#  P54: 53.2969697
#  P55: 53.3939394
#  P56: 53.4909091
#  P57: 53.5878788
#  P58: 53.6848485
#  P59: 53.7818182
#  P60: 53.8787879
#  P61: 53.9757576
#  P62: 54.0333333
#  P63: 54.0777778
#  P64: 54.1222222
#  P65: 54.1666667
#  P66: 54.2111111
#  P67: 54.2555556
#  P68: 54.3000000
#  P69: 54.3444444
#  P70: 54.3888889
#  P71: 54.4333333
#  P72: 54.4777778
#  P73: 54.5222222
#  P74: 54.5666667
#  P75: 54.6111111
#  P76: 54.6555556
#  P77: 54.7000000
#  P78: 54.7444444
#  P79: 54.7888889
#  P80: 54.8333333
#  P81: 54.8777778
#  P82: 54.9222222
#  P83: 54.9666667
#  P84: 55.0166667
#  P85: 55.0833333
#  P86: 55.1500000
#  P87: 55.2166667
#  P88: 55.2833333
#  P89: 55.3500000
#  P90: 55.4166667
#  P91: 55.4833333
#  P92: 55.5500000
#  P93: 55.6166667
#  P94: 55.6833333
#  P95: 55.7500000
#  P96: 55.8166667
#  P97: 55.8833333
#  P98: 55.9500000
#  P99: 56.0864720
#  P100: 56.4323598
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-50.0000000         0.0000000       1.0000000       0.0000000     0
-49.0000000         0.0000000       1.0000000       0.0000000     1
-48.0000000         0.0000000       1.0000000       0.0000000     2
-47.0000000         0.0000000       1.0000000       0.0000000     3
-46.0000000         0.0000000       1.0000000       0.0000000     4
-45.0000000         0.0000000       1.0000000       0.0000000     5
-44.0000000         0.0000000       1.0000000       0.0000000     6
-43.0000000         0.0000000       1.0000000       0.0000000     7
-42.0000000         0.0000000       1.0000000       0.0000000     8
-41.0000000         0.0000000       1.0000000       0.0000000     9
-40.0000000         0.0000000       1.0000000       0.0000000    10
-39.0000000         0.0000000       1.0000000       0.0000000    11
-38.0000000         0.0000000       1.0000000       0.0000000    12
-37.0000000         0.0000000       1.0000000       0.0000000    13
-36.0000000         0.0000000       1.0000000       0.0000000    14
-35.0000000         0.0000000       1.0000000       0.0000000    15
-34.0000000         0.0000000       1.0000000       0.0000000    16
-33.0000000         0.0000000       1.0000000       0.0000000    17
-32.0000000         0.0000000       1.0000000       0.0000000    18
-31.0000000         0.0000000       1.0000000       0.0000000    19
-30.0000000         0.0000000       1.0000000       0.0000000    20
-29.0000000         0.0000000       1.0000000       0.0000000    21
-28.0000000         0.0000000       1.0000000       0.0000000    22
-27.0000000         0.0000000       1.0000000       0.0000000    23
-26.0000000         0.0000000       1.0000000       0.0000000    24
-25.0000000         0.0000000       1.0000000       0.0000000    25
-24.0000000         0.0000000       1.0000000       0.0000000    26
-23.0000000         0.0000000       1.0000000       0.0000000    27
-22.0000000         0.0000000       1.0000000       0.0000000    28
-21.0000000         0.0000000       1.0000000       0.0000000    29
-20.0000000         0.0000000       1.0000000       0.0000000    30
-19.0000000         0.0000000       1.0000000       0.0000000    31
-18.0000000         0.0000000       1.0000000       0.0000000    32
-17.0000000         0.0000000       1.0000000       0.0000000    33
-16.0000000         0.0000000       1.0000000       0.0000000    34
-15.0000000         0.0000000       1.0000000       0.0000000    35
-14.0000000         0.0000000       1.0000000       0.0000000    36
-13.0000000         0.0000000       1.0000000       0.0000000    37
-12.0000000         0.0000000       1.0000000       0.0000000    38
-11.0000000         0.0000000       1.0000000       0.0000000    39
-10.0000000         0.0000000       1.0000000       0.0000000    40
-9.0000000          0.0000000       1.0000000       0.0000000    41
-8.0000000          0.0000000       1.0000000       0.0000000    42
-7.0000000          0.0000000       1.0000000       0.0000000    43
-6.0000000          0.0000000       1.0000000       0.0000000    44
-5.0000000          0.0000000       1.0000000       0.0000000    45
-4.0000000          0.0000000       1.0000000       0.0000000    46
-3.0000000          0.0000000       1.0000000       0.0000000    47
-2.0000000          0.0000000       1.0000000       0.0000000    48
-1.0000000          0.0000000       1.0000000       0.0000000    49
0.0000000           0.0000000       1.0000000       0.0000000    50
1.0000000           0.0000000       1.0000000       0.0000000    51
2.0000000           0.0000000       1.0000000       0.0000000    52
3.0000000           0.0000000       1.0000000       0.0000000    53
4.0000000           0.0000000       1.0000000       0.0000000    54
5.0000000           0.0000000       1.0000000       0.0000000    55
6.0000000           0.0000000       1.0000000       0.0000000    56
7.0000000           0.0000000       1.0000000       0.0000000    57
8.0000000           0.0000000       1.0000000       0.0000000    58
9.0000000           0.0000000       1.0000000       0.0000000    59
10.0000000          0.0000000       1.0000000       0.0000000    60
11.0000000          0.0000000       1.0000000       0.0000000    61
12.0000000          0.0000000       1.0000000       0.0000000    62
13.0000000          0.0000000       1.0000000       0.0000000    63
14.0000000          0.0000000       1.0000000       0.0000000    64
15.0000000          0.0000000       1.0000000       0.0000000    65
16.0000000          0.0000000       1.0000000       0.0000000    66
17.0000000          0.0000000       1.0000000       0.0000000    67
18.0000000          0.0000000       1.0000000       0.0000000    68
