#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.SINRestError
#  Description: SINR Estimation Error [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -2.2785732
#  Maximum: 2.0544361
#  Trials: 320
#  Mean: 0.1152783
# 
#  Variance: 0.6352007
#  Relative variance: 47.7987081
#  Coefficient of variation: 6.9136610
#  Standard deviation: 0.7969948
#  Relative standard deviation: 6.9136610
# 
#  Skewness: -0.0118875
# 
#  2nd moment: 0.6465047
#  3rd moment: 0.2145019
# 
#  Sum of all values: 36.8890418
#  (Sum of all values)^2: 206.8815200
#  (Sum of all values)^3: 68.6406012
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -100
#  Right border of x-axis: 100
#  Resolution of x-axis: 200
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: -1.8952381
#  P02: -1.7428571
#  P03: -1.5904762
#  P04: -1.4380952
#  P05: -1.2857143
#  P06: -1.1333333
#  P07: -0.9966667
#  P08: -0.9700000
#  P09: -0.9433333
#  P10: -0.9166667
#  P11: -0.8900000
#  P12: -0.8633333
#  P13: -0.8366667
#  P14: -0.8100000
#  P15: -0.7833333
#  P16: -0.7566667
#  P17: -0.7300000
#  P18: -0.7033333
#  P19: -0.6766667
#  P20: -0.6500000
#  P21: -0.6233333
#  P22: -0.5966667
#  P23: -0.5700000
#  P24: -0.5433333
#  P25: -0.5166667
#  P26: -0.4900000
#  P27: -0.4633333
#  P28: -0.4366667
#  P29: -0.4100000
#  P30: -0.3833333
#  P31: -0.3566667
#  P32: -0.3300000
#  P33: -0.3033333
#  P34: -0.2766667
#  P35: -0.2500000
#  P36: -0.2233333
#  P37: -0.1966667
#  P38: -0.1700000
#  P39: -0.1433333
#  P40: -0.1166667
#  P41: -0.0900000
#  P42: -0.0633333
#  P43: -0.0366667
#  P44: -0.0100000
#  P45: 0.0152672
#  P46: 0.0396947
#  P47: 0.0641221
#  P48: 0.0885496
#  P49: 0.1129771
#  P50: 0.1374046
#  P51: 0.1618321
#  P52: 0.1862595
#  P53: 0.2106870
#  P54: 0.2351145
#  P55: 0.2595420
#  P56: 0.2839695
#  P57: 0.3083969
#  P58: 0.3328244
#  P59: 0.3572519
#  P60: 0.3816794
#  P61: 0.4061069
#  P62: 0.4305344
#  P63: 0.4549618
#  P64: 0.4793893
#  P65: 0.5038168
#  P66: 0.5282443
#  P67: 0.5526718
#  P68: 0.5770992
#  P69: 0.6015267
#  P70: 0.6259542
#  P71: 0.6503817
#  P72: 0.6748092
#  P73: 0.6992366
#  P74: 0.7236641
#  P75: 0.7480916
#  P76: 0.7725191
#  P77: 0.7969466
#  P78: 0.8213740
#  P79: 0.8458015
#  P80: 0.8702290
#  P81: 0.8946565
#  P82: 0.9190840
#  P83: 0.9435115
#  P84: 0.9679389
#  P85: 0.9923664
#  P86: 1.0478261
#  P87: 1.1173913
#  P88: 1.1869565
#  P89: 1.2565217
#  P90: 1.3260870
#  P91: 1.3956522
#  P92: 1.4652174
#  P93: 1.5347826
#  P94: 1.6043478
#  P95: 1.6739130
#  P96: 1.7434783
#  P97: 1.8130435
#  P98: 1.8826087
#  P99: 1.9521739
#  P100: 2.0544361
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-100.0000000        0.0000000       1.0000000       0.0000000     0
-99.0000000         0.0000000       1.0000000       0.0000000     1
-98.0000000         0.0000000       1.0000000       0.0000000     2
-97.0000000         0.0000000       1.0000000       0.0000000     3
-96.0000000         0.0000000       1.0000000       0.0000000     4
-95.0000000         0.0000000       1.0000000       0.0000000     5
-94.0000000         0.0000000       1.0000000       0.0000000     6
-93.0000000         0.0000000       1.0000000       0.0000000     7
-92.0000000         0.0000000       1.0000000       0.0000000     8
-91.0000000         0.0000000       1.0000000       0.0000000     9
-90.0000000         0.0000000       1.0000000       0.0000000    10
-89.0000000         0.0000000       1.0000000       0.0000000    11
-88.0000000         0.0000000       1.0000000       0.0000000    12
-87.0000000         0.0000000       1.0000000       0.0000000    13
-86.0000000         0.0000000       1.0000000       0.0000000    14
-85.0000000         0.0000000       1.0000000       0.0000000    15
-84.0000000         0.0000000       1.0000000       0.0000000    16
-83.0000000         0.0000000       1.0000000       0.0000000    17
-82.0000000         0.0000000       1.0000000       0.0000000    18
-81.0000000         0.0000000       1.0000000       0.0000000    19
-80.0000000         0.0000000       1.0000000       0.0000000    20
-79.0000000         0.0000000       1.0000000       0.0000000    21
-78.0000000         0.0000000       1.0000000       0.0000000    22
-77.0000000         0.0000000       1.0000000       0.0000000    23
-76.0000000         0.0000000       1.0000000       0.0000000    24
-75.0000000         0.0000000       1.0000000       0.0000000    25
-74.0000000         0.0000000       1.0000000       0.0000000    26
-73.0000000         0.0000000       1.0000000       0.0000000    27
-72.0000000         0.0000000       1.0000000       0.0000000    28
-71.0000000         0.0000000       1.0000000       0.0000000    29
-70.0000000         0.0000000       1.0000000       0.0000000    30
-69.0000000         0.0000000       1.0000000       0.0000000    31
-68.0000000         0.0000000       1.0000000       0.0000000    32
-67.0000000         0.0000000       1.0000000       0.0000000    33
-66.0000000         0.0000000       1.0000000       0.0000000    34
-65.0000000         0.0000000       1.0000000       0.0000000    35
-64.0000000         0.0000000       1.0000000       0.0000000    36
-63.0000000         0.0000000       1.0000000       0.0000000    37
-62.0000000         0.0000000       1.0000000       0.0000000    38
-61.0000000         0.0000000       1.0000000       0.0000000    39
-60.0000000         0.0000000       1.0000000       0.0000000    40
-59.0000000         0.0000000       1.0000000       0.0000000    41
-58.0000000         0.0000000       1.0000000       0.0000000    42
-57.0000000         0.0000000       1.0000000       0.0000000    43
-56.0000000         0.0000000       1.0000000       0.0000000    44
-55.0000000         0.0000000       1.0000000       0.0000000    45
-54.0000000         0.0000000       1.0000000       0.0000000    46
-53.0000000         0.0000000       1.0000000       0.0000000    47
-52.0000000         0.0000000       1.0000000       0.0000000    48
-51.0000000         0.0000000       1.0000000       0.0000000    49
-50.0000000         0.0000000       1.0000000       0.0000000    50
-49.0000000         0.0000000       1.0000000       0.0000000    51
-48.0000000         0.0000000       1.0000000       0.0000000    52
-47.0000000         0.0000000       1.0000000       0.0000000    53
-46.0000000         0.0000000       1.0000000       0.0000000    54
-45.0000000         0.0000000       1.0000000       0.0000000    55
-44.0000000         0.0000000       1.0000000       0.0000000    56
-43.0000000         0.0000000       1.0000000       0.0000000    57
-42.0000000         0.0000000       1.0000000       0.0000000    58
-41.0000000         0.0000000       1.0000000       0.0000000    59
-40.0000000         0.0000000       1.0000000       0.0000000    60
-39.0000000         0.0000000       1.0000000       0.0000000    61
-38.0000000         0.0000000       1.0000000       0.0000000    62
-37.0000000         0.0000000       1.0000000       0.0000000    63
-36.0000000         0.0000000       1.0000000       0.0000000    64
-35.0000000         0.0000000       1.0000000       0.0000000    65
-34.0000000         0.0000000       1.0000000       0.0000000    66
-33.0000000         0.0000000       1.0000000       0.0000000    67
