#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.SestError
#  Description: Carrier Estimation Error [dBm]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -2.2588155
#  Maximum: 3.0531023
#  Trials: 320
#  Mean: 0.0739079
# 
#  Variance: 0.6158179
#  Relative variance: 112.7381751
#  Coefficient of variation: 10.6178235
#  Standard deviation: 0.7847407
#  Relative standard deviation: 10.6178235
# 
#  Skewness: 0.1544473
# 
#  2nd moment: 0.6193559
#  3rd moment: 0.2111562
# 
#  Sum of all values: 23.6505175
#  (Sum of all values)^2: 198.1938841
#  (Sum of all values)^3: 67.5699814
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -100
#  Right border of x-axis: 100
#  Resolution of x-axis: 200
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: -1.9478261
#  P02: -1.8086957
#  P03: -1.6695652
#  P04: -1.5304348
#  P05: -1.3913043
#  P06: -1.2521739
#  P07: -1.1130435
#  P08: -0.9951613
#  P09: -0.9693548
#  P10: -0.9435484
#  P11: -0.9177419
#  P12: -0.8919355
#  P13: -0.8661290
#  P14: -0.8403226
#  P15: -0.8145161
#  P16: -0.7887097
#  P17: -0.7629032
#  P18: -0.7370968
#  P19: -0.7112903
#  P20: -0.6854839
#  P21: -0.6596774
#  P22: -0.6338710
#  P23: -0.6080645
#  P24: -0.5822581
#  P25: -0.5564516
#  P26: -0.5306452
#  P27: -0.5048387
#  P28: -0.4790323
#  P29: -0.4532258
#  P30: -0.4274194
#  P31: -0.4016129
#  P32: -0.3758065
#  P33: -0.3500000
#  P34: -0.3241935
#  P35: -0.2983871
#  P36: -0.2725806
#  P37: -0.2467742
#  P38: -0.2209677
#  P39: -0.1951613
#  P40: -0.1693548
#  P41: -0.1435484
#  P42: -0.1177419
#  P43: -0.0919355
#  P44: -0.0661290
#  P45: -0.0403226
#  P46: -0.0145161
#  P47: 0.0100000
#  P48: 0.0328571
#  P49: 0.0557143
#  P50: 0.0785714
#  P51: 0.1014286
#  P52: 0.1242857
#  P53: 0.1471429
#  P54: 0.1700000
#  P55: 0.1928571
#  P56: 0.2157143
#  P57: 0.2385714
#  P58: 0.2614286
#  P59: 0.2842857
#  P60: 0.3071429
#  P61: 0.3300000
#  P62: 0.3528571
#  P63: 0.3757143
#  P64: 0.3985714
#  P65: 0.4214286
#  P66: 0.4442857
#  P67: 0.4671429
#  P68: 0.4900000
#  P69: 0.5128571
#  P70: 0.5357143
#  P71: 0.5585714
#  P72: 0.5814286
#  P73: 0.6042857
#  P74: 0.6271429
#  P75: 0.6500000
#  P76: 0.6728571
#  P77: 0.6957143
#  P78: 0.7185714
#  P79: 0.7414286
#  P80: 0.7642857
#  P81: 0.7871429
#  P82: 0.8100000
#  P83: 0.8328571
#  P84: 0.8557143
#  P85: 0.8785714
#  P86: 0.9014286
#  P87: 0.9242857
#  P88: 0.9471429
#  P89: 0.9700000
#  P90: 0.9928571
#  P91: 1.0814815
#  P92: 1.2000000
#  P93: 1.3185185
#  P94: 1.4370370
#  P95: 1.5555556
#  P96: 1.6740741
#  P97: 1.7925926
#  P98: 1.9111111
#  P99: 2.2666667
#  P100: 3.0531023
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-100.0000000        0.0000000       1.0000000       0.0000000     0
-99.0000000         0.0000000       1.0000000       0.0000000     1
-98.0000000         0.0000000       1.0000000       0.0000000     2
-97.0000000         0.0000000       1.0000000       0.0000000     3
-96.0000000         0.0000000       1.0000000       0.0000000     4
-95.0000000         0.0000000       1.0000000       0.0000000     5
-94.0000000         0.0000000       1.0000000       0.0000000     6
-93.0000000         0.0000000       1.0000000       0.0000000     7
-92.0000000         0.0000000       1.0000000       0.0000000     8
-91.0000000         0.0000000       1.0000000       0.0000000     9
-90.0000000         0.0000000       1.0000000       0.0000000    10
-89.0000000         0.0000000       1.0000000       0.0000000    11
-88.0000000         0.0000000       1.0000000       0.0000000    12
-87.0000000         0.0000000       1.0000000       0.0000000    13
-86.0000000         0.0000000       1.0000000       0.0000000    14
-85.0000000         0.0000000       1.0000000       0.0000000    15
-84.0000000         0.0000000       1.0000000       0.0000000    16
-83.0000000         0.0000000       1.0000000       0.0000000    17
-82.0000000         0.0000000       1.0000000       0.0000000    18
-81.0000000         0.0000000       1.0000000       0.0000000    19
-80.0000000         0.0000000       1.0000000       0.0000000    20
-79.0000000         0.0000000       1.0000000       0.0000000    21
-78.0000000         0.0000000       1.0000000       0.0000000    22
-77.0000000         0.0000000       1.0000000       0.0000000    23
-76.0000000         0.0000000       1.0000000       0.0000000    24
-75.0000000         0.0000000       1.0000000       0.0000000    25
-74.0000000         0.0000000       1.0000000       0.0000000    26
-73.0000000         0.0000000       1.0000000       0.0000000    27
-72.0000000         0.0000000       1.0000000       0.0000000    28
-71.0000000         0.0000000       1.0000000       0.0000000    29
-70.0000000         0.0000000       1.0000000       0.0000000    30
-69.0000000         0.0000000       1.0000000       0.0000000    31
-68.0000000         0.0000000       1.0000000       0.0000000    32
-67.0000000         0.0000000       1.0000000       0.0000000    33
-66.0000000         0.0000000       1.0000000       0.0000000    34
-65.0000000         0.0000000       1.0000000       0.0000000    35
-64.0000000         0.0000000       1.0000000       0.0000000    36
-63.0000000         0.0000000       1.0000000       0.0000000    37
-62.0000000         0.0000000       1.0000000       0.0000000    38
-61.0000000         0.0000000       1.0000000       0.0000000    39
-60.0000000         0.0000000       1.0000000       0.0000000    40
-59.0000000         0.0000000       1.0000000       0.0000000    41
-58.0000000         0.0000000       1.0000000       0.0000000    42
-57.0000000         0.0000000       1.0000000       0.0000000    43
-56.0000000         0.0000000       1.0000000       0.0000000    44
-55.0000000         0.0000000       1.0000000       0.0000000    45
-54.0000000         0.0000000       1.0000000       0.0000000    46
-53.0000000         0.0000000       1.0000000       0.0000000    47
-52.0000000         0.0000000       1.0000000       0.0000000    48
-51.0000000         0.0000000       1.0000000       0.0000000    49
-50.0000000         0.0000000       1.0000000       0.0000000    50
-49.0000000         0.0000000       1.0000000       0.0000000    51
-48.0000000         0.0000000       1.0000000       0.0000000    52
-47.0000000         0.0000000       1.0000000       0.0000000    53
-46.0000000         0.0000000       1.0000000       0.0000000    54
-45.0000000         0.0000000       1.0000000       0.0000000    55
-44.0000000         0.0000000       1.0000000       0.0000000    56
-43.0000000         0.0000000       1.0000000       0.0000000    57
-42.0000000         0.0000000       1.0000000       0.0000000    58
-41.0000000         0.0000000       1.0000000       0.0000000    59
-40.0000000         0.0000000       1.0000000       0.0000000    60
-39.0000000         0.0000000       1.0000000       0.0000000    61
-38.0000000         0.0000000       1.0000000       0.0000000    62
-37.0000000         0.0000000       1.0000000       0.0000000    63
-36.0000000         0.0000000       1.0000000       0.0000000    64
-35.0000000         0.0000000       1.0000000       0.0000000    65
-34.0000000         0.0000000       1.0000000       0.0000000    66
-33.0000000         0.0000000       1.0000000       0.0000000    67
