#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: scheduler.harq.effSINR
#  Description: Effective SINR
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 49.4148331
#  Maximum: 54.9321693
#  Trials: 16
#  Mean: 52.1832261
# 
#  Variance: 5.9970695
#  Relative variance: 0.0022023
#  Coefficient of variation: 0.0469287
#  Standard deviation: 2.4488915
#  Relative standard deviation: 0.0469287
# 
#  Skewness: 0.0196982
# 
#  2nd moment: 2728.7113382
#  3rd moment: 142980.0245655
# 
#  Sum of all values: 834.9316175
#  (Sum of all values)^2: 43659.3814118
#  (Sum of all values)^3: 2287680.3930481
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -50
#  Right border of x-axis: 100
#  Resolution of x-axis: 150
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 49.0320000
#  P02: 49.0640000
#  P03: 49.0960000
#  P04: 49.1280000
#  P05: 49.1600000
#  P06: 49.1920000
#  P07: 49.2240000
#  P08: 49.2560000
#  P09: 49.2880000
#  P10: 49.3200000
#  P11: 49.3520000
#  P12: 49.3840000
#  P13: 49.4160000
#  P14: 49.4480000
#  P15: 49.4800000
#  P16: 49.5120000
#  P17: 49.5440000
#  P18: 49.5760000
#  P19: 49.6080000
#  P20: 49.6400000
#  P21: 49.6720000
#  P22: 49.7040000
#  P23: 49.7360000
#  P24: 49.7680000
#  P25: 49.8000000
#  P26: 49.8320000
#  P27: 49.8640000
#  P28: 49.8960000
#  P29: 49.9280000
#  P30: 49.9600000
#  P31: 49.9920000
#  P32: 50.0400000
#  P33: 50.0933333
#  P34: 50.1466667
#  P35: 50.2000000
#  P36: 50.2533333
#  P37: 50.3066667
#  P38: 50.3600000
#  P39: 50.4133333
#  P40: 50.4666667
#  P41: 50.5200000
#  P42: 50.5733333
#  P43: 50.6266667
#  P44: 50.6800000
#  P45: 50.7333333
#  P46: 50.7866667
#  P47: 50.8400000
#  P48: 50.8933333
#  P49: 50.9466667
#  P50: 51.0000000
#  P51: 53.1600000
#  P52: 53.3200000
#  P53: 53.4800000
#  P54: 53.6400000
#  P55: 53.8000000
#  P56: 53.9600000
#  P57: 54.0159800
#  P58: 54.0372868
#  P59: 54.0585935
#  P60: 54.0799002
#  P61: 54.1012070
#  P62: 54.1225137
#  P63: 54.1438204
#  P64: 54.1651271
#  P65: 54.1864339
#  P66: 54.2077406
#  P67: 54.2290473
#  P68: 54.2503541
#  P69: 54.2716608
#  P70: 54.2929675
#  P71: 54.3142742
#  P72: 54.3355810
#  P73: 54.3568877
#  P74: 54.3781944
#  P75: 54.3995011
#  P76: 54.4208079
#  P77: 54.4421146
#  P78: 54.4634213
#  P79: 54.4847281
#  P80: 54.5060348
#  P81: 54.5273415
#  P82: 54.5486482
#  P83: 54.5699550
#  P84: 54.5912617
#  P85: 54.6125684
#  P86: 54.6338752
#  P87: 54.6551819
#  P88: 54.6764886
#  P89: 54.6977953
#  P90: 54.7191021
#  P91: 54.7404088
#  P92: 54.7617155
#  P93: 54.7830222
#  P94: 54.8043290
#  P95: 54.8256357
#  P96: 54.8469424
#  P97: 54.8682492
#  P98: 54.8895559
#  P99: 54.9108626
#  P100: 54.9321693
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-50.0000000         0.0000000       1.0000000       0.0000000     0
-49.0000000         0.0000000       1.0000000       0.0000000     1
-48.0000000         0.0000000       1.0000000       0.0000000     2
-47.0000000         0.0000000       1.0000000       0.0000000     3
-46.0000000         0.0000000       1.0000000       0.0000000     4
-45.0000000         0.0000000       1.0000000       0.0000000     5
-44.0000000         0.0000000       1.0000000       0.0000000     6
-43.0000000         0.0000000       1.0000000       0.0000000     7
-42.0000000         0.0000000       1.0000000       0.0000000     8
-41.0000000         0.0000000       1.0000000       0.0000000     9
-40.0000000         0.0000000       1.0000000       0.0000000    10
-39.0000000         0.0000000       1.0000000       0.0000000    11
-38.0000000         0.0000000       1.0000000       0.0000000    12
-37.0000000         0.0000000       1.0000000       0.0000000    13
-36.0000000         0.0000000       1.0000000       0.0000000    14
-35.0000000         0.0000000       1.0000000       0.0000000    15
-34.0000000         0.0000000       1.0000000       0.0000000    16
-33.0000000         0.0000000       1.0000000       0.0000000    17
-32.0000000         0.0000000       1.0000000       0.0000000    18
-31.0000000         0.0000000       1.0000000       0.0000000    19
-30.0000000         0.0000000       1.0000000       0.0000000    20
-29.0000000         0.0000000       1.0000000       0.0000000    21
-28.0000000         0.0000000       1.0000000       0.0000000    22
-27.0000000         0.0000000       1.0000000       0.0000000    23
-26.0000000         0.0000000       1.0000000       0.0000000    24
-25.0000000         0.0000000       1.0000000       0.0000000    25
-24.0000000         0.0000000       1.0000000       0.0000000    26
-23.0000000         0.0000000       1.0000000       0.0000000    27
-22.0000000         0.0000000       1.0000000       0.0000000    28
-21.0000000         0.0000000       1.0000000       0.0000000    29
-20.0000000         0.0000000       1.0000000       0.0000000    30
-19.0000000         0.0000000       1.0000000       0.0000000    31
-18.0000000         0.0000000       1.0000000       0.0000000    32
-17.0000000         0.0000000       1.0000000       0.0000000    33
-16.0000000         0.0000000       1.0000000       0.0000000    34
-15.0000000         0.0000000       1.0000000       0.0000000    35
-14.0000000         0.0000000       1.0000000       0.0000000    36
-13.0000000         0.0000000       1.0000000       0.0000000    37
-12.0000000         0.0000000       1.0000000       0.0000000    38
-11.0000000         0.0000000       1.0000000       0.0000000    39
-10.0000000         0.0000000       1.0000000       0.0000000    40
-9.0000000          0.0000000       1.0000000       0.0000000    41
-8.0000000          0.0000000       1.0000000       0.0000000    42
-7.0000000          0.0000000       1.0000000       0.0000000    43
-6.0000000          0.0000000       1.0000000       0.0000000    44
-5.0000000          0.0000000       1.0000000       0.0000000    45
-4.0000000          0.0000000       1.0000000       0.0000000    46
-3.0000000          0.0000000       1.0000000       0.0000000    47
-2.0000000          0.0000000       1.0000000       0.0000000    48
-1.0000000          0.0000000       1.0000000       0.0000000    49
0.0000000           0.0000000       1.0000000       0.0000000    50
1.0000000           0.0000000       1.0000000       0.0000000    51
2.0000000           0.0000000       1.0000000       0.0000000    52
3.0000000           0.0000000       1.0000000       0.0000000    53
4.0000000           0.0000000       1.0000000       0.0000000    54
5.0000000           0.0000000       1.0000000       0.0000000    55
6.0000000           0.0000000       1.0000000       0.0000000    56
7.0000000           0.0000000       1.0000000       0.0000000    57
8.0000000           0.0000000       1.0000000       0.0000000    58
9.0000000           0.0000000       1.0000000       0.0000000    59
10.0000000          0.0000000       1.0000000       0.0000000    60
11.0000000          0.0000000       1.0000000       0.0000000    61
12.0000000          0.0000000       1.0000000       0.0000000    62
13.0000000          0.0000000       1.0000000       0.0000000    63
14.0000000          0.0000000       1.0000000       0.0000000    64
15.0000000          0.0000000       1.0000000       0.0000000    65
16.0000000          0.0000000       1.0000000       0.0000000    66
17.0000000          0.0000000       1.0000000       0.0000000    67
