#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.Carrier
#  Description: Center Cell UL SINR distribution [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -120.5731886
#  Maximum: -99.3282295
#  Trials: 570
#  Mean: -105.2890735
# 
#  Variance: 18.2683106
#  Relative variance: 0.0016479
#  Coefficient of variation: 0.0405944
#  Standard deviation: 4.2741444
#  Relative standard deviation: -0.0405944
# 
#  Skewness: -0.7578024
# 
#  2nd moment: 11104.0252678
#  3rd moment: -1173031.8613183
# 
#  Sum of all values: -60014.7719175
#  (Sum of all values)^2: 6329294.4026240
#  (Sum of all values)^3: -668628160.9514385
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -200
#  Right border of x-axis: 200
#  Resolution of x-axis: 400
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: -116.7000000
#  P02: -116.0666667
#  P03: -114.9857143
#  P04: -114.1714286
#  P05: -113.3571429
#  P06: -112.8222222
#  P07: -112.5055556
#  P08: -112.1888889
#  P09: -111.8562500
#  P10: -111.5000000
#  P11: -111.1437500
#  P12: -110.8111111
#  P13: -110.4944444
#  P14: -110.1777778
#  P15: -109.8437500
#  P16: -109.4875000
#  P17: -109.1312500
#  P18: -108.8434783
#  P19: -108.5956522
#  P20: -108.3478261
#  P21: -108.1000000
#  P22: -107.9442623
#  P23: -107.8508197
#  P24: -107.7573770
#  P25: -107.6639344
#  P26: -107.5704918
#  P27: -107.4770492
#  P28: -107.3836066
#  P29: -107.2901639
#  P30: -107.1967213
#  P31: -107.1032787
#  P32: -107.0098361
#  P33: -106.9000000
#  P34: -106.7882353
#  P35: -106.6764706
#  P36: -106.5647059
#  P37: -106.4529412
#  P38: -106.3411765
#  P39: -106.2294118
#  P40: -106.1176471
#  P41: -106.0058824
#  P42: -105.9217391
#  P43: -105.8391304
#  P44: -105.7565217
#  P45: -105.6739130
#  P46: -105.5913043
#  P47: -105.5086957
#  P48: -105.4260870
#  P49: -105.3434783
#  P50: -105.2608696
#  P51: -105.1782609
#  P52: -105.0956522
#  P53: -105.0130435
#  P54: -104.4666667
#  P55: -103.9545455
#  P56: -103.7818182
#  P57: -103.6090909
#  P58: -103.4363636
#  P59: -103.2636364
#  P60: -103.0909091
#  P61: -102.9619718
#  P62: -102.8816901
#  P63: -102.8014085
#  P64: -102.7211268
#  P65: -102.6408451
#  P66: -102.5605634
#  P67: -102.4802817
#  P68: -102.4000000
#  P69: -102.3197183
#  P70: -102.2394366
#  P71: -102.1591549
#  P72: -102.0788732
#  P73: -101.9980000
#  P74: -101.8840000
#  P75: -101.7700000
#  P76: -101.6560000
#  P77: -101.5420000
#  P78: -101.4280000
#  P79: -101.3140000
#  P80: -101.2000000
#  P81: -101.0860000
#  P82: -100.9810811
#  P83: -100.9040541
#  P84: -100.8270270
#  P85: -100.7500000
#  P86: -100.6729730
#  P87: -100.5959459
#  P88: -100.5189189
#  P89: -100.4418919
#  P90: -100.3648649
#  P91: -100.2878378
#  P92: -100.2108108
#  P93: -100.1337838
#  P94: -100.0567568
#  P95: -99.9664115
#  P96: -99.8387751
#  P97: -99.7111387
#  P98: -99.5835023
#  P99: -99.4558659
#  P100: -99.3282295
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-200.0000000        0.0000000       1.0000000       0.0000000     0
-199.0000000        0.0000000       1.0000000       0.0000000     1
-198.0000000        0.0000000       1.0000000       0.0000000     2
-197.0000000        0.0000000       1.0000000       0.0000000     3
-196.0000000        0.0000000       1.0000000       0.0000000     4
-195.0000000        0.0000000       1.0000000       0.0000000     5
-194.0000000        0.0000000       1.0000000       0.0000000     6
-193.0000000        0.0000000       1.0000000       0.0000000     7
-192.0000000        0.0000000       1.0000000       0.0000000     8
-191.0000000        0.0000000       1.0000000       0.0000000     9
-190.0000000        0.0000000       1.0000000       0.0000000    10
-189.0000000        0.0000000       1.0000000       0.0000000    11
-188.0000000        0.0000000       1.0000000       0.0000000    12
-187.0000000        0.0000000       1.0000000       0.0000000    13
-186.0000000        0.0000000       1.0000000       0.0000000    14
-185.0000000        0.0000000       1.0000000       0.0000000    15
-184.0000000        0.0000000       1.0000000       0.0000000    16
-183.0000000        0.0000000       1.0000000       0.0000000    17
-182.0000000        0.0000000       1.0000000       0.0000000    18
-181.0000000        0.0000000       1.0000000       0.0000000    19
-180.0000000        0.0000000       1.0000000       0.0000000    20
-179.0000000        0.0000000       1.0000000       0.0000000    21
-178.0000000        0.0000000       1.0000000       0.0000000    22
-177.0000000        0.0000000       1.0000000       0.0000000    23
-176.0000000        0.0000000       1.0000000       0.0000000    24
-175.0000000        0.0000000       1.0000000       0.0000000    25
-174.0000000        0.0000000       1.0000000       0.0000000    26
-173.0000000        0.0000000       1.0000000       0.0000000    27
-172.0000000        0.0000000       1.0000000       0.0000000    28
-171.0000000        0.0000000       1.0000000       0.0000000    29
-170.0000000        0.0000000       1.0000000       0.0000000    30
-169.0000000        0.0000000       1.0000000       0.0000000    31
-168.0000000        0.0000000       1.0000000       0.0000000    32
-167.0000000        0.0000000       1.0000000       0.0000000    33
-166.0000000        0.0000000       1.0000000       0.0000000    34
-165.0000000        0.0000000       1.0000000       0.0000000    35
-164.0000000        0.0000000       1.0000000       0.0000000    36
-163.0000000        0.0000000       1.0000000       0.0000000    37
-162.0000000        0.0000000       1.0000000       0.0000000    38
-161.0000000        0.0000000       1.0000000       0.0000000    39
-160.0000000        0.0000000       1.0000000       0.0000000    40
-159.0000000        0.0000000       1.0000000       0.0000000    41
-158.0000000        0.0000000       1.0000000       0.0000000    42
-157.0000000        0.0000000       1.0000000       0.0000000    43
-156.0000000        0.0000000       1.0000000       0.0000000    44
-155.0000000        0.0000000       1.0000000       0.0000000    45
-154.0000000        0.0000000       1.0000000       0.0000000    46
-153.0000000        0.0000000       1.0000000       0.0000000    47
-152.0000000        0.0000000       1.0000000       0.0000000    48
-151.0000000        0.0000000       1.0000000       0.0000000    49
-150.0000000        0.0000000       1.0000000       0.0000000    50
-149.0000000        0.0000000       1.0000000       0.0000000    51
-148.0000000        0.0000000       1.0000000       0.0000000    52
-147.0000000        0.0000000       1.0000000       0.0000000    53
-146.0000000        0.0000000       1.0000000       0.0000000    54
-145.0000000        0.0000000       1.0000000       0.0000000    55
-144.0000000        0.0000000       1.0000000       0.0000000    56
-143.0000000        0.0000000       1.0000000       0.0000000    57
-142.0000000        0.0000000       1.0000000       0.0000000    58
-141.0000000        0.0000000       1.0000000       0.0000000    59
-140.0000000        0.0000000       1.0000000       0.0000000    60
-139.0000000        0.0000000       1.0000000       0.0000000    61
-138.0000000        0.0000000       1.0000000       0.0000000    62
-137.0000000        0.0000000       1.0000000       0.0000000    63
-136.0000000        0.0000000       1.0000000       0.0000000    64
-135.0000000        0.0000000       1.0000000       0.0000000    65
-134.0000000        0.0000000       1.0000000       0.0000000    66
-133.0000000        0.0000000       1.0000000       0.0000000    67
