#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.IestError
#  Description: Interference Estimation Error [dBm]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 0.0000000
#  Maximum: 0.0000000
#  Trials: 570
#  Mean: 0.0000000
# 
#  Variance: 0.0000000
#  Relative variance: 0.0000000
#  Coefficient of variation: 0.0000000
#  Standard deviation: 0.0000000
#  Relative standard deviation: 0.0000000
# 
#  Skewness: 0.0000000
# 
#  2nd moment: 0.0000000
#  3rd moment: 0.0000000
# 
#  Sum of all values: 0.0000000
#  (Sum of all values)^2: 0.0000000
#  (Sum of all values)^3: 0.0000000
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -100
#  Right border of x-axis: 100
#  Resolution of x-axis: 200
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: -0.9900000
#  P02: -0.9800000
#  P03: -0.9700000
#  P04: -0.9600000
#  P05: -0.9500000
#  P06: -0.9400000
#  P07: -0.9300000
#  P08: -0.9200000
#  P09: -0.9100000
#  P10: -0.9000000
#  P11: -0.8900000
#  P12: -0.8800000
#  P13: -0.8700000
#  P14: -0.8600000
#  P15: -0.8500000
#  P16: -0.8400000
#  P17: -0.8300000
#  P18: -0.8200000
#  P19: -0.8100000
#  P20: -0.8000000
#  P21: -0.7900000
#  P22: -0.7800000
#  P23: -0.7700000
#  P24: -0.7600000
#  P25: -0.7500000
#  P26: -0.7400000
#  P27: -0.7300000
#  P28: -0.7200000
#  P29: -0.7100000
#  P30: -0.7000000
#  P31: -0.6900000
#  P32: -0.6800000
#  P33: -0.6700000
#  P34: -0.6600000
#  P35: -0.6500000
#  P36: -0.6400000
#  P37: -0.6300000
#  P38: -0.6200000
#  P39: -0.6100000
#  P40: -0.6000000
#  P41: -0.5900000
#  P42: -0.5800000
#  P43: -0.5700000
#  P44: -0.5600000
#  P45: -0.5500000
#  P46: -0.5400000
#  P47: -0.5300000
#  P48: -0.5200000
#  P49: -0.5100000
#  P50: -0.5000000
#  P51: -0.4900000
#  P52: -0.4800000
#  P53: -0.4700000
#  P54: -0.4600000
#  P55: -0.4500000
#  P56: -0.4400000
#  P57: -0.4300000
#  P58: -0.4200000
#  P59: -0.4100000
#  P60: -0.4000000
#  P61: -0.3900000
#  P62: -0.3800000
#  P63: -0.3700000
#  P64: -0.3600000
#  P65: -0.3500000
#  P66: -0.3400000
#  P67: -0.3300000
#  P68: -0.3200000
#  P69: -0.3100000
#  P70: -0.3000000
#  P71: -0.2900000
#  P72: -0.2800000
#  P73: -0.2700000
#  P74: -0.2600000
#  P75: -0.2500000
#  P76: -0.2400000
#  P77: -0.2300000
#  P78: -0.2200000
#  P79: -0.2100000
#  P80: -0.2000000
#  P81: -0.1900000
#  P82: -0.1800000
#  P83: -0.1700000
#  P84: -0.1600000
#  P85: -0.1500000
#  P86: -0.1400000
#  P87: -0.1300000
#  P88: -0.1200000
#  P89: -0.1100000
#  P90: -0.1000000
#  P91: -0.0900000
#  P92: -0.0800000
#  P93: -0.0700000
#  P94: -0.0600000
#  P95: -0.0500000
#  P96: -0.0400000
#  P97: -0.0300000
#  P98: -0.0200000
#  P99: -0.0100000
#  P100: 0.0000000
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-100.0000000        0.0000000       1.0000000       0.0000000     0
-99.0000000         0.0000000       1.0000000       0.0000000     1
-98.0000000         0.0000000       1.0000000       0.0000000     2
-97.0000000         0.0000000       1.0000000       0.0000000     3
-96.0000000         0.0000000       1.0000000       0.0000000     4
-95.0000000         0.0000000       1.0000000       0.0000000     5
-94.0000000         0.0000000       1.0000000       0.0000000     6
-93.0000000         0.0000000       1.0000000       0.0000000     7
-92.0000000         0.0000000       1.0000000       0.0000000     8
-91.0000000         0.0000000       1.0000000       0.0000000     9
-90.0000000         0.0000000       1.0000000       0.0000000    10
-89.0000000         0.0000000       1.0000000       0.0000000    11
-88.0000000         0.0000000       1.0000000       0.0000000    12
-87.0000000         0.0000000       1.0000000       0.0000000    13
-86.0000000         0.0000000       1.0000000       0.0000000    14
-85.0000000         0.0000000       1.0000000       0.0000000    15
-84.0000000         0.0000000       1.0000000       0.0000000    16
-83.0000000         0.0000000       1.0000000       0.0000000    17
-82.0000000         0.0000000       1.0000000       0.0000000    18
-81.0000000         0.0000000       1.0000000       0.0000000    19
-80.0000000         0.0000000       1.0000000       0.0000000    20
-79.0000000         0.0000000       1.0000000       0.0000000    21
-78.0000000         0.0000000       1.0000000       0.0000000    22
-77.0000000         0.0000000       1.0000000       0.0000000    23
-76.0000000         0.0000000       1.0000000       0.0000000    24
-75.0000000         0.0000000       1.0000000       0.0000000    25
-74.0000000         0.0000000       1.0000000       0.0000000    26
-73.0000000         0.0000000       1.0000000       0.0000000    27
-72.0000000         0.0000000       1.0000000       0.0000000    28
-71.0000000         0.0000000       1.0000000       0.0000000    29
-70.0000000         0.0000000       1.0000000       0.0000000    30
-69.0000000         0.0000000       1.0000000       0.0000000    31
-68.0000000         0.0000000       1.0000000       0.0000000    32
-67.0000000         0.0000000       1.0000000       0.0000000    33
-66.0000000         0.0000000       1.0000000       0.0000000    34
-65.0000000         0.0000000       1.0000000       0.0000000    35
-64.0000000         0.0000000       1.0000000       0.0000000    36
-63.0000000         0.0000000       1.0000000       0.0000000    37
-62.0000000         0.0000000       1.0000000       0.0000000    38
-61.0000000         0.0000000       1.0000000       0.0000000    39
-60.0000000         0.0000000       1.0000000       0.0000000    40
-59.0000000         0.0000000       1.0000000       0.0000000    41
-58.0000000         0.0000000       1.0000000       0.0000000    42
-57.0000000         0.0000000       1.0000000       0.0000000    43
-56.0000000         0.0000000       1.0000000       0.0000000    44
-55.0000000         0.0000000       1.0000000       0.0000000    45
-54.0000000         0.0000000       1.0000000       0.0000000    46
-53.0000000         0.0000000       1.0000000       0.0000000    47
-52.0000000         0.0000000       1.0000000       0.0000000    48
-51.0000000         0.0000000       1.0000000       0.0000000    49
-50.0000000         0.0000000       1.0000000       0.0000000    50
-49.0000000         0.0000000       1.0000000       0.0000000    51
-48.0000000         0.0000000       1.0000000       0.0000000    52
-47.0000000         0.0000000       1.0000000       0.0000000    53
-46.0000000         0.0000000       1.0000000       0.0000000    54
-45.0000000         0.0000000       1.0000000       0.0000000    55
-44.0000000         0.0000000       1.0000000       0.0000000    56
-43.0000000         0.0000000       1.0000000       0.0000000    57
-42.0000000         0.0000000       1.0000000       0.0000000    58
-41.0000000         0.0000000       1.0000000       0.0000000    59
-40.0000000         0.0000000       1.0000000       0.0000000    60
-39.0000000         0.0000000       1.0000000       0.0000000    61
-38.0000000         0.0000000       1.0000000       0.0000000    62
-37.0000000         0.0000000       1.0000000       0.0000000    63
-36.0000000         0.0000000       1.0000000       0.0000000    64
-35.0000000         0.0000000       1.0000000       0.0000000    65
-34.0000000         0.0000000       1.0000000       0.0000000    66
-33.0000000         0.0000000       1.0000000       0.0000000    67
