#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.MAP_SINR
#  Description: Center Cell DL SINR distribution [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -21.9515326
#  Maximum: 39.4727927
#  Trials: 1920
#  Mean: 7.1647780
# 
#  Variance: 93.9803954
#  Relative variance: 1.8307616
#  Coefficient of variation: 1.3530564
#  Standard deviation: 9.6943486
#  Relative standard deviation: 1.3530564
# 
#  Skewness: 0.7045512
# 
#  2nd moment: 145.2654909
#  3rd moment: 3028.6925669
# 
#  Sum of all values: 13756.3737402
#  (Sum of all values)^2: 278909.7425448
#  (Sum of all values)^3: 5815089.7284376
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -50
#  Right border of x-axis: 100
#  Resolution of x-axis: 1500
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: -6.3600000
#  P02: -5.8533333
#  P03: -4.8700000
#  P04: -4.4440000
#  P05: -3.9250000
#  P06: -3.6466667
#  P07: -3.3920000
#  P08: -3.1050000
#  P09: -2.9516667
#  P10: -2.7750000
#  P11: -2.6550000
#  P12: -2.5257143
#  P13: -2.4133333
#  P14: -2.2533333
#  P15: -1.9333333
#  P16: -1.6466667
#  P17: -1.4160000
#  P18: -1.2763636
#  P19: -1.0927273
#  P20: -0.9250000
#  P21: -0.7369231
#  P22: -0.6314286
#  P23: -0.5370000
#  P24: -0.4305882
#  P25: -0.3363636
#  P26: -0.2138462
#  P27: -0.0661538
#  P28: 0.1046154
#  P29: 0.2971429
#  P30: 0.4727273
#  P31: 0.6423529
#  P32: 0.7587500
#  P33: 0.8969231
#  P34: 1.0527273
#  P35: 1.1777778
#  P36: 1.2844444
#  P37: 1.4088889
#  P38: 1.4800000
#  P39: 1.5657143
#  P40: 1.6923077
#  P41: 1.7587097
#  P42: 1.8426667
#  P43: 1.9588889
#  P44: 2.0536364
#  P45: 2.1529412
#  P46: 2.3220000
#  P47: 2.4495652
#  P48: 2.5760000
#  P49: 2.8542857
#  P50: 3.1000000
#  P51: 3.3240000
#  P52: 3.5914286
#  P53: 3.8766667
#  P54: 4.1345455
#  P55: 4.4714286
#  P56: 5.1100000
#  P57: 5.6800000
#  P58: 6.2650000
#  P59: 7.5266667
#  P60: 8.8000000
#  P61: 9.7440000
#  P62: 10.1377778
#  P63: 10.5266667
#  P64: 11.0160000
#  P65: 11.5333333
#  P66: 11.7720000
#  P67: 12.1342857
#  P68: 12.4433333
#  P69: 12.7850000
#  P70: 13.0600000
#  P71: 13.2775000
#  P72: 13.4800000
#  P73: 13.7520000
#  P74: 14.0225000
#  P75: 14.2666667
#  P76: 14.4683333
#  P77: 14.6740000
#  P78: 14.8257143
#  P79: 15.1200000
#  P80: 15.8000000
#  P81: 16.5733333
#  P82: 17.3480000
#  P83: 17.9085714
#  P84: 18.2700000
#  P85: 18.6833333
#  P86: 19.2050000
#  P87: 19.6050000
#  P88: 19.9450000
#  P89: 20.2644444
#  P90: 20.5400000
#  P91: 21.0400000
#  P92: 21.7800000
#  P93: 22.6800000
#  P94: 23.8800000
#  P95: 25.1666667
#  P96: 26.6600000
#  P97: 28.4400000
#  P98: 30.5600000
#  P99: 32.1800000
#  P100: 39.4727927
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-50.0000000         0.0000000       1.0000000       0.0000000     0
-49.9000000         0.0000000       1.0000000       0.0000000     1
-49.8000000         0.0000000       1.0000000       0.0000000     2
-49.7000000         0.0000000       1.0000000       0.0000000     3
-49.6000000         0.0000000       1.0000000       0.0000000     4
-49.5000000         0.0000000       1.0000000       0.0000000     5
-49.4000000         0.0000000       1.0000000       0.0000000     6
-49.3000000         0.0000000       1.0000000       0.0000000     7
-49.2000000         0.0000000       1.0000000       0.0000000     8
-49.1000000         0.0000000       1.0000000       0.0000000     9
-49.0000000         0.0000000       1.0000000       0.0000000    10
-48.9000000         0.0000000       1.0000000       0.0000000    11
-48.8000000         0.0000000       1.0000000       0.0000000    12
-48.7000000         0.0000000       1.0000000       0.0000000    13
-48.6000000         0.0000000       1.0000000       0.0000000    14
-48.5000000         0.0000000       1.0000000       0.0000000    15
-48.4000000         0.0000000       1.0000000       0.0000000    16
-48.3000000         0.0000000       1.0000000       0.0000000    17
-48.2000000         0.0000000       1.0000000       0.0000000    18
-48.1000000         0.0000000       1.0000000       0.0000000    19
-48.0000000         0.0000000       1.0000000       0.0000000    20
-47.9000000         0.0000000       1.0000000       0.0000000    21
-47.8000000         0.0000000       1.0000000       0.0000000    22
-47.7000000         0.0000000       1.0000000       0.0000000    23
-47.6000000         0.0000000       1.0000000       0.0000000    24
-47.5000000         0.0000000       1.0000000       0.0000000    25
-47.4000000         0.0000000       1.0000000       0.0000000    26
-47.3000000         0.0000000       1.0000000       0.0000000    27
-47.2000000         0.0000000       1.0000000       0.0000000    28
-47.1000000         0.0000000       1.0000000       0.0000000    29
-47.0000000         0.0000000       1.0000000       0.0000000    30
-46.9000000         0.0000000       1.0000000       0.0000000    31
-46.8000000         0.0000000       1.0000000       0.0000000    32
-46.7000000         0.0000000       1.0000000       0.0000000    33
-46.6000000         0.0000000       1.0000000       0.0000000    34
-46.5000000         0.0000000       1.0000000       0.0000000    35
-46.4000000         0.0000000       1.0000000       0.0000000    36
-46.3000000         0.0000000       1.0000000       0.0000000    37
-46.2000000         0.0000000       1.0000000       0.0000000    38
-46.1000000         0.0000000       1.0000000       0.0000000    39
-46.0000000         0.0000000       1.0000000       0.0000000    40
-45.9000000         0.0000000       1.0000000       0.0000000    41
-45.8000000         0.0000000       1.0000000       0.0000000    42
-45.7000000         0.0000000       1.0000000       0.0000000    43
-45.6000000         0.0000000       1.0000000       0.0000000    44
-45.5000000         0.0000000       1.0000000       0.0000000    45
-45.4000000         0.0000000       1.0000000       0.0000000    46
-45.3000000         0.0000000       1.0000000       0.0000000    47
-45.2000000         0.0000000       1.0000000       0.0000000    48
-45.1000000         0.0000000       1.0000000       0.0000000    49
-45.0000000         0.0000000       1.0000000       0.0000000    50
-44.9000000         0.0000000       1.0000000       0.0000000    51
-44.8000000         0.0000000       1.0000000       0.0000000    52
-44.7000000         0.0000000       1.0000000       0.0000000    53
-44.6000000         0.0000000       1.0000000       0.0000000    54
-44.5000000         0.0000000       1.0000000       0.0000000    55
-44.4000000         0.0000000       1.0000000       0.0000000    56
-44.3000000         0.0000000       1.0000000       0.0000000    57
-44.2000000         0.0000000       1.0000000       0.0000000    58
-44.1000000         0.0000000       1.0000000       0.0000000    59
-44.0000000         0.0000000       1.0000000       0.0000000    60
-43.9000000         0.0000000       1.0000000       0.0000000    61
-43.8000000         0.0000000       1.0000000       0.0000000    62
-43.7000000         0.0000000       1.0000000       0.0000000    63
-43.6000000         0.0000000       1.0000000       0.0000000    64
-43.5000000         0.0000000       1.0000000       0.0000000    65
-43.4000000         0.0000000       1.0000000       0.0000000    66
-43.3000000         0.0000000       1.0000000       0.0000000    67
-43.2000000         0.0000000       1.0000000       0.0000000    68
-43.1000000         0.0000000       1.0000000       0.0000000    69
-43.0000000         0.0000000       1.0000000       0.0000000    70
-42.9000000         0.0000000       1.0000000       0.0000000    71
-42.8000000         0.0000000       1.0000000       0.0000000    72
-42.7000000         0.0000000       1.0000000       0.0000000    73
-42.6000000         0.0000000       1.0000000       0.0000000    74
-42.5000000         0.0000000       1.0000000       0.0000000    75
-42.4000000         0.0000000       1.0000000       0.0000000    76
-42.3000000         0.0000000       1.0000000       0.0000000    77
-42.2000000         0.0000000       1.0000000       0.0000000    78
-42.1000000         0.0000000       1.0000000       0.0000000    79
-42.0000000         0.0000000       1.0000000       0.0000000    80
-41.9000000         0.0000000       1.0000000       0.0000000    81
-41.8000000         0.0000000       1.0000000       0.0000000    82
-41.7000000         0.0000000       1.0000000       0.0000000    83
-41.6000000         0.0000000       1.0000000       0.0000000    84
-41.5000000         0.0000000       1.0000000       0.0000000    85
-41.4000000         0.0000000       1.0000000       0.0000000    86
-41.3000000         0.0000000       1.0000000       0.0000000    87
-41.2000000         0.0000000       1.0000000       0.0000000    88
-41.1000000         0.0000000       1.0000000       0.0000000    89
-41.0000000         0.0000000       1.0000000       0.0000000    90
-40.9000000         0.0000000       1.0000000       0.0000000    91
-40.8000000         0.0000000       1.0000000       0.0000000    92
-40.7000000         0.0000000       1.0000000       0.0000000    93
-40.6000000         0.0000000       1.0000000       0.0000000    94
-40.5000000         0.0000000       1.0000000       0.0000000    95
-40.4000000         0.0000000       1.0000000       0.0000000    96
-40.3000000         0.0000000       1.0000000       0.0000000    97
-40.2000000         0.0000000       1.0000000       0.0000000    98
-40.1000000         0.0000000       1.0000000       0.0000000    99
-40.0000000         0.0000000       1.0000000       0.0000000   100
-39.9000000         0.0000000       1.0000000       0.0000000   101
-39.8000000         0.0000000       1.0000000       0.0000000   102
-39.7000000         0.0000000       1.0000000       0.0000000   103
-39.6000000         0.0000000       1.0000000       0.0000000   104
-39.5000000         0.0000000       1.0000000       0.0000000   105
-39.4000000         0.0000000       1.0000000       0.0000000   106
-39.3000000         0.0000000       1.0000000       0.0000000   107
-39.2000000         0.0000000       1.0000000       0.0000000   108
-39.1000000         0.0000000       1.0000000       0.0000000   109
-39.0000000         0.0000000       1.0000000       0.0000000   110
-38.9000000         0.0000000       1.0000000       0.0000000   111
-38.8000000         0.0000000       1.0000000       0.0000000   112
-38.7000000         0.0000000       1.0000000       0.0000000   113
-38.6000000         0.0000000       1.0000000       0.0000000   114
-38.5000000         0.0000000       1.0000000       0.0000000   115
-38.4000000         0.0000000       1.0000000       0.0000000   116
-38.3000000         0.0000000       1.0000000       0.0000000   117
-38.2000000         0.0000000       1.0000000       0.0000000   118
-38.1000000         0.0000000       1.0000000       0.0000000   119
-38.0000000         0.0000000       1.0000000       0.0000000   120
-37.9000000         0.0000000       1.0000000       0.0000000   121
-37.8000000         0.0000000       1.0000000       0.0000000   122
-37.7000000         0.0000000       1.0000000       0.0000000   123
-37.6000000         0.0000000       1.0000000       0.0000000   124
-37.5000000         0.0000000       1.0000000       0.0000000   125
-37.4000000         0.0000000       1.0000000       0.0000000   126
-37.3000000         0.0000000       1.0000000       0.0000000   127
-37.2000000         0.0000000       1.0000000       0.0000000   128
-37.1000000         0.0000000       1.0000000       0.0000000   129
-37.0000000         0.0000000       1.0000000       0.0000000   130
-36.9000000         0.0000000       1.0000000       0.0000000   131
-36.8000000         0.0000000       1.0000000       0.0000000   132
-36.7000000         0.0000000       1.0000000       0.0000000   133
-36.6000000         0.0000000       1.0000000       0.0000000   134
-36.5000000         0.0000000       1.0000000       0.0000000   135
-36.4000000         0.0000000       1.0000000       0.0000000   136
-36.3000000         0.0000000       1.0000000       0.0000000   137
-36.2000000         0.0000000       1.0000000       0.0000000   138
-36.1000000         0.0000000       1.0000000       0.0000000   139
-36.0000000         0.0000000       1.0000000       0.0000000   140
-35.9000000         0.0000000       1.0000000       0.0000000   141
-35.8000000         0.0000000       1.0000000       0.0000000   142
-35.7000000         0.0000000       1.0000000       0.0000000   143
-35.6000000         0.0000000       1.0000000       0.0000000   144
-35.5000000         0.0000000       1.0000000       0.0000000   145
-35.4000000         0.0000000       1.0000000       0.0000000   146
-35.3000000         0.0000000       1.0000000       0.0000000   147
-35.2000000         0.0000000       1.0000000       0.0000000   148
-35.1000000         0.0000000       1.0000000       0.0000000   149
-35.0000000         0.0000000       1.0000000       0.0000000   150
-34.9000000         0.0000000       1.0000000       0.0000000   151
-34.8000000         0.0000000       1.0000000       0.0000000   152
-34.7000000         0.0000000       1.0000000       0.0000000   153
-34.6000000         0.0000000       1.0000000       0.0000000   154
-34.5000000         0.0000000       1.0000000       0.0000000   155
-34.4000000         0.0000000       1.0000000       0.0000000   156
-34.3000000         0.0000000       1.0000000       0.0000000   157
-34.2000000         0.0000000       1.0000000       0.0000000   158
-34.1000000         0.0000000       1.0000000       0.0000000   159
-34.0000000         0.0000000       1.0000000       0.0000000   160
-33.9000000         0.0000000       1.0000000       0.0000000   161
-33.8000000         0.0000000       1.0000000       0.0000000   162
-33.7000000         0.0000000       1.0000000       0.0000000   163
-33.6000000         0.0000000       1.0000000       0.0000000   164
-33.5000000         0.0000000       1.0000000       0.0000000   165
-33.4000000         0.0000000       1.0000000       0.0000000   166
-33.3000000         0.0000000       1.0000000       0.0000000   167
-33.2000000         0.0000000       1.0000000       0.0000000   168
-33.1000000         0.0000000       1.0000000       0.0000000   169
-33.0000000         0.0000000       1.0000000       0.0000000   170
-32.9000000         0.0000000       1.0000000       0.0000000   171
-32.8000000         0.0000000       1.0000000       0.0000000   172
-32.7000000         0.0000000       1.0000000       0.0000000   173
-32.6000000         0.0000000       1.0000000       0.0000000   174
-32.5000000         0.0000000       1.0000000       0.0000000   175
-32.4000000         0.0000000       1.0000000       0.0000000   176
-32.3000000         0.0000000       1.0000000       0.0000000   177
-32.2000000         0.0000000       1.0000000       0.0000000   178
-32.1000000         0.0000000       1.0000000       0.0000000   179
-32.0000000         0.0000000       1.0000000       0.0000000   180
-31.9000000         0.0000000       1.0000000       0.0000000   181
-31.8000000         0.0000000       1.0000000       0.0000000   182
-31.7000000         0.0000000       1.0000000       0.0000000   183
-31.6000000         0.0000000       1.0000000       0.0000000   184
-31.5000000         0.0000000       1.0000000       0.0000000   185
-31.4000000         0.0000000       1.0000000       0.0000000   186
-31.3000000         0.0000000       1.0000000       0.0000000   187
-31.2000000         0.0000000       1.0000000       0.0000000   188
-31.1000000         0.0000000       1.0000000       0.0000000   189
-31.0000000         0.0000000       1.0000000       0.0000000   190
-30.9000000         0.0000000       1.0000000       0.0000000   191
-30.8000000         0.0000000       1.0000000       0.0000000   192
-30.7000000         0.0000000       1.0000000       0.0000000   193
-30.6000000         0.0000000       1.0000000       0.0000000   194
