#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.SINR
#  Description: Center Cell DL SINR distribution [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 68.6887888
#  Maximum: 83.1892667
#  Trials: 320
#  Mean: 74.7487384
# 
#  Variance: 12.3054044
#  Relative variance: 0.0022024
#  Coefficient of variation: 0.0469293
#  Standard deviation: 3.5079060
#  Relative standard deviation: 0.0469293
# 
#  Skewness: 0.3148729
# 
#  2nd moment: 5599.6408388
#  3rd moment: 420413.5580000
# 
#  Sum of all values: 23919.5962802
#  (Sum of all values)^2: 1791885.0684102
#  (Sum of all values)^3: 134532338.5600062
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -50
#  Right border of x-axis: 100
#  Resolution of x-axis: 150
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 68.3200000
#  P02: 68.6400000
#  P03: 68.9600000
#  P04: 69.1555556
#  P05: 69.3333333
#  P06: 69.5111111
#  P07: 69.6888889
#  P08: 69.8666667
#  P09: 70.0320000
#  P10: 70.1600000
#  P11: 70.2880000
#  P12: 70.4160000
#  P13: 70.5440000
#  P14: 70.6720000
#  P15: 70.8000000
#  P16: 70.9280000
#  P17: 71.0608696
#  P18: 71.2000000
#  P19: 71.3391304
#  P20: 71.4782609
#  P21: 71.6173913
#  P22: 71.7565217
#  P23: 71.8956522
#  P24: 72.0296296
#  P25: 72.1481481
#  P26: 72.2666667
#  P27: 72.3851852
#  P28: 72.5037037
#  P29: 72.6222222
#  P30: 72.7407407
#  P31: 72.8592593
#  P32: 72.9777778
#  P33: 73.0702703
#  P34: 73.1567568
#  P35: 73.2432432
#  P36: 73.3297297
#  P37: 73.4162162
#  P38: 73.5027027
#  P39: 73.5891892
#  P40: 73.6756757
#  P41: 73.7621622
#  P42: 73.8486486
#  P43: 73.9351351
#  P44: 74.0258065
#  P45: 74.1290323
#  P46: 74.2322581
#  P47: 74.3354839
#  P48: 74.4387097
#  P49: 74.5419355
#  P50: 74.6451613
#  P51: 74.7483871
#  P52: 74.8516129
#  P53: 74.9548387
#  P54: 75.0360000
#  P55: 75.1000000
#  P56: 75.1640000
#  P57: 75.2280000
#  P58: 75.2920000
#  P59: 75.3560000
#  P60: 75.4200000
#  P61: 75.4840000
#  P62: 75.5480000
#  P63: 75.6120000
#  P64: 75.6760000
#  P65: 75.7400000
#  P66: 75.8040000
#  P67: 75.8680000
#  P68: 75.9320000
#  P69: 75.9960000
#  P70: 76.1500000
#  P71: 76.3100000
#  P72: 76.4700000
#  P73: 76.6300000
#  P74: 76.7900000
#  P75: 76.9500000
#  P76: 77.1222222
#  P77: 77.3000000
#  P78: 77.4777778
#  P79: 77.6555556
#  P80: 77.8333333
#  P81: 78.0285714
#  P82: 78.4857143
#  P83: 78.9428571
#  P84: 79.1000000
#  P85: 79.2142857
#  P86: 79.3285714
#  P87: 79.4428571
#  P88: 79.5571429
#  P89: 79.6714286
#  P90: 79.7857143
#  P91: 79.9000000
#  P92: 80.0571429
#  P93: 80.5142857
#  P94: 80.9714286
#  P95: 81.2142857
#  P96: 81.4428571
#  P97: 81.6714286
#  P98: 81.9000000
#  P99: 82.4500000
#  P100: 83.1892667
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-50.0000000         0.0000000       1.0000000       0.0000000     0
-49.0000000         0.0000000       1.0000000       0.0000000     1
-48.0000000         0.0000000       1.0000000       0.0000000     2
-47.0000000         0.0000000       1.0000000       0.0000000     3
-46.0000000         0.0000000       1.0000000       0.0000000     4
-45.0000000         0.0000000       1.0000000       0.0000000     5
-44.0000000         0.0000000       1.0000000       0.0000000     6
-43.0000000         0.0000000       1.0000000       0.0000000     7
-42.0000000         0.0000000       1.0000000       0.0000000     8
-41.0000000         0.0000000       1.0000000       0.0000000     9
-40.0000000         0.0000000       1.0000000       0.0000000    10
-39.0000000         0.0000000       1.0000000       0.0000000    11
-38.0000000         0.0000000       1.0000000       0.0000000    12
-37.0000000         0.0000000       1.0000000       0.0000000    13
-36.0000000         0.0000000       1.0000000       0.0000000    14
-35.0000000         0.0000000       1.0000000       0.0000000    15
-34.0000000         0.0000000       1.0000000       0.0000000    16
-33.0000000         0.0000000       1.0000000       0.0000000    17
-32.0000000         0.0000000       1.0000000       0.0000000    18
-31.0000000         0.0000000       1.0000000       0.0000000    19
-30.0000000         0.0000000       1.0000000       0.0000000    20
-29.0000000         0.0000000       1.0000000       0.0000000    21
-28.0000000         0.0000000       1.0000000       0.0000000    22
-27.0000000         0.0000000       1.0000000       0.0000000    23
-26.0000000         0.0000000       1.0000000       0.0000000    24
-25.0000000         0.0000000       1.0000000       0.0000000    25
-24.0000000         0.0000000       1.0000000       0.0000000    26
-23.0000000         0.0000000       1.0000000       0.0000000    27
-22.0000000         0.0000000       1.0000000       0.0000000    28
-21.0000000         0.0000000       1.0000000       0.0000000    29
-20.0000000         0.0000000       1.0000000       0.0000000    30
-19.0000000         0.0000000       1.0000000       0.0000000    31
-18.0000000         0.0000000       1.0000000       0.0000000    32
-17.0000000         0.0000000       1.0000000       0.0000000    33
-16.0000000         0.0000000       1.0000000       0.0000000    34
-15.0000000         0.0000000       1.0000000       0.0000000    35
-14.0000000         0.0000000       1.0000000       0.0000000    36
-13.0000000         0.0000000       1.0000000       0.0000000    37
-12.0000000         0.0000000       1.0000000       0.0000000    38
-11.0000000         0.0000000       1.0000000       0.0000000    39
-10.0000000         0.0000000       1.0000000       0.0000000    40
-9.0000000          0.0000000       1.0000000       0.0000000    41
-8.0000000          0.0000000       1.0000000       0.0000000    42
-7.0000000          0.0000000       1.0000000       0.0000000    43
-6.0000000          0.0000000       1.0000000       0.0000000    44
-5.0000000          0.0000000       1.0000000       0.0000000    45
-4.0000000          0.0000000       1.0000000       0.0000000    46
-3.0000000          0.0000000       1.0000000       0.0000000    47
-2.0000000          0.0000000       1.0000000       0.0000000    48
-1.0000000          0.0000000       1.0000000       0.0000000    49
0.0000000           0.0000000       1.0000000       0.0000000    50
1.0000000           0.0000000       1.0000000       0.0000000    51
2.0000000           0.0000000       1.0000000       0.0000000    52
3.0000000           0.0000000       1.0000000       0.0000000    53
4.0000000           0.0000000       1.0000000       0.0000000    54
5.0000000           0.0000000       1.0000000       0.0000000    55
6.0000000           0.0000000       1.0000000       0.0000000    56
7.0000000           0.0000000       1.0000000       0.0000000    57
8.0000000           0.0000000       1.0000000       0.0000000    58
9.0000000           0.0000000       1.0000000       0.0000000    59
10.0000000          0.0000000       1.0000000       0.0000000    60
11.0000000          0.0000000       1.0000000       0.0000000    61
12.0000000          0.0000000       1.0000000       0.0000000    62
13.0000000          0.0000000       1.0000000       0.0000000    63
14.0000000          0.0000000       1.0000000       0.0000000    64
15.0000000          0.0000000       1.0000000       0.0000000    65
16.0000000          0.0000000       1.0000000       0.0000000    66
17.0000000          0.0000000       1.0000000       0.0000000    67
18.0000000          0.0000000       1.0000000       0.0000000    68
