#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.SINRest
#  Description: SINR Estimation [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 72.0441632
#  Maximum: 78.7163631
#  Trials: 320
#  Mean: 75.3749707
# 
#  Variance: 6.5191150
#  Relative variance: 0.0011475
#  Coefficient of variation: 0.0338741
#  Standard deviation: 2.5532558
#  Relative standard deviation: 0.0338741
# 
#  Skewness: -0.0063107
# 
#  2nd moment: 5687.8849436
#  3rd moment: 429703.7407559
# 
#  Sum of all values: 24119.9906088
#  (Sum of all values)^2: 1820123.1819669
#  (Sum of all values)^3: 137505197.0418728
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -50
#  Right border of x-axis: 100
#  Resolution of x-axis: 150
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 72.0400000
#  P02: 72.0800000
#  P03: 72.1200000
#  P04: 72.1600000
#  P05: 72.2000000
#  P06: 72.2400000
#  P07: 72.2800000
#  P08: 72.3200000
#  P09: 72.3600000
#  P10: 72.4000000
#  P11: 72.4400000
#  P12: 72.4800000
#  P13: 72.5200000
#  P14: 72.5600000
#  P15: 72.6000000
#  P16: 72.6400000
#  P17: 72.6800000
#  P18: 72.7200000
#  P19: 72.7600000
#  P20: 72.8000000
#  P21: 72.8400000
#  P22: 72.8800000
#  P23: 72.9200000
#  P24: 72.9600000
#  P25: 73.0000000
#  P26: 73.0400000
#  P27: 73.0800000
#  P28: 73.1200000
#  P29: 73.1600000
#  P30: 73.2000000
#  P31: 73.2400000
#  P32: 73.2800000
#  P33: 73.3200000
#  P34: 73.3600000
#  P35: 73.4000000
#  P36: 73.4400000
#  P37: 73.4800000
#  P38: 73.5200000
#  P39: 73.5600000
#  P40: 73.6000000
#  P41: 73.6400000
#  P42: 73.6800000
#  P43: 73.7200000
#  P44: 73.7600000
#  P45: 73.8000000
#  P46: 73.8400000
#  P47: 73.8800000
#  P48: 73.9200000
#  P49: 73.9600000
#  P50: 74.0000000
#  P51: 76.1600000
#  P52: 76.3200000
#  P53: 76.4800000
#  P54: 76.6400000
#  P55: 76.8000000
#  P56: 76.9600000
#  P57: 77.0300000
#  P58: 77.0700000
#  P59: 77.1100000
#  P60: 77.1500000
#  P61: 77.1900000
#  P62: 77.2300000
#  P63: 77.2700000
#  P64: 77.3100000
#  P65: 77.3500000
#  P66: 77.3900000
#  P67: 77.4300000
#  P68: 77.4700000
#  P69: 77.5100000
#  P70: 77.5500000
#  P71: 77.5900000
#  P72: 77.6300000
#  P73: 77.6700000
#  P74: 77.7100000
#  P75: 77.7500000
#  P76: 77.7900000
#  P77: 77.8300000
#  P78: 77.8700000
#  P79: 77.9100000
#  P80: 77.9500000
#  P81: 77.9900000
#  P82: 78.0286545
#  P83: 78.0668606
#  P84: 78.1050666
#  P85: 78.1432726
#  P86: 78.1814787
#  P87: 78.2196847
#  P88: 78.2578907
#  P89: 78.2960967
#  P90: 78.3343028
#  P91: 78.3725088
#  P92: 78.4107148
#  P93: 78.4489209
#  P94: 78.4871269
#  P95: 78.5253329
#  P96: 78.5635390
#  P97: 78.6017450
#  P98: 78.6399510
#  P99: 78.6781571
#  P100: 78.7163631
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-50.0000000         0.0000000       1.0000000       0.0000000     0
-49.0000000         0.0000000       1.0000000       0.0000000     1
-48.0000000         0.0000000       1.0000000       0.0000000     2
-47.0000000         0.0000000       1.0000000       0.0000000     3
-46.0000000         0.0000000       1.0000000       0.0000000     4
-45.0000000         0.0000000       1.0000000       0.0000000     5
-44.0000000         0.0000000       1.0000000       0.0000000     6
-43.0000000         0.0000000       1.0000000       0.0000000     7
-42.0000000         0.0000000       1.0000000       0.0000000     8
-41.0000000         0.0000000       1.0000000       0.0000000     9
-40.0000000         0.0000000       1.0000000       0.0000000    10
-39.0000000         0.0000000       1.0000000       0.0000000    11
-38.0000000         0.0000000       1.0000000       0.0000000    12
-37.0000000         0.0000000       1.0000000       0.0000000    13
-36.0000000         0.0000000       1.0000000       0.0000000    14
-35.0000000         0.0000000       1.0000000       0.0000000    15
-34.0000000         0.0000000       1.0000000       0.0000000    16
-33.0000000         0.0000000       1.0000000       0.0000000    17
-32.0000000         0.0000000       1.0000000       0.0000000    18
-31.0000000         0.0000000       1.0000000       0.0000000    19
-30.0000000         0.0000000       1.0000000       0.0000000    20
-29.0000000         0.0000000       1.0000000       0.0000000    21
-28.0000000         0.0000000       1.0000000       0.0000000    22
-27.0000000         0.0000000       1.0000000       0.0000000    23
-26.0000000         0.0000000       1.0000000       0.0000000    24
-25.0000000         0.0000000       1.0000000       0.0000000    25
-24.0000000         0.0000000       1.0000000       0.0000000    26
-23.0000000         0.0000000       1.0000000       0.0000000    27
-22.0000000         0.0000000       1.0000000       0.0000000    28
-21.0000000         0.0000000       1.0000000       0.0000000    29
-20.0000000         0.0000000       1.0000000       0.0000000    30
-19.0000000         0.0000000       1.0000000       0.0000000    31
-18.0000000         0.0000000       1.0000000       0.0000000    32
-17.0000000         0.0000000       1.0000000       0.0000000    33
-16.0000000         0.0000000       1.0000000       0.0000000    34
-15.0000000         0.0000000       1.0000000       0.0000000    35
-14.0000000         0.0000000       1.0000000       0.0000000    36
-13.0000000         0.0000000       1.0000000       0.0000000    37
-12.0000000         0.0000000       1.0000000       0.0000000    38
-11.0000000         0.0000000       1.0000000       0.0000000    39
-10.0000000         0.0000000       1.0000000       0.0000000    40
-9.0000000          0.0000000       1.0000000       0.0000000    41
-8.0000000          0.0000000       1.0000000       0.0000000    42
-7.0000000          0.0000000       1.0000000       0.0000000    43
-6.0000000          0.0000000       1.0000000       0.0000000    44
-5.0000000          0.0000000       1.0000000       0.0000000    45
-4.0000000          0.0000000       1.0000000       0.0000000    46
-3.0000000          0.0000000       1.0000000       0.0000000    47
-2.0000000          0.0000000       1.0000000       0.0000000    48
-1.0000000          0.0000000       1.0000000       0.0000000    49
0.0000000           0.0000000       1.0000000       0.0000000    50
1.0000000           0.0000000       1.0000000       0.0000000    51
2.0000000           0.0000000       1.0000000       0.0000000    52
3.0000000           0.0000000       1.0000000       0.0000000    53
4.0000000           0.0000000       1.0000000       0.0000000    54
5.0000000           0.0000000       1.0000000       0.0000000    55
6.0000000           0.0000000       1.0000000       0.0000000    56
7.0000000           0.0000000       1.0000000       0.0000000    57
8.0000000           0.0000000       1.0000000       0.0000000    58
9.0000000           0.0000000       1.0000000       0.0000000    59
10.0000000          0.0000000       1.0000000       0.0000000    60
11.0000000          0.0000000       1.0000000       0.0000000    61
12.0000000          0.0000000       1.0000000       0.0000000    62
13.0000000          0.0000000       1.0000000       0.0000000    63
14.0000000          0.0000000       1.0000000       0.0000000    64
15.0000000          0.0000000       1.0000000       0.0000000    65
16.0000000          0.0000000       1.0000000       0.0000000    66
17.0000000          0.0000000       1.0000000       0.0000000    67
18.0000000          0.0000000       1.0000000       0.0000000    68
