#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.SestError
#  Description: Carrier Estimation Error [dBm]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 24.7332960
#  Maximum: 52.5228259
#  Trials: 570
#  Mean: 34.1385738
# 
#  Variance: 40.4698590
#  Relative variance: 0.0347249
#  Coefficient of variation: 0.1863462
#  Standard deviation: 6.3615925
#  Relative standard deviation: 0.1863462
# 
#  Skewness: 0.3023384
# 
#  2nd moment: 1205.8410817
#  3rd moment: 44001.8515158
# 
#  Sum of all values: 19458.9870776
#  (Sum of all values)^2: 687329.4165646
#  (Sum of all values)^3: 25081055.3640196
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -100
#  Right border of x-axis: 100
#  Resolution of x-axis: 200
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 24.5181818
#  P02: 25.0076923
#  P03: 25.1173077
#  P04: 25.2269231
#  P05: 25.3365385
#  P06: 25.4461538
#  P07: 25.5557692
#  P08: 25.6653846
#  P09: 25.7750000
#  P10: 25.8846154
#  P11: 25.9942308
#  P12: 26.1018868
#  P13: 26.2094340
#  P14: 26.3169811
#  P15: 26.4245283
#  P16: 26.5320755
#  P17: 26.6396226
#  P18: 26.7471698
#  P19: 26.8547170
#  P20: 26.9622642
#  P21: 27.0649123
#  P22: 27.1649123
#  P23: 27.2649123
#  P24: 27.3649123
#  P25: 27.4649123
#  P26: 27.5649123
#  P27: 27.6649123
#  P28: 27.7649123
#  P29: 27.8649123
#  P30: 27.9649123
#  P31: 28.5285714
#  P32: 31.0800000
#  P33: 31.2700000
#  P34: 31.4600000
#  P35: 31.6500000
#  P36: 31.8400000
#  P37: 32.0243243
#  P38: 32.1783784
#  P39: 32.3324324
#  P40: 32.4864865
#  P41: 32.6405405
#  P42: 32.7945946
#  P43: 32.9486486
#  P44: 33.1407407
#  P45: 33.3518519
#  P46: 33.5629630
#  P47: 33.7740741
#  P48: 33.9851852
#  P49: 34.1656250
#  P50: 34.3437500
#  P51: 34.5218750
#  P52: 34.7000000
#  P53: 34.8781250
#  P54: 35.0545455
#  P55: 35.2272727
#  P56: 35.4000000
#  P57: 35.5727273
#  P58: 35.7454545
#  P59: 35.9181818
#  P60: 36.2142857
#  P61: 36.6214286
#  P62: 37.0056338
#  P63: 37.0859155
#  P64: 37.1661972
#  P65: 37.2464789
#  P66: 37.3267606
#  P67: 37.4070423
#  P68: 37.4873239
#  P69: 37.5676056
#  P70: 37.6478873
#  P71: 37.7281690
#  P72: 37.8084507
#  P73: 37.8887324
#  P74: 37.9690141
#  P75: 38.0945946
#  P76: 38.2486486
#  P77: 38.4027027
#  P78: 38.5567568
#  P79: 38.7108108
#  P80: 38.8648649
#  P81: 39.0368421
#  P82: 39.3368421
#  P83: 39.6368421
#  P84: 39.9368421
#  P85: 40.5000000
#  P86: 41.1200000
#  P87: 41.6900000
#  P88: 42.2000000
#  P89: 42.6384615
#  P90: 43.0833333
#  P91: 43.5583333
#  P92: 44.0266667
#  P93: 44.4066667
#  P94: 44.7866667
#  P95: 45.3125000
#  P96: 46.0333333
#  P97: 46.9833333
#  P98: 48.0666667
#  P99: 48.7000000
#  P100: 52.5228259
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-100.0000000        0.0000000       1.0000000       0.0000000     0
-99.0000000         0.0000000       1.0000000       0.0000000     1
-98.0000000         0.0000000       1.0000000       0.0000000     2
-97.0000000         0.0000000       1.0000000       0.0000000     3
-96.0000000         0.0000000       1.0000000       0.0000000     4
-95.0000000         0.0000000       1.0000000       0.0000000     5
-94.0000000         0.0000000       1.0000000       0.0000000     6
-93.0000000         0.0000000       1.0000000       0.0000000     7
-92.0000000         0.0000000       1.0000000       0.0000000     8
-91.0000000         0.0000000       1.0000000       0.0000000     9
-90.0000000         0.0000000       1.0000000       0.0000000    10
-89.0000000         0.0000000       1.0000000       0.0000000    11
-88.0000000         0.0000000       1.0000000       0.0000000    12
-87.0000000         0.0000000       1.0000000       0.0000000    13
-86.0000000         0.0000000       1.0000000       0.0000000    14
-85.0000000         0.0000000       1.0000000       0.0000000    15
-84.0000000         0.0000000       1.0000000       0.0000000    16
-83.0000000         0.0000000       1.0000000       0.0000000    17
-82.0000000         0.0000000       1.0000000       0.0000000    18
-81.0000000         0.0000000       1.0000000       0.0000000    19
-80.0000000         0.0000000       1.0000000       0.0000000    20
-79.0000000         0.0000000       1.0000000       0.0000000    21
-78.0000000         0.0000000       1.0000000       0.0000000    22
-77.0000000         0.0000000       1.0000000       0.0000000    23
-76.0000000         0.0000000       1.0000000       0.0000000    24
-75.0000000         0.0000000       1.0000000       0.0000000    25
-74.0000000         0.0000000       1.0000000       0.0000000    26
-73.0000000         0.0000000       1.0000000       0.0000000    27
-72.0000000         0.0000000       1.0000000       0.0000000    28
-71.0000000         0.0000000       1.0000000       0.0000000    29
-70.0000000         0.0000000       1.0000000       0.0000000    30
-69.0000000         0.0000000       1.0000000       0.0000000    31
-68.0000000         0.0000000       1.0000000       0.0000000    32
-67.0000000         0.0000000       1.0000000       0.0000000    33
-66.0000000         0.0000000       1.0000000       0.0000000    34
-65.0000000         0.0000000       1.0000000       0.0000000    35
-64.0000000         0.0000000       1.0000000       0.0000000    36
-63.0000000         0.0000000       1.0000000       0.0000000    37
-62.0000000         0.0000000       1.0000000       0.0000000    38
-61.0000000         0.0000000       1.0000000       0.0000000    39
-60.0000000         0.0000000       1.0000000       0.0000000    40
-59.0000000         0.0000000       1.0000000       0.0000000    41
-58.0000000         0.0000000       1.0000000       0.0000000    42
-57.0000000         0.0000000       1.0000000       0.0000000    43
-56.0000000         0.0000000       1.0000000       0.0000000    44
-55.0000000         0.0000000       1.0000000       0.0000000    45
-54.0000000         0.0000000       1.0000000       0.0000000    46
-53.0000000         0.0000000       1.0000000       0.0000000    47
-52.0000000         0.0000000       1.0000000       0.0000000    48
-51.0000000         0.0000000       1.0000000       0.0000000    49
-50.0000000         0.0000000       1.0000000       0.0000000    50
-49.0000000         0.0000000       1.0000000       0.0000000    51
-48.0000000         0.0000000       1.0000000       0.0000000    52
-47.0000000         0.0000000       1.0000000       0.0000000    53
-46.0000000         0.0000000       1.0000000       0.0000000    54
-45.0000000         0.0000000       1.0000000       0.0000000    55
-44.0000000         0.0000000       1.0000000       0.0000000    56
-43.0000000         0.0000000       1.0000000       0.0000000    57
-42.0000000         0.0000000       1.0000000       0.0000000    58
-41.0000000         0.0000000       1.0000000       0.0000000    59
-40.0000000         0.0000000       1.0000000       0.0000000    60
-39.0000000         0.0000000       1.0000000       0.0000000    61
-38.0000000         0.0000000       1.0000000       0.0000000    62
-37.0000000         0.0000000       1.0000000       0.0000000    63
-36.0000000         0.0000000       1.0000000       0.0000000    64
-35.0000000         0.0000000       1.0000000       0.0000000    65
-34.0000000         0.0000000       1.0000000       0.0000000    66
-33.0000000         0.0000000       1.0000000       0.0000000    67
