#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.TxPower
#  Description: Uplink Tx Power distribution
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -42.8916248
#  Maximum: -31.8155139
#  Trials: 690
#  Mean: -39.1004788
# 
#  Variance: 11.5590405
#  Relative variance: 0.0075606
#  Coefficient of variation: 0.0869518
#  Standard deviation: 3.3998589
#  Relative standard deviation: -0.0869518
# 
#  Skewness: 0.3001274
# 
#  2nd moment: 1540.3897273
#  3rd moment: -61120.7990659
# 
#  Sum of all values: -26979.3303424
#  (Sum of all values)^2: 1062868.9118312
#  (Sum of all values)^3: -42173351.3554475
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -110
#  Right border of x-axis: 22
#  Resolution of x-axis: 100
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: -43.8988000
#  P02: -43.7976000
#  P03: -43.6964000
#  P04: -43.5952000
#  P05: -43.4940000
#  P06: -43.3928000
#  P07: -43.2916000
#  P08: -43.1904000
#  P09: -43.0892000
#  P10: -42.9880000
#  P11: -42.8868000
#  P12: -42.7856000
#  P13: -42.6844000
#  P14: -42.6437000
#  P15: -42.6057500
#  P16: -42.5678000
#  P17: -42.5298500
#  P18: -42.4919000
#  P19: -42.4539500
#  P20: -42.4160000
#  P21: -42.3780500
#  P22: -42.3401000
#  P23: -42.3021500
#  P24: -42.2642000
#  P25: -42.2262500
#  P26: -42.1883000
#  P27: -42.1503500
#  P28: -42.1124000
#  P29: -42.0744500
#  P30: -42.0365000
#  P31: -41.9985500
#  P32: -41.9606000
#  P33: -41.9226500
#  P34: -41.8847000
#  P35: -41.8467500
#  P36: -41.8088000
#  P37: -41.7708500
#  P38: -41.7329000
#  P39: -41.6949500
#  P40: -41.6570000
#  P41: -41.6190500
#  P42: -41.5811000
#  P43: -41.5431500
#  P44: -41.5052000
#  P45: -41.4672500
#  P46: -41.4293000
#  P47: -41.3913500
#  P48: -41.3072000
#  P49: -41.0036000
#  P50: -40.7000000
#  P51: -40.3964000
#  P52: -40.0928000
#  P53: -38.4692000
#  P54: -38.1656000
#  P55: -37.8620000
#  P56: -37.5584000
#  P57: -37.3516000
#  P58: -37.2504000
#  P59: -37.1492000
#  P60: -37.0480000
#  P61: -36.9468000
#  P62: -36.8456000
#  P63: -36.7444000
#  P64: -36.6432000
#  P65: -36.5420000
#  P66: -36.4408000
#  P67: -36.3396000
#  P68: -36.2384000
#  P69: -36.1372000
#  P70: -36.0580000
#  P71: -36.0074000
#  P72: -35.9568000
#  P73: -35.9062000
#  P74: -35.8556000
#  P75: -35.8050000
#  P76: -35.7544000
#  P77: -35.7038000
#  P78: -35.6532000
#  P79: -35.6026000
#  P80: -35.5520000
#  P81: -35.5014000
#  P82: -35.4508000
#  P83: -35.4002000
#  P84: -35.3496000
#  P85: -35.2990000
#  P86: -35.2484000
#  P87: -35.1978000
#  P88: -35.1472000
#  P89: -35.0966000
#  P90: -35.0460000
#  P91: -34.9954000
#  P92: -34.9448000
#  P93: -34.8942000
#  P94: -34.8436000
#  P95: -34.7930000
#  P96: -32.0956411
#  P97: -32.0256093
#  P98: -31.9555775
#  P99: -31.8855457
#  P100: -31.8155139
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-110.0000000        0.0000000       1.0000000       0.0000000     0
-108.6800000        0.0000000       1.0000000       0.0000000     1
-107.3600000        0.0000000       1.0000000       0.0000000     2
-106.0400000        0.0000000       1.0000000       0.0000000     3
-104.7200000        0.0000000       1.0000000       0.0000000     4
-103.4000000        0.0000000       1.0000000       0.0000000     5
-102.0800000        0.0000000       1.0000000       0.0000000     6
-100.7600000        0.0000000       1.0000000       0.0000000     7
-99.4400000         0.0000000       1.0000000       0.0000000     8
-98.1200000         0.0000000       1.0000000       0.0000000     9
-96.8000000         0.0000000       1.0000000       0.0000000    10
-95.4800000         0.0000000       1.0000000       0.0000000    11
-94.1600000         0.0000000       1.0000000       0.0000000    12
-92.8400000         0.0000000       1.0000000       0.0000000    13
-91.5200000         0.0000000       1.0000000       0.0000000    14
-90.2000000         0.0000000       1.0000000       0.0000000    15
-88.8800000         0.0000000       1.0000000       0.0000000    16
-87.5600000         0.0000000       1.0000000       0.0000000    17
-86.2400000         0.0000000       1.0000000       0.0000000    18
-84.9200000         0.0000000       1.0000000       0.0000000    19
-83.6000000         0.0000000       1.0000000       0.0000000    20
-82.2800000         0.0000000       1.0000000       0.0000000    21
-80.9600000         0.0000000       1.0000000       0.0000000    22
-79.6400000         0.0000000       1.0000000       0.0000000    23
-78.3200000         0.0000000       1.0000000       0.0000000    24
-77.0000000         0.0000000       1.0000000       0.0000000    25
-75.6800000         0.0000000       1.0000000       0.0000000    26
-74.3600000         0.0000000       1.0000000       0.0000000    27
-73.0400000         0.0000000       1.0000000       0.0000000    28
-71.7200000         0.0000000       1.0000000       0.0000000    29
-70.4000000         0.0000000       1.0000000       0.0000000    30
-69.0800000         0.0000000       1.0000000       0.0000000    31
-67.7600000         0.0000000       1.0000000       0.0000000    32
-66.4400000         0.0000000       1.0000000       0.0000000    33
-65.1200000         0.0000000       1.0000000       0.0000000    34
-63.8000000         0.0000000       1.0000000       0.0000000    35
-62.4800000         0.0000000       1.0000000       0.0000000    36
-61.1600000         0.0000000       1.0000000       0.0000000    37
-59.8400000         0.0000000       1.0000000       0.0000000    38
-58.5200000         0.0000000       1.0000000       0.0000000    39
-57.2000000         0.0000000       1.0000000       0.0000000    40
-55.8800000         0.0000000       1.0000000       0.0000000    41
-54.5600000         0.0000000       1.0000000       0.0000000    42
-53.2400000         0.0000000       1.0000000       0.0000000    43
-51.9200000         0.0000000       1.0000000       0.0000000    44
-50.6000000         0.0000000       1.0000000       0.0000000    45
-49.2800000         0.0000000       1.0000000       0.0000000    46
-47.9600000         0.0000000       1.0000000       0.0000000    47
-46.6400000         0.0000000       1.0000000       0.0000000    48
-45.3200000         0.0000000       1.0000000       0.0000000    49
-44.0000000         0.0000000       1.0000000       0.0000000    50
-42.6800000         0.1304348       0.8695652       0.1304348    51
-41.3600000         0.4782609       0.5217391       0.3478261    52
-40.0400000         0.5217391       0.4782609       0.0434783    53
-38.7200000         0.5217391       0.4782609       0.0000000    54
-37.4000000         0.5652174       0.4347826       0.0434783    55
-36.0800000         0.6956522       0.3043478       0.1304348    56
-34.7600000         0.9565217       0.0434783       0.2608696    57
-33.4400000         0.9565217       0.0434783       0.0000000    58
-32.1200000         0.9565217       0.0434783       0.0000000    59
-30.8000000         1.0000000       0.0000000       0.0434783    60
-29.4800000         1.0000000       0.0000000       0.0000000    61
-28.1600000         1.0000000       0.0000000       0.0000000    62
-26.8400000         1.0000000       0.0000000       0.0000000    63
-25.5200000         1.0000000       0.0000000       0.0000000    64
-24.2000000         1.0000000       0.0000000       0.0000000    65
-22.8800000         1.0000000       0.0000000       0.0000000    66
-21.5600000         1.0000000       0.0000000       0.0000000    67
