#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: scheduler.harq.effSINR
#  Description: Effective SINR
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 2.6103308
#  Maximum: 16.0269101
#  Trials: 19
#  Mean: 11.6410690
# 
#  Variance: 13.6998017
#  Relative variance: 0.1010947
#  Coefficient of variation: 0.3179540
#  Standard deviation: 3.7013243
#  Relative standard deviation: 0.3179540
# 
#  Skewness: -0.6574816
# 
#  2nd moment: 148.4932480
#  3rd moment: 1997.4542384
# 
#  Sum of all values: 221.1803119
#  (Sum of all values)^2: 2821.3717129
#  (Sum of all values)^3: 37951.6305298
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -50
#  Right border of x-axis: 100
#  Resolution of x-axis: 150
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 2.1900000
#  P02: 2.3800000
#  P03: 2.5700000
#  P04: 2.7600000
#  P05: 2.9500000
#  P06: 5.1400000
#  P07: 5.3300000
#  P08: 5.5200000
#  P09: 5.7100000
#  P10: 5.9000000
#  P11: 8.0900000
#  P12: 8.2800000
#  P13: 8.4700000
#  P14: 8.6600000
#  P15: 8.8500000
#  P16: 9.0133333
#  P17: 9.0766667
#  P18: 9.1400000
#  P19: 9.2033333
#  P20: 9.2666667
#  P21: 9.3300000
#  P22: 9.3933333
#  P23: 9.4566667
#  P24: 9.5200000
#  P25: 9.5833333
#  P26: 9.6466667
#  P27: 9.7100000
#  P28: 9.7733333
#  P29: 9.8366667
#  P30: 9.9000000
#  P31: 9.9633333
#  P32: 10.0200000
#  P33: 10.0675000
#  P34: 10.1150000
#  P35: 10.1625000
#  P36: 10.2100000
#  P37: 10.2575000
#  P38: 10.3050000
#  P39: 10.3525000
#  P40: 10.4000000
#  P41: 10.4475000
#  P42: 10.4950000
#  P43: 10.5425000
#  P44: 10.5900000
#  P45: 10.6375000
#  P46: 10.6850000
#  P47: 10.7325000
#  P48: 10.7800000
#  P49: 10.8275000
#  P50: 10.8750000
#  P51: 10.9225000
#  P52: 10.9700000
#  P53: 12.0700000
#  P54: 12.2600000
#  P55: 12.4500000
#  P56: 12.6400000
#  P57: 12.8300000
#  P58: 13.0100000
#  P59: 13.1050000
#  P60: 13.2000000
#  P61: 13.2950000
#  P62: 13.3900000
#  P63: 13.4850000
#  P64: 13.5800000
#  P65: 13.6750000
#  P66: 13.7700000
#  P67: 13.8650000
#  P68: 13.9600000
#  P69: 14.1100000
#  P70: 14.3000000
#  P71: 14.4900000
#  P72: 14.6800000
#  P73: 14.8700000
#  P74: 15.0200000
#  P75: 15.0833333
#  P76: 15.1466667
#  P77: 15.2100000
#  P78: 15.2733333
#  P79: 15.3366667
#  P80: 15.4000000
#  P81: 15.4633333
#  P82: 15.5266667
#  P83: 15.5900000
#  P84: 15.6533333
#  P85: 15.7166667
#  P86: 15.7800000
#  P87: 15.8433333
#  P88: 15.9066667
#  P89: 15.9700000
#  P90: 16.0013455
#  P91: 16.0039020
#  P92: 16.0064584
#  P93: 16.0090149
#  P94: 16.0115714
#  P95: 16.0141278
#  P96: 16.0166843
#  P97: 16.0192407
#  P98: 16.0217972
#  P99: 16.0243537
#  P100: 16.0269101
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-50.0000000         0.0000000       1.0000000       0.0000000     0
-49.0000000         0.0000000       1.0000000       0.0000000     1
-48.0000000         0.0000000       1.0000000       0.0000000     2
-47.0000000         0.0000000       1.0000000       0.0000000     3
-46.0000000         0.0000000       1.0000000       0.0000000     4
-45.0000000         0.0000000       1.0000000       0.0000000     5
-44.0000000         0.0000000       1.0000000       0.0000000     6
-43.0000000         0.0000000       1.0000000       0.0000000     7
-42.0000000         0.0000000       1.0000000       0.0000000     8
-41.0000000         0.0000000       1.0000000       0.0000000     9
-40.0000000         0.0000000       1.0000000       0.0000000    10
-39.0000000         0.0000000       1.0000000       0.0000000    11
-38.0000000         0.0000000       1.0000000       0.0000000    12
-37.0000000         0.0000000       1.0000000       0.0000000    13
-36.0000000         0.0000000       1.0000000       0.0000000    14
-35.0000000         0.0000000       1.0000000       0.0000000    15
-34.0000000         0.0000000       1.0000000       0.0000000    16
-33.0000000         0.0000000       1.0000000       0.0000000    17
-32.0000000         0.0000000       1.0000000       0.0000000    18
-31.0000000         0.0000000       1.0000000       0.0000000    19
-30.0000000         0.0000000       1.0000000       0.0000000    20
-29.0000000         0.0000000       1.0000000       0.0000000    21
-28.0000000         0.0000000       1.0000000       0.0000000    22
-27.0000000         0.0000000       1.0000000       0.0000000    23
-26.0000000         0.0000000       1.0000000       0.0000000    24
-25.0000000         0.0000000       1.0000000       0.0000000    25
-24.0000000         0.0000000       1.0000000       0.0000000    26
-23.0000000         0.0000000       1.0000000       0.0000000    27
-22.0000000         0.0000000       1.0000000       0.0000000    28
-21.0000000         0.0000000       1.0000000       0.0000000    29
-20.0000000         0.0000000       1.0000000       0.0000000    30
-19.0000000         0.0000000       1.0000000       0.0000000    31
-18.0000000         0.0000000       1.0000000       0.0000000    32
-17.0000000         0.0000000       1.0000000       0.0000000    33
-16.0000000         0.0000000       1.0000000       0.0000000    34
-15.0000000         0.0000000       1.0000000       0.0000000    35
-14.0000000         0.0000000       1.0000000       0.0000000    36
-13.0000000         0.0000000       1.0000000       0.0000000    37
-12.0000000         0.0000000       1.0000000       0.0000000    38
-11.0000000         0.0000000       1.0000000       0.0000000    39
-10.0000000         0.0000000       1.0000000       0.0000000    40
-9.0000000          0.0000000       1.0000000       0.0000000    41
-8.0000000          0.0000000       1.0000000       0.0000000    42
-7.0000000          0.0000000       1.0000000       0.0000000    43
-6.0000000          0.0000000       1.0000000       0.0000000    44
-5.0000000          0.0000000       1.0000000       0.0000000    45
-4.0000000          0.0000000       1.0000000       0.0000000    46
-3.0000000          0.0000000       1.0000000       0.0000000    47
-2.0000000          0.0000000       1.0000000       0.0000000    48
-1.0000000          0.0000000       1.0000000       0.0000000    49
0.0000000           0.0000000       1.0000000       0.0000000    50
1.0000000           0.0000000       1.0000000       0.0000000    51
2.0000000           0.0000000       1.0000000       0.0000000    52
3.0000000           0.0526316       0.9473684       0.0526316    53
4.0000000           0.0526316       0.9473684       0.0000000    54
5.0000000           0.0526316       0.9473684       0.0000000    55
6.0000000           0.1052632       0.8947368       0.0526316    56
7.0000000           0.1052632       0.8947368       0.0000000    57
8.0000000           0.1052632       0.8947368       0.0000000    58
9.0000000           0.1578947       0.8421053       0.0526316    59
10.0000000          0.3157895       0.6842105       0.1578947    60
11.0000000          0.5263158       0.4736842       0.2105263    61
12.0000000          0.5263158       0.4736842       0.0000000    62
13.0000000          0.5789474       0.4210526       0.0526316    63
14.0000000          0.6842105       0.3157895       0.1052632    64
15.0000000          0.7368421       0.2631579       0.0526316    65
16.0000000          0.8947368       0.1052632       0.1578947    66
17.0000000          1.0000000       0.0000000       0.1052632    67
