#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: scheduler.harq.effSINR
#  Description: Effective SINR
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 2.6103308
#  Maximum: 8.9181969
#  Trials: 3
#  Mean: 5.6246625
# 
#  Variance: 10.0057590
#  Relative variance: 0.3162693
#  Coefficient of variation: 0.5623783
#  Standard deviation: 3.1631881
#  Relative standard deviation: 0.5623783
# 
#  Skewness: 0.0875786
# 
#  2nd moment: 38.3073341
#  3rd moment: 293.2763853
# 
#  Sum of all values: 16.8739875
#  (Sum of all values)^2: 114.9220024
#  (Sum of all values)^3: 879.8291560
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -50
#  Right border of x-axis: 100
#  Resolution of x-axis: 150
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 2.0300000
#  P02: 2.0600000
#  P03: 2.0900000
#  P04: 2.1200000
#  P05: 2.1500000
#  P06: 2.1800000
#  P07: 2.2100000
#  P08: 2.2400000
#  P09: 2.2700000
#  P10: 2.3000000
#  P11: 2.3300000
#  P12: 2.3600000
#  P13: 2.3900000
#  P14: 2.4200000
#  P15: 2.4500000
#  P16: 2.4800000
#  P17: 2.5100000
#  P18: 2.5400000
#  P19: 2.5700000
#  P20: 2.6000000
#  P21: 2.6300000
#  P22: 2.6600000
#  P23: 2.6900000
#  P24: 2.7200000
#  P25: 2.7500000
#  P26: 2.7800000
#  P27: 2.8100000
#  P28: 2.8400000
#  P29: 2.8700000
#  P30: 2.9000000
#  P31: 2.9300000
#  P32: 2.9600000
#  P33: 2.9900000
#  P34: 5.0200000
#  P35: 5.0500000
#  P36: 5.0800000
#  P37: 5.1100000
#  P38: 5.1400000
#  P39: 5.1700000
#  P40: 5.2000000
#  P41: 5.2300000
#  P42: 5.2600000
#  P43: 5.2900000
#  P44: 5.3200000
#  P45: 5.3500000
#  P46: 5.3800000
#  P47: 5.4100000
#  P48: 5.4400000
#  P49: 5.4700000
#  P50: 5.5000000
#  P51: 5.5300000
#  P52: 5.5600000
#  P53: 5.5900000
#  P54: 5.6200000
#  P55: 5.6500000
#  P56: 5.6800000
#  P57: 5.7100000
#  P58: 5.7400000
#  P59: 5.7700000
#  P60: 5.8000000
#  P61: 5.8300000
#  P62: 5.8600000
#  P63: 5.8900000
#  P64: 5.9200000
#  P65: 5.9500000
#  P66: 5.9800000
#  P67: 8.0091820
#  P68: 8.0367279
#  P69: 8.0642738
#  P70: 8.0918197
#  P71: 8.1193656
#  P72: 8.1469115
#  P73: 8.1744574
#  P74: 8.2020033
#  P75: 8.2295492
#  P76: 8.2570951
#  P77: 8.2846410
#  P78: 8.3121869
#  P79: 8.3397328
#  P80: 8.3672787
#  P81: 8.3948246
#  P82: 8.4223706
#  P83: 8.4499165
#  P84: 8.4774624
#  P85: 8.5050083
#  P86: 8.5325542
#  P87: 8.5601001
#  P88: 8.5876460
#  P89: 8.6151919
#  P90: 8.6427378
#  P91: 8.6702837
#  P92: 8.6978296
#  P93: 8.7253755
#  P94: 8.7529214
#  P95: 8.7804673
#  P96: 8.8080132
#  P97: 8.8355591
#  P98: 8.8631050
#  P99: 8.8906510
#  P100: 8.9181969
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-50.0000000         0.0000000       1.0000000       0.0000000     0
-49.0000000         0.0000000       1.0000000       0.0000000     1
-48.0000000         0.0000000       1.0000000       0.0000000     2
-47.0000000         0.0000000       1.0000000       0.0000000     3
-46.0000000         0.0000000       1.0000000       0.0000000     4
-45.0000000         0.0000000       1.0000000       0.0000000     5
-44.0000000         0.0000000       1.0000000       0.0000000     6
-43.0000000         0.0000000       1.0000000       0.0000000     7
-42.0000000         0.0000000       1.0000000       0.0000000     8
-41.0000000         0.0000000       1.0000000       0.0000000     9
-40.0000000         0.0000000       1.0000000       0.0000000    10
-39.0000000         0.0000000       1.0000000       0.0000000    11
-38.0000000         0.0000000       1.0000000       0.0000000    12
-37.0000000         0.0000000       1.0000000       0.0000000    13
-36.0000000         0.0000000       1.0000000       0.0000000    14
-35.0000000         0.0000000       1.0000000       0.0000000    15
-34.0000000         0.0000000       1.0000000       0.0000000    16
-33.0000000         0.0000000       1.0000000       0.0000000    17
-32.0000000         0.0000000       1.0000000       0.0000000    18
-31.0000000         0.0000000       1.0000000       0.0000000    19
-30.0000000         0.0000000       1.0000000       0.0000000    20
-29.0000000         0.0000000       1.0000000       0.0000000    21
-28.0000000         0.0000000       1.0000000       0.0000000    22
-27.0000000         0.0000000       1.0000000       0.0000000    23
-26.0000000         0.0000000       1.0000000       0.0000000    24
-25.0000000         0.0000000       1.0000000       0.0000000    25
-24.0000000         0.0000000       1.0000000       0.0000000    26
-23.0000000         0.0000000       1.0000000       0.0000000    27
-22.0000000         0.0000000       1.0000000       0.0000000    28
-21.0000000         0.0000000       1.0000000       0.0000000    29
-20.0000000         0.0000000       1.0000000       0.0000000    30
-19.0000000         0.0000000       1.0000000       0.0000000    31
-18.0000000         0.0000000       1.0000000       0.0000000    32
-17.0000000         0.0000000       1.0000000       0.0000000    33
-16.0000000         0.0000000       1.0000000       0.0000000    34
-15.0000000         0.0000000       1.0000000       0.0000000    35
-14.0000000         0.0000000       1.0000000       0.0000000    36
-13.0000000         0.0000000       1.0000000       0.0000000    37
-12.0000000         0.0000000       1.0000000       0.0000000    38
-11.0000000         0.0000000       1.0000000       0.0000000    39
-10.0000000         0.0000000       1.0000000       0.0000000    40
-9.0000000          0.0000000       1.0000000       0.0000000    41
-8.0000000          0.0000000       1.0000000       0.0000000    42
-7.0000000          0.0000000       1.0000000       0.0000000    43
-6.0000000          0.0000000       1.0000000       0.0000000    44
-5.0000000          0.0000000       1.0000000       0.0000000    45
-4.0000000          0.0000000       1.0000000       0.0000000    46
-3.0000000          0.0000000       1.0000000       0.0000000    47
-2.0000000          0.0000000       1.0000000       0.0000000    48
-1.0000000          0.0000000       1.0000000       0.0000000    49
0.0000000           0.0000000       1.0000000       0.0000000    50
1.0000000           0.0000000       1.0000000       0.0000000    51
2.0000000           0.0000000       1.0000000       0.0000000    52
3.0000000           0.3333333       0.6666667       0.3333333    53
4.0000000           0.3333333       0.6666667       0.0000000    54
5.0000000           0.3333333       0.6666667       0.0000000    55
6.0000000           0.6666667       0.3333333       0.3333333    56
7.0000000           0.6666667       0.3333333       0.0000000    57
8.0000000           0.6666667       0.3333333       0.0000000    58
9.0000000           1.0000000       0.0000000       0.3333333    59
10.0000000          1.0000000       0.0000000       0.0000000    60
11.0000000          1.0000000       0.0000000       0.0000000    61
12.0000000          1.0000000       0.0000000       0.0000000    62
13.0000000          1.0000000       0.0000000       0.0000000    63
14.0000000          1.0000000       0.0000000       0.0000000    64
15.0000000          1.0000000       0.0000000       0.0000000    65
16.0000000          1.0000000       0.0000000       0.0000000    66
17.0000000          1.0000000       0.0000000       0.0000000    67
