#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.SINR
#  Description: Center Cell DL SINR distribution [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 73.8799980
#  Maximum: 87.4178749
#  Trials: 320
#  Mean: 80.1466471
# 
#  Variance: 16.8213989
#  Relative variance: 0.0026187
#  Coefficient of variation: 0.0511736
#  Standard deviation: 4.1013899
#  Relative standard deviation: 0.0511736
# 
#  Skewness: 0.0068217
# 
#  2nd moment: 6440.2538768
#  3rd moment: 518853.1567894
# 
#  Sum of all values: 25646.9270788
#  (Sum of all values)^2: 2060881.2405714
#  (Sum of all values)^3: 166033010.1726103
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -20
#  Right border of x-axis: 30
#  Resolution of x-axis: 100
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 320
#  Overflows in percent: 1
# -----------------------------------------------------------
# Percentiles
#  P01: NaN
#  P02: NaN
#  P03: NaN
#  P04: NaN
#  P05: NaN
#  P06: NaN
#  P07: NaN
#  P08: NaN
#  P09: NaN
#  P10: NaN
#  P11: NaN
#  P12: NaN
#  P13: NaN
#  P14: NaN
#  P15: NaN
#  P16: NaN
#  P17: NaN
#  P18: NaN
#  P19: NaN
#  P20: NaN
#  P21: NaN
#  P22: NaN
#  P23: NaN
#  P24: NaN
#  P25: NaN
#  P26: NaN
#  P27: NaN
#  P28: NaN
#  P29: NaN
#  P30: NaN
#  P31: NaN
#  P32: NaN
#  P33: NaN
#  P34: NaN
#  P35: NaN
#  P36: NaN
#  P37: NaN
#  P38: NaN
#  P39: NaN
#  P40: NaN
#  P41: NaN
#  P42: NaN
#  P43: NaN
#  P44: NaN
#  P45: NaN
#  P46: NaN
#  P47: NaN
#  P48: NaN
#  P49: NaN
#  P50: NaN
#  P51: NaN
#  P52: NaN
#  P53: NaN
#  P54: NaN
#  P55: NaN
#  P56: NaN
#  P57: NaN
#  P58: NaN
#  P59: NaN
#  P60: NaN
#  P61: NaN
#  P62: NaN
#  P63: NaN
#  P64: NaN
#  P65: NaN
#  P66: NaN
#  P67: NaN
#  P68: NaN
#  P69: NaN
#  P70: NaN
#  P71: NaN
#  P72: NaN
#  P73: NaN
#  P74: NaN
#  P75: NaN
#  P76: NaN
#  P77: NaN
#  P78: NaN
#  P79: NaN
#  P80: NaN
#  P81: NaN
#  P82: NaN
#  P83: NaN
#  P84: NaN
#  P85: NaN
#  P86: NaN
#  P87: NaN
#  P88: NaN
#  P89: NaN
#  P90: NaN
#  P91: NaN
#  P92: NaN
#  P93: NaN
#  P94: NaN
#  P95: NaN
#  P96: NaN
#  P97: NaN
#  P98: NaN
#  P99: NaN
#  P100: NaN
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-20.0000000         0.0000000       1.0000000       0.0000000     0
-19.5000000         0.0000000       1.0000000       0.0000000     1
-19.0000000         0.0000000       1.0000000       0.0000000     2
-18.5000000         0.0000000       1.0000000       0.0000000     3
-18.0000000         0.0000000       1.0000000       0.0000000     4
-17.5000000         0.0000000       1.0000000       0.0000000     5
-17.0000000         0.0000000       1.0000000       0.0000000     6
-16.5000000         0.0000000       1.0000000       0.0000000     7
-16.0000000         0.0000000       1.0000000       0.0000000     8
-15.5000000         0.0000000       1.0000000       0.0000000     9
-15.0000000         0.0000000       1.0000000       0.0000000    10
-14.5000000         0.0000000       1.0000000       0.0000000    11
-14.0000000         0.0000000       1.0000000       0.0000000    12
-13.5000000         0.0000000       1.0000000       0.0000000    13
-13.0000000         0.0000000       1.0000000       0.0000000    14
-12.5000000         0.0000000       1.0000000       0.0000000    15
-12.0000000         0.0000000       1.0000000       0.0000000    16
-11.5000000         0.0000000       1.0000000       0.0000000    17
-11.0000000         0.0000000       1.0000000       0.0000000    18
-10.5000000         0.0000000       1.0000000       0.0000000    19
-10.0000000         0.0000000       1.0000000       0.0000000    20
-9.5000000          0.0000000       1.0000000       0.0000000    21
-9.0000000          0.0000000       1.0000000       0.0000000    22
-8.5000000          0.0000000       1.0000000       0.0000000    23
-8.0000000          0.0000000       1.0000000       0.0000000    24
-7.5000000          0.0000000       1.0000000       0.0000000    25
-7.0000000          0.0000000       1.0000000       0.0000000    26
-6.5000000          0.0000000       1.0000000       0.0000000    27
-6.0000000          0.0000000       1.0000000       0.0000000    28
-5.5000000          0.0000000       1.0000000       0.0000000    29
-5.0000000          0.0000000       1.0000000       0.0000000    30
-4.5000000          0.0000000       1.0000000       0.0000000    31
-4.0000000          0.0000000       1.0000000       0.0000000    32
-3.5000000          0.0000000       1.0000000       0.0000000    33
-3.0000000          0.0000000       1.0000000       0.0000000    34
-2.5000000          0.0000000       1.0000000       0.0000000    35
-2.0000000          0.0000000       1.0000000       0.0000000    36
-1.5000000          0.0000000       1.0000000       0.0000000    37
-1.0000000          0.0000000       1.0000000       0.0000000    38
-0.5000000          0.0000000       1.0000000       0.0000000    39
0.0000000           0.0000000       1.0000000       0.0000000    40
0.5000000           0.0000000       1.0000000       0.0000000    41
1.0000000           0.0000000       1.0000000       0.0000000    42
1.5000000           0.0000000       1.0000000       0.0000000    43
2.0000000           0.0000000       1.0000000       0.0000000    44
2.5000000           0.0000000       1.0000000       0.0000000    45
3.0000000           0.0000000       1.0000000       0.0000000    46
3.5000000           0.0000000       1.0000000       0.0000000    47
4.0000000           0.0000000       1.0000000       0.0000000    48
4.5000000           0.0000000       1.0000000       0.0000000    49
5.0000000           0.0000000       1.0000000       0.0000000    50
5.5000000           0.0000000       1.0000000       0.0000000    51
6.0000000           0.0000000       1.0000000       0.0000000    52
6.5000000           0.0000000       1.0000000       0.0000000    53
7.0000000           0.0000000       1.0000000       0.0000000    54
7.5000000           0.0000000       1.0000000       0.0000000    55
8.0000000           0.0000000       1.0000000       0.0000000    56
8.5000000           0.0000000       1.0000000       0.0000000    57
9.0000000           0.0000000       1.0000000       0.0000000    58
9.5000000           0.0000000       1.0000000       0.0000000    59
10.0000000          0.0000000       1.0000000       0.0000000    60
10.5000000          0.0000000       1.0000000       0.0000000    61
11.0000000          0.0000000       1.0000000       0.0000000    62
11.5000000          0.0000000       1.0000000       0.0000000    63
12.0000000          0.0000000       1.0000000       0.0000000    64
12.5000000          0.0000000       1.0000000       0.0000000    65
13.0000000          0.0000000       1.0000000       0.0000000    66
13.5000000          0.0000000       1.0000000       0.0000000    67
14.0000000          0.0000000       1.0000000       0.0000000    68
14.5000000          0.0000000       1.0000000       0.0000000    69
15.0000000          0.0000000       1.0000000       0.0000000    70
15.5000000          0.0000000       1.0000000       0.0000000    71
16.0000000          0.0000000       1.0000000       0.0000000    72
16.5000000          0.0000000       1.0000000       0.0000000    73
17.0000000          0.0000000       1.0000000       0.0000000    74
17.5000000          0.0000000       1.0000000       0.0000000    75
18.0000000          0.0000000       1.0000000       0.0000000    76
18.5000000          0.0000000       1.0000000       0.0000000    77
19.0000000          0.0000000       1.0000000       0.0000000    78
19.5000000          0.0000000       1.0000000       0.0000000    79
20.0000000          0.0000000       1.0000000       0.0000000    80
20.5000000          0.0000000       1.0000000       0.0000000    81
21.0000000          0.0000000       1.0000000       0.0000000    82
21.5000000          0.0000000       1.0000000       0.0000000    83
22.0000000          0.0000000       1.0000000       0.0000000    84
22.5000000          0.0000000       1.0000000       0.0000000    85
23.0000000          0.0000000       1.0000000       0.0000000    86
23.5000000          0.0000000       1.0000000       0.0000000    87
24.0000000          0.0000000       1.0000000       0.0000000    88
24.5000000          0.0000000       1.0000000       0.0000000    89
25.0000000          0.0000000       1.0000000       0.0000000    90
25.5000000          0.0000000       1.0000000       0.0000000    91
26.0000000          0.0000000       1.0000000       0.0000000    92
26.5000000          0.0000000       1.0000000       0.0000000    93
27.0000000          0.0000000       1.0000000       0.0000000    94
27.5000000          0.0000000       1.0000000       0.0000000    95
28.0000000          0.0000000       1.0000000       0.0000000    96
28.5000000          0.0000000       1.0000000       0.0000000    97
29.0000000          0.0000000       1.0000000       0.0000000    98
29.5000000          0.0000000       1.0000000       0.0000000    99
30.0000000          0.0000000       1.0000000       0.0000000   100
# -----------------------------------------------------------
