#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.SINR
#  Description: Center Cell UL SINR distribution [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 5.9306318
#  Maximum: 13.2784370
#  Trials: 480
#  Mean: 10.5491582
# 
#  Variance: 0.8964916
#  Relative variance: 0.0080558
#  Coefficient of variation: 0.0897543
#  Standard deviation: 0.9468324
#  Relative standard deviation: 0.0897543
# 
#  Skewness: -0.9532715
# 
#  2nd moment: 112.1793618
#  3rd moment: 1201.4637250
# 
#  Sum of all values: 5063.5959168
#  (Sum of all values)^2: 53846.0936579
#  (Sum of all values)^3: 576702.5879948
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -20
#  Right border of x-axis: 30
#  Resolution of x-axis: 100
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 6.9500000
#  P02: 8.3250000
#  P03: 8.6700000
#  P04: 8.9100000
#  P05: 9.0600000
#  P06: 9.1560000
#  P07: 9.2520000
#  P08: 9.3480000
#  P09: 9.4440000
#  P10: 9.5163934
#  P11: 9.5557377
#  P12: 9.5950820
#  P13: 9.6344262
#  P14: 9.6737705
#  P15: 9.7131148
#  P16: 9.7524590
#  P17: 9.7918033
#  P18: 9.8311475
#  P19: 9.8704918
#  P20: 9.9098361
#  P21: 9.9491803
#  P22: 9.9885246
#  P23: 10.0146552
#  P24: 10.0353448
#  P25: 10.0560345
#  P26: 10.0767241
#  P27: 10.0974138
#  P28: 10.1181034
#  P29: 10.1387931
#  P30: 10.1594828
#  P31: 10.1801724
#  P32: 10.2008621
#  P33: 10.2215517
#  P34: 10.2422414
#  P35: 10.2629310
#  P36: 10.2836207
#  P37: 10.3043103
#  P38: 10.3250000
#  P39: 10.3456897
#  P40: 10.3663793
#  P41: 10.3870690
#  P42: 10.4077586
#  P43: 10.4284483
#  P44: 10.4491379
#  P45: 10.4698276
#  P46: 10.4905172
#  P47: 10.5121495
#  P48: 10.5345794
#  P49: 10.5570093
#  P50: 10.5794393
#  P51: 10.6018692
#  P52: 10.6242991
#  P53: 10.6467290
#  P54: 10.6691589
#  P55: 10.6915888
#  P56: 10.7140187
#  P57: 10.7364486
#  P58: 10.7588785
#  P59: 10.7813084
#  P60: 10.8037383
#  P61: 10.8261682
#  P62: 10.8485981
#  P63: 10.8710280
#  P64: 10.8934579
#  P65: 10.9158879
#  P66: 10.9383178
#  P67: 10.9607477
#  P68: 10.9831776
#  P69: 11.0065217
#  P70: 11.0326087
#  P71: 11.0586957
#  P72: 11.0847826
#  P73: 11.1108696
#  P74: 11.1369565
#  P75: 11.1630435
#  P76: 11.1891304
#  P77: 11.2152174
#  P78: 11.2413043
#  P79: 11.2673913
#  P80: 11.2934783
#  P81: 11.3195652
#  P82: 11.3456522
#  P83: 11.3717391
#  P84: 11.3978261
#  P85: 11.4239130
#  P86: 11.4500000
#  P87: 11.4760870
#  P88: 11.5052632
#  P89: 11.5684211
#  P90: 11.6315789
#  P91: 11.6947368
#  P92: 11.7578947
#  P93: 11.8210526
#  P94: 11.8842105
#  P95: 11.9473684
#  P96: 12.0307692
#  P97: 12.2153846
#  P98: 12.4000000
#  P99: 12.7750000
#  P100: 13.2784370
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-20.0000000         0.0000000       1.0000000       0.0000000     0
-19.5000000         0.0000000       1.0000000       0.0000000     1
-19.0000000         0.0000000       1.0000000       0.0000000     2
-18.5000000         0.0000000       1.0000000       0.0000000     3
-18.0000000         0.0000000       1.0000000       0.0000000     4
-17.5000000         0.0000000       1.0000000       0.0000000     5
-17.0000000         0.0000000       1.0000000       0.0000000     6
-16.5000000         0.0000000       1.0000000       0.0000000     7
-16.0000000         0.0000000       1.0000000       0.0000000     8
-15.5000000         0.0000000       1.0000000       0.0000000     9
-15.0000000         0.0000000       1.0000000       0.0000000    10
-14.5000000         0.0000000       1.0000000       0.0000000    11
-14.0000000         0.0000000       1.0000000       0.0000000    12
-13.5000000         0.0000000       1.0000000       0.0000000    13
-13.0000000         0.0000000       1.0000000       0.0000000    14
-12.5000000         0.0000000       1.0000000       0.0000000    15
-12.0000000         0.0000000       1.0000000       0.0000000    16
-11.5000000         0.0000000       1.0000000       0.0000000    17
-11.0000000         0.0000000       1.0000000       0.0000000    18
-10.5000000         0.0000000       1.0000000       0.0000000    19
-10.0000000         0.0000000       1.0000000       0.0000000    20
-9.5000000          0.0000000       1.0000000       0.0000000    21
-9.0000000          0.0000000       1.0000000       0.0000000    22
-8.5000000          0.0000000       1.0000000       0.0000000    23
-8.0000000          0.0000000       1.0000000       0.0000000    24
-7.5000000          0.0000000       1.0000000       0.0000000    25
-7.0000000          0.0000000       1.0000000       0.0000000    26
-6.5000000          0.0000000       1.0000000       0.0000000    27
-6.0000000          0.0000000       1.0000000       0.0000000    28
-5.5000000          0.0000000       1.0000000       0.0000000    29
-5.0000000          0.0000000       1.0000000       0.0000000    30
-4.5000000          0.0000000       1.0000000       0.0000000    31
-4.0000000          0.0000000       1.0000000       0.0000000    32
-3.5000000          0.0000000       1.0000000       0.0000000    33
-3.0000000          0.0000000       1.0000000       0.0000000    34
-2.5000000          0.0000000       1.0000000       0.0000000    35
-2.0000000          0.0000000       1.0000000       0.0000000    36
-1.5000000          0.0000000       1.0000000       0.0000000    37
-1.0000000          0.0000000       1.0000000       0.0000000    38
-0.5000000          0.0000000       1.0000000       0.0000000    39
0.0000000           0.0000000       1.0000000       0.0000000    40
0.5000000           0.0000000       1.0000000       0.0000000    41
1.0000000           0.0000000       1.0000000       0.0000000    42
1.5000000           0.0000000       1.0000000       0.0000000    43
2.0000000           0.0000000       1.0000000       0.0000000    44
2.5000000           0.0000000       1.0000000       0.0000000    45
3.0000000           0.0000000       1.0000000       0.0000000    46
3.5000000           0.0000000       1.0000000       0.0000000    47
4.0000000           0.0000000       1.0000000       0.0000000    48
4.5000000           0.0000000       1.0000000       0.0000000    49
5.0000000           0.0000000       1.0000000       0.0000000    50
5.5000000           0.0000000       1.0000000       0.0000000    51
6.0000000           0.0020833       0.9979167       0.0020833    52
6.5000000           0.0062500       0.9937500       0.0041667    53
7.0000000           0.0104167       0.9895833       0.0041667    54
7.5000000           0.0125000       0.9875000       0.0020833    55
8.0000000           0.0145833       0.9854167       0.0020833    56
8.5000000           0.0229167       0.9770833       0.0083333    57
9.0000000           0.0437500       0.9562500       0.0208333    58
9.5000000           0.0958333       0.9041667       0.0520833    59
10.0000000          0.2229167       0.7770833       0.1270833    60
10.5000000          0.4645833       0.5354167       0.2416667    61
11.0000000          0.6875000       0.3125000       0.2229167    62
11.5000000          0.8791667       0.1208333       0.1916667    63
12.0000000          0.9583333       0.0416667       0.0791667    64
12.5000000          0.9854167       0.0145833       0.0270833    65
13.0000000          0.9937500       0.0062500       0.0083333    66
13.5000000          1.0000000       0.0000000       0.0062500    67
14.0000000          1.0000000       0.0000000       0.0000000    68
14.5000000          1.0000000       0.0000000       0.0000000    69
15.0000000          1.0000000       0.0000000       0.0000000    70
15.5000000          1.0000000       0.0000000       0.0000000    71
16.0000000          1.0000000       0.0000000       0.0000000    72
16.5000000          1.0000000       0.0000000       0.0000000    73
17.0000000          1.0000000       0.0000000       0.0000000    74
17.5000000          1.0000000       0.0000000       0.0000000    75
18.0000000          1.0000000       0.0000000       0.0000000    76
18.5000000          1.0000000       0.0000000       0.0000000    77
19.0000000          1.0000000       0.0000000       0.0000000    78
19.5000000          1.0000000       0.0000000       0.0000000    79
20.0000000          1.0000000       0.0000000       0.0000000    80
20.5000000          1.0000000       0.0000000       0.0000000    81
21.0000000          1.0000000       0.0000000       0.0000000    82
21.5000000          1.0000000       0.0000000       0.0000000    83
22.0000000          1.0000000       0.0000000       0.0000000    84
22.5000000          1.0000000       0.0000000       0.0000000    85
23.0000000          1.0000000       0.0000000       0.0000000    86
23.5000000          1.0000000       0.0000000       0.0000000    87
24.0000000          1.0000000       0.0000000       0.0000000    88
24.5000000          1.0000000       0.0000000       0.0000000    89
25.0000000          1.0000000       0.0000000       0.0000000    90
25.5000000          1.0000000       0.0000000       0.0000000    91
26.0000000          1.0000000       0.0000000       0.0000000    92
26.5000000          1.0000000       0.0000000       0.0000000    93
27.0000000          1.0000000       0.0000000       0.0000000    94
27.5000000          1.0000000       0.0000000       0.0000000    95
28.0000000          1.0000000       0.0000000       0.0000000    96
28.5000000          1.0000000       0.0000000       0.0000000    97
29.0000000          1.0000000       0.0000000       0.0000000    98
29.5000000          1.0000000       0.0000000       0.0000000    99
30.0000000          1.0000000       0.0000000       0.0000000   100
# -----------------------------------------------------------
