#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.TxPower
#  Description: Uplink Tx Power distribution
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -42.7882124
#  Maximum: -42.3293588
#  Trials: 480
#  Mean: -42.6124215
# 
#  Variance: 0.0170104
#  Relative variance: 0.0000094
#  Coefficient of variation: 0.0030607
#  Standard deviation: 0.1304239
#  Relative standard deviation: -0.0030607
# 
#  Skewness: 0.6451994
# 
#  2nd moment: 1815.8354413
#  3rd moment: -77378.5904602
# 
#  Sum of all values: -20453.9623212
#  (Sum of all values)^2: 871601.0118130
#  (Sum of all values)^3: -37141723.4208944
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -110
#  Right border of x-axis: 22
#  Resolution of x-axis: 100
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: -43.9648000
#  P02: -43.9296000
#  P03: -43.8944000
#  P04: -43.8592000
#  P05: -43.8240000
#  P06: -43.7888000
#  P07: -43.7536000
#  P08: -43.7184000
#  P09: -43.6832000
#  P10: -43.6480000
#  P11: -43.6128000
#  P12: -43.5776000
#  P13: -43.5424000
#  P14: -43.5072000
#  P15: -43.4720000
#  P16: -43.4368000
#  P17: -43.4016000
#  P18: -43.3664000
#  P19: -43.3312000
#  P20: -43.2960000
#  P21: -43.2608000
#  P22: -43.2256000
#  P23: -43.1904000
#  P24: -43.1552000
#  P25: -43.1200000
#  P26: -43.0848000
#  P27: -43.0496000
#  P28: -43.0144000
#  P29: -42.9792000
#  P30: -42.9440000
#  P31: -42.9088000
#  P32: -42.8736000
#  P33: -42.8384000
#  P34: -42.8032000
#  P35: -42.7680000
#  P36: -42.7328000
#  P37: -42.6976000
#  P38: -42.6771949
#  P39: -42.6715846
#  P40: -42.6659744
#  P41: -42.6603641
#  P42: -42.6547538
#  P43: -42.6491436
#  P44: -42.6435333
#  P45: -42.6379231
#  P46: -42.6323128
#  P47: -42.6267025
#  P48: -42.6210923
#  P49: -42.6154820
#  P50: -42.6098718
#  P51: -42.6042615
#  P52: -42.5986512
#  P53: -42.5930410
#  P54: -42.5874307
#  P55: -42.5818205
#  P56: -42.5762102
#  P57: -42.5705999
#  P58: -42.5649897
#  P59: -42.5593794
#  P60: -42.5537692
#  P61: -42.5481589
#  P62: -42.5425487
#  P63: -42.5369384
#  P64: -42.5313281
#  P65: -42.5257179
#  P66: -42.5201076
#  P67: -42.5144974
#  P68: -42.5088871
#  P69: -42.5032768
#  P70: -42.4976666
#  P71: -42.4920563
#  P72: -42.4864461
#  P73: -42.4808358
#  P74: -42.4752255
#  P75: -42.4696153
#  P76: -42.4640050
#  P77: -42.4583948
#  P78: -42.4527845
#  P79: -42.4471742
#  P80: -42.4415640
#  P81: -42.4359537
#  P82: -42.4303435
#  P83: -42.4247332
#  P84: -42.4191230
#  P85: -42.4135127
#  P86: -42.4079024
#  P87: -42.4022922
#  P88: -42.3966819
#  P89: -42.3910717
#  P90: -42.3854614
#  P91: -42.3798511
#  P92: -42.3742409
#  P93: -42.3686306
#  P94: -42.3630204
#  P95: -42.3574101
#  P96: -42.3517998
#  P97: -42.3461896
#  P98: -42.3405793
#  P99: -42.3349691
#  P100: -42.3293588
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-110.0000000        0.0000000       1.0000000       0.0000000     0
-108.6800000        0.0000000       1.0000000       0.0000000     1
-107.3600000        0.0000000       1.0000000       0.0000000     2
-106.0400000        0.0000000       1.0000000       0.0000000     3
-104.7200000        0.0000000       1.0000000       0.0000000     4
-103.4000000        0.0000000       1.0000000       0.0000000     5
-102.0800000        0.0000000       1.0000000       0.0000000     6
-100.7600000        0.0000000       1.0000000       0.0000000     7
-99.4400000         0.0000000       1.0000000       0.0000000     8
-98.1200000         0.0000000       1.0000000       0.0000000     9
-96.8000000         0.0000000       1.0000000       0.0000000    10
-95.4800000         0.0000000       1.0000000       0.0000000    11
-94.1600000         0.0000000       1.0000000       0.0000000    12
-92.8400000         0.0000000       1.0000000       0.0000000    13
-91.5200000         0.0000000       1.0000000       0.0000000    14
-90.2000000         0.0000000       1.0000000       0.0000000    15
-88.8800000         0.0000000       1.0000000       0.0000000    16
-87.5600000         0.0000000       1.0000000       0.0000000    17
-86.2400000         0.0000000       1.0000000       0.0000000    18
-84.9200000         0.0000000       1.0000000       0.0000000    19
-83.6000000         0.0000000       1.0000000       0.0000000    20
-82.2800000         0.0000000       1.0000000       0.0000000    21
-80.9600000         0.0000000       1.0000000       0.0000000    22
-79.6400000         0.0000000       1.0000000       0.0000000    23
-78.3200000         0.0000000       1.0000000       0.0000000    24
-77.0000000         0.0000000       1.0000000       0.0000000    25
-75.6800000         0.0000000       1.0000000       0.0000000    26
-74.3600000         0.0000000       1.0000000       0.0000000    27
-73.0400000         0.0000000       1.0000000       0.0000000    28
-71.7200000         0.0000000       1.0000000       0.0000000    29
-70.4000000         0.0000000       1.0000000       0.0000000    30
-69.0800000         0.0000000       1.0000000       0.0000000    31
-67.7600000         0.0000000       1.0000000       0.0000000    32
-66.4400000         0.0000000       1.0000000       0.0000000    33
-65.1200000         0.0000000       1.0000000       0.0000000    34
-63.8000000         0.0000000       1.0000000       0.0000000    35
-62.4800000         0.0000000       1.0000000       0.0000000    36
-61.1600000         0.0000000       1.0000000       0.0000000    37
-59.8400000         0.0000000       1.0000000       0.0000000    38
-58.5200000         0.0000000       1.0000000       0.0000000    39
-57.2000000         0.0000000       1.0000000       0.0000000    40
-55.8800000         0.0000000       1.0000000       0.0000000    41
-54.5600000         0.0000000       1.0000000       0.0000000    42
-53.2400000         0.0000000       1.0000000       0.0000000    43
-51.9200000         0.0000000       1.0000000       0.0000000    44
-50.6000000         0.0000000       1.0000000       0.0000000    45
-49.2800000         0.0000000       1.0000000       0.0000000    46
-47.9600000         0.0000000       1.0000000       0.0000000    47
-46.6400000         0.0000000       1.0000000       0.0000000    48
-45.3200000         0.0000000       1.0000000       0.0000000    49
-44.0000000         0.0000000       1.0000000       0.0000000    50
-42.6800000         0.3750000       0.6250000       0.3750000    51
-41.3600000         1.0000000       0.0000000       0.6250000    52
-40.0400000         1.0000000       0.0000000       0.0000000    53
-38.7200000         1.0000000       0.0000000       0.0000000    54
-37.4000000         1.0000000       0.0000000       0.0000000    55
-36.0800000         1.0000000       0.0000000       0.0000000    56
-34.7600000         1.0000000       0.0000000       0.0000000    57
-33.4400000         1.0000000       0.0000000       0.0000000    58
-32.1200000         1.0000000       0.0000000       0.0000000    59
-30.8000000         1.0000000       0.0000000       0.0000000    60
-29.4800000         1.0000000       0.0000000       0.0000000    61
-28.1600000         1.0000000       0.0000000       0.0000000    62
-26.8400000         1.0000000       0.0000000       0.0000000    63
-25.5200000         1.0000000       0.0000000       0.0000000    64
-24.2000000         1.0000000       0.0000000       0.0000000    65
-22.8800000         1.0000000       0.0000000       0.0000000    66
-21.5600000         1.0000000       0.0000000       0.0000000    67
