#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.resourceUsage
#  Description: Resource Usage
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 0.0000000
#  Maximum: 1.0000000
#  Trials: 32
#  Mean: 0.5000000
# 
#  Variance: 0.2580645
#  Relative variance: 1.0322581
#  Coefficient of variation: 1.0160010
#  Standard deviation: 0.5080005
#  Relative standard deviation: 1.0160010
# 
#  Skewness: 0.0000000
# 
#  2nd moment: 0.5000000
#  3rd moment: 0.5000000
# 
#  Sum of all values: 16.0000000
#  (Sum of all values)^2: 16.0000000
#  (Sum of all values)^3: 16.0000000
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 1
#  Resolution of x-axis: 100
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: NaN
#  P02: NaN
#  P03: NaN
#  P04: NaN
#  P05: NaN
#  P06: NaN
#  P07: NaN
#  P08: NaN
#  P09: NaN
#  P10: NaN
#  P11: NaN
#  P12: NaN
#  P13: NaN
#  P14: NaN
#  P15: NaN
#  P16: NaN
#  P17: NaN
#  P18: NaN
#  P19: NaN
#  P20: NaN
#  P21: NaN
#  P22: NaN
#  P23: NaN
#  P24: NaN
#  P25: NaN
#  P26: NaN
#  P27: NaN
#  P28: NaN
#  P29: NaN
#  P30: NaN
#  P31: NaN
#  P32: NaN
#  P33: NaN
#  P34: NaN
#  P35: NaN
#  P36: NaN
#  P37: NaN
#  P38: NaN
#  P39: NaN
#  P40: NaN
#  P41: NaN
#  P42: NaN
#  P43: NaN
#  P44: NaN
#  P45: NaN
#  P46: NaN
#  P47: NaN
#  P48: NaN
#  P49: NaN
#  P50: NaN
#  P51: 0.9902000
#  P52: 0.9904000
#  P53: 0.9906000
#  P54: 0.9908000
#  P55: 0.9910000
#  P56: 0.9912000
#  P57: 0.9914000
#  P58: 0.9916000
#  P59: 0.9918000
#  P60: 0.9920000
#  P61: 0.9922000
#  P62: 0.9924000
#  P63: 0.9926000
#  P64: 0.9928000
#  P65: 0.9930000
#  P66: 0.9932000
#  P67: 0.9934000
#  P68: 0.9936000
#  P69: 0.9938000
#  P70: 0.9940000
#  P71: 0.9942000
#  P72: 0.9944000
#  P73: 0.9946000
#  P74: 0.9948000
#  P75: 0.9950000
#  P76: 0.9952000
#  P77: 0.9954000
#  P78: 0.9956000
#  P79: 0.9958000
#  P80: 0.9960000
#  P81: 0.9962000
#  P82: 0.9964000
#  P83: 0.9966000
#  P84: 0.9968000
#  P85: 0.9970000
#  P86: 0.9972000
#  P87: 0.9974000
#  P88: 0.9976000
#  P89: 0.9978000
#  P90: 0.9980000
#  P91: 0.9982000
#  P92: 0.9984000
#  P93: 0.9986000
#  P94: 0.9988000
#  P95: 0.9990000
#  P96: 0.9992000
#  P97: 0.9994000
#  P98: 0.9996000
#  P99: 0.9998000
#  P100: 1.0000000
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
0.0000000           0.5000000       0.5000000       0.5000000     0
0.0100000           0.5000000       0.5000000       0.0000000     1
0.0200000           0.5000000       0.5000000       0.0000000     2
0.0300000           0.5000000       0.5000000       0.0000000     3
0.0400000           0.5000000       0.5000000       0.0000000     4
0.0500000           0.5000000       0.5000000       0.0000000     5
0.0600000           0.5000000       0.5000000       0.0000000     6
0.0700000           0.5000000       0.5000000       0.0000000     7
0.0800000           0.5000000       0.5000000       0.0000000     8
0.0900000           0.5000000       0.5000000       0.0000000     9
0.1000000           0.5000000       0.5000000       0.0000000    10
0.1100000           0.5000000       0.5000000       0.0000000    11
0.1200000           0.5000000       0.5000000       0.0000000    12
0.1300000           0.5000000       0.5000000       0.0000000    13
0.1400000           0.5000000       0.5000000       0.0000000    14
0.1500000           0.5000000       0.5000000       0.0000000    15
0.1600000           0.5000000       0.5000000       0.0000000    16
0.1700000           0.5000000       0.5000000       0.0000000    17
0.1800000           0.5000000       0.5000000       0.0000000    18
0.1900000           0.5000000       0.5000000       0.0000000    19
0.2000000           0.5000000       0.5000000       0.0000000    20
0.2100000           0.5000000       0.5000000       0.0000000    21
0.2200000           0.5000000       0.5000000       0.0000000    22
0.2300000           0.5000000       0.5000000       0.0000000    23
0.2400000           0.5000000       0.5000000       0.0000000    24
0.2500000           0.5000000       0.5000000       0.0000000    25
0.2600000           0.5000000       0.5000000       0.0000000    26
0.2700000           0.5000000       0.5000000       0.0000000    27
0.2800000           0.5000000       0.5000000       0.0000000    28
0.2900000           0.5000000       0.5000000       0.0000000    29
0.3000000           0.5000000       0.5000000       0.0000000    30
0.3100000           0.5000000       0.5000000       0.0000000    31
0.3200000           0.5000000       0.5000000       0.0000000    32
0.3300000           0.5000000       0.5000000       0.0000000    33
0.3400000           0.5000000       0.5000000       0.0000000    34
0.3500000           0.5000000       0.5000000       0.0000000    35
0.3600000           0.5000000       0.5000000       0.0000000    36
0.3700000           0.5000000       0.5000000       0.0000000    37
0.3800000           0.5000000       0.5000000       0.0000000    38
0.3900000           0.5000000       0.5000000       0.0000000    39
0.4000000           0.5000000       0.5000000       0.0000000    40
0.4100000           0.5000000       0.5000000       0.0000000    41
0.4200000           0.5000000       0.5000000       0.0000000    42
0.4300000           0.5000000       0.5000000       0.0000000    43
0.4400000           0.5000000       0.5000000       0.0000000    44
0.4500000           0.5000000       0.5000000       0.0000000    45
0.4600000           0.5000000       0.5000000       0.0000000    46
0.4700000           0.5000000       0.5000000       0.0000000    47
0.4800000           0.5000000       0.5000000       0.0000000    48
0.4900000           0.5000000       0.5000000       0.0000000    49
0.5000000           0.5000000       0.5000000       0.0000000    50
0.5100000           0.5000000       0.5000000       0.0000000    51
0.5200000           0.5000000       0.5000000       0.0000000    52
0.5300000           0.5000000       0.5000000       0.0000000    53
0.5400000           0.5000000       0.5000000       0.0000000    54
0.5500000           0.5000000       0.5000000       0.0000000    55
0.5600000           0.5000000       0.5000000       0.0000000    56
0.5700000           0.5000000       0.5000000       0.0000000    57
0.5800000           0.5000000       0.5000000       0.0000000    58
0.5900000           0.5000000       0.5000000       0.0000000    59
0.6000000           0.5000000       0.5000000       0.0000000    60
0.6100000           0.5000000       0.5000000       0.0000000    61
0.6200000           0.5000000       0.5000000       0.0000000    62
0.6300000           0.5000000       0.5000000       0.0000000    63
0.6400000           0.5000000       0.5000000       0.0000000    64
0.6500000           0.5000000       0.5000000       0.0000000    65
0.6600000           0.5000000       0.5000000       0.0000000    66
0.6700000           0.5000000       0.5000000       0.0000000    67
0.6800000           0.5000000       0.5000000       0.0000000    68
0.6900000           0.5000000       0.5000000       0.0000000    69
0.7000000           0.5000000       0.5000000       0.0000000    70
0.7100000           0.5000000       0.5000000       0.0000000    71
0.7200000           0.5000000       0.5000000       0.0000000    72
0.7300000           0.5000000       0.5000000       0.0000000    73
