#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.total.window.aggregated.bitThroughputALLUT
#  Description: no description available
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 97792.0000000
#  Maximum: 122240.0000000
#  Trials: 4
#  Mean: 103904.0000000
# 
#  Variance: 149426176.0000000
#  Relative variance: 0.0138408
#  Coefficient of variation: 0.1176471
#  Standard deviation: 12224.0000000
#  Relative standard deviation: 0.1176471
# 
#  Skewness: 0.7500000
# 
#  2nd moment: 10908110848.0000000
#  3rd moment: 1158055254818816.0000000
# 
#  Sum of all values: 415616.0000000
#  (Sum of all values)^2: 43632443392.0000000
#  (Sum of all values)^3: 4632221019275264.0000000
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 1e+07
#  Resolution of x-axis: 100
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 1333.3333333
#  P02: 2666.6666667
#  P03: 4000.0000000
#  P04: 5333.3333333
#  P05: 6666.6666667
#  P06: 8000.0000000
#  P07: 9333.3333333
#  P08: 10666.6666667
#  P09: 12000.0000000
#  P10: 13333.3333333
#  P11: 14666.6666667
#  P12: 16000.0000000
#  P13: 17333.3333333
#  P14: 18666.6666667
#  P15: 20000.0000000
#  P16: 21333.3333333
#  P17: 22666.6666667
#  P18: 24000.0000000
#  P19: 25333.3333333
#  P20: 26666.6666667
#  P21: 28000.0000000
#  P22: 29333.3333333
#  P23: 30666.6666667
#  P24: 32000.0000000
#  P25: 33333.3333333
#  P26: 34666.6666667
#  P27: 36000.0000000
#  P28: 37333.3333333
#  P29: 38666.6666667
#  P30: 40000.0000000
#  P31: 41333.3333333
#  P32: 42666.6666667
#  P33: 44000.0000000
#  P34: 45333.3333333
#  P35: 46666.6666667
#  P36: 48000.0000000
#  P37: 49333.3333333
#  P38: 50666.6666667
#  P39: 52000.0000000
#  P40: 53333.3333333
#  P41: 54666.6666667
#  P42: 56000.0000000
#  P43: 57333.3333333
#  P44: 58666.6666667
#  P45: 60000.0000000
#  P46: 61333.3333333
#  P47: 62666.6666667
#  P48: 64000.0000000
#  P49: 65333.3333333
#  P50: 66666.6666667
#  P51: 68000.0000000
#  P52: 69333.3333333
#  P53: 70666.6666667
#  P54: 72000.0000000
#  P55: 73333.3333333
#  P56: 74666.6666667
#  P57: 76000.0000000
#  P58: 77333.3333333
#  P59: 78666.6666667
#  P60: 80000.0000000
#  P61: 81333.3333333
#  P62: 82666.6666667
#  P63: 84000.0000000
#  P64: 85333.3333333
#  P65: 86666.6666667
#  P66: 88000.0000000
#  P67: 89333.3333333
#  P68: 90666.6666667
#  P69: 92000.0000000
#  P70: 93333.3333333
#  P71: 94666.6666667
#  P72: 96000.0000000
#  P73: 97333.3333333
#  P74: 98666.6666667
#  P75: 100000.0000000
#  P76: 100889.6000000
#  P77: 101779.2000000
#  P78: 102668.8000000
#  P79: 103558.4000000
#  P80: 104448.0000000
#  P81: 105337.6000000
#  P82: 106227.2000000
#  P83: 107116.8000000
#  P84: 108006.4000000
#  P85: 108896.0000000
#  P86: 109785.6000000
#  P87: 110675.2000000
#  P88: 111564.8000000
#  P89: 112454.4000000
#  P90: 113344.0000000
#  P91: 114233.6000000
#  P92: 115123.2000000
#  P93: 116012.8000000
#  P94: 116902.4000000
#  P95: 117792.0000000
#  P96: 118681.6000000
#  P97: 119571.2000000
#  P98: 120460.8000000
#  P99: 121350.4000000
#  P100: 122240.0000000
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
0.0000000           0.0000000       1.0000000       0.0000000     0
100000.0000000      0.7500000       0.2500000       0.7500000     1
200000.0000000      1.0000000       0.0000000       0.2500000     2
300000.0000000      1.0000000       0.0000000       0.0000000     3
400000.0000000      1.0000000       0.0000000       0.0000000     4
500000.0000000      1.0000000       0.0000000       0.0000000     5
600000.0000000      1.0000000       0.0000000       0.0000000     6
700000.0000000      1.0000000       0.0000000       0.0000000     7
800000.0000000      1.0000000       0.0000000       0.0000000     8
900000.0000000      1.0000000       0.0000000       0.0000000     9
1000000.0000000     1.0000000       0.0000000       0.0000000    10
1100000.0000000     1.0000000       0.0000000       0.0000000    11
1200000.0000000     1.0000000       0.0000000       0.0000000    12
1300000.0000000     1.0000000       0.0000000       0.0000000    13
1400000.0000000     1.0000000       0.0000000       0.0000000    14
1500000.0000000     1.0000000       0.0000000       0.0000000    15
1600000.0000000     1.0000000       0.0000000       0.0000000    16
1700000.0000000     1.0000000       0.0000000       0.0000000    17
1800000.0000000     1.0000000       0.0000000       0.0000000    18
1900000.0000000     1.0000000       0.0000000       0.0000000    19
2000000.0000000     1.0000000       0.0000000       0.0000000    20
2100000.0000000     1.0000000       0.0000000       0.0000000    21
2200000.0000000     1.0000000       0.0000000       0.0000000    22
2300000.0000000     1.0000000       0.0000000       0.0000000    23
2400000.0000000     1.0000000       0.0000000       0.0000000    24
2500000.0000000     1.0000000       0.0000000       0.0000000    25
2600000.0000000     1.0000000       0.0000000       0.0000000    26
2700000.0000000     1.0000000       0.0000000       0.0000000    27
2800000.0000000     1.0000000       0.0000000       0.0000000    28
2900000.0000000     1.0000000       0.0000000       0.0000000    29
3000000.0000000     1.0000000       0.0000000       0.0000000    30
3100000.0000000     1.0000000       0.0000000       0.0000000    31
3200000.0000000     1.0000000       0.0000000       0.0000000    32
3300000.0000000     1.0000000       0.0000000       0.0000000    33
3400000.0000000     1.0000000       0.0000000       0.0000000    34
3500000.0000000     1.0000000       0.0000000       0.0000000    35
3600000.0000000     1.0000000       0.0000000       0.0000000    36
3700000.0000000     1.0000000       0.0000000       0.0000000    37
3800000.0000000     1.0000000       0.0000000       0.0000000    38
3900000.0000000     1.0000000       0.0000000       0.0000000    39
4000000.0000000     1.0000000       0.0000000       0.0000000    40
4100000.0000000     1.0000000       0.0000000       0.0000000    41
4200000.0000000     1.0000000       0.0000000       0.0000000    42
4300000.0000000     1.0000000       0.0000000       0.0000000    43
4400000.0000000     1.0000000       0.0000000       0.0000000    44
4500000.0000000     1.0000000       0.0000000       0.0000000    45
4600000.0000000     1.0000000       0.0000000       0.0000000    46
4700000.0000000     1.0000000       0.0000000       0.0000000    47
4800000.0000000     1.0000000       0.0000000       0.0000000    48
4900000.0000000     1.0000000       0.0000000       0.0000000    49
5000000.0000000     1.0000000       0.0000000       0.0000000    50
5100000.0000000     1.0000000       0.0000000       0.0000000    51
5200000.0000000     1.0000000       0.0000000       0.0000000    52
5300000.0000000     1.0000000       0.0000000       0.0000000    53
5400000.0000000     1.0000000       0.0000000       0.0000000    54
5500000.0000000     1.0000000       0.0000000       0.0000000    55
5600000.0000000     1.0000000       0.0000000       0.0000000    56
5700000.0000000     1.0000000       0.0000000       0.0000000    57
5800000.0000000     1.0000000       0.0000000       0.0000000    58
5900000.0000000     1.0000000       0.0000000       0.0000000    59
6000000.0000000     1.0000000       0.0000000       0.0000000    60
6100000.0000000     1.0000000       0.0000000       0.0000000    61
6200000.0000000     1.0000000       0.0000000       0.0000000    62
6300000.0000000     1.0000000       0.0000000       0.0000000    63
6400000.0000000     1.0000000       0.0000000       0.0000000    64
6500000.0000000     1.0000000       0.0000000       0.0000000    65
6600000.0000000     1.0000000       0.0000000       0.0000000    66
6700000.0000000     1.0000000       0.0000000       0.0000000    67
6800000.0000000     1.0000000       0.0000000       0.0000000    68
6900000.0000000     1.0000000       0.0000000       0.0000000    69
