#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.total.window.outgoing.compoundThroughputALLUT
#  Description: no description available
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 8.0000000
#  Maximum: 9.0000000
#  Trials: 2
#  Mean: 8.5000000
# 
#  Variance: 0.5000000
#  Relative variance: 0.0069204
#  Coefficient of variation: 0.0831890
#  Standard deviation: 0.7071068
#  Relative standard deviation: 0.0831890
# 
#  Skewness: 0.0000000
# 
#  2nd moment: 72.5000000
#  3rd moment: 620.5000000
# 
#  Sum of all values: 17.0000000
#  (Sum of all values)^2: 145.0000000
#  (Sum of all values)^3: 1241.0000000
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 1e+07
#  Resolution of x-axis: 100
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 0.0900000
#  P02: 0.1800000
#  P03: 0.2700000
#  P04: 0.3600000
#  P05: 0.4500000
#  P06: 0.5400000
#  P07: 0.6300000
#  P08: 0.7200000
#  P09: 0.8100000
#  P10: 0.9000000
#  P11: 0.9900000
#  P12: 1.0800000
#  P13: 1.1700000
#  P14: 1.2600000
#  P15: 1.3500000
#  P16: 1.4400000
#  P17: 1.5300000
#  P18: 1.6200000
#  P19: 1.7100000
#  P20: 1.8000000
#  P21: 1.8900000
#  P22: 1.9800000
#  P23: 2.0700000
#  P24: 2.1600000
#  P25: 2.2500000
#  P26: 2.3400000
#  P27: 2.4300000
#  P28: 2.5200000
#  P29: 2.6100000
#  P30: 2.7000000
#  P31: 2.7900000
#  P32: 2.8800000
#  P33: 2.9700000
#  P34: 3.0600000
#  P35: 3.1500000
#  P36: 3.2400000
#  P37: 3.3300000
#  P38: 3.4200000
#  P39: 3.5100000
#  P40: 3.6000000
#  P41: 3.6900000
#  P42: 3.7800000
#  P43: 3.8700000
#  P44: 3.9600000
#  P45: 4.0500000
#  P46: 4.1400000
#  P47: 4.2300000
#  P48: 4.3200000
#  P49: 4.4100000
#  P50: 4.5000000
#  P51: 4.5900000
#  P52: 4.6800000
#  P53: 4.7700000
#  P54: 4.8600000
#  P55: 4.9500000
#  P56: 5.0400000
#  P57: 5.1300000
#  P58: 5.2200000
#  P59: 5.3100000
#  P60: 5.4000000
#  P61: 5.4900000
#  P62: 5.5800000
#  P63: 5.6700000
#  P64: 5.7600000
#  P65: 5.8500000
#  P66: 5.9400000
#  P67: 6.0300000
#  P68: 6.1200000
#  P69: 6.2100000
#  P70: 6.3000000
#  P71: 6.3900000
#  P72: 6.4800000
#  P73: 6.5700000
#  P74: 6.6600000
#  P75: 6.7500000
#  P76: 6.8400000
#  P77: 6.9300000
#  P78: 7.0200000
#  P79: 7.1100000
#  P80: 7.2000000
#  P81: 7.2900000
#  P82: 7.3800000
#  P83: 7.4700000
#  P84: 7.5600000
#  P85: 7.6500000
#  P86: 7.7400000
#  P87: 7.8300000
#  P88: 7.9200000
#  P89: 8.0100000
#  P90: 8.1000000
#  P91: 8.1900000
#  P92: 8.2800000
#  P93: 8.3700000
#  P94: 8.4600000
#  P95: 8.5500000
#  P96: 8.6400000
#  P97: 8.7300000
#  P98: 8.8200000
#  P99: 8.9100000
#  P100: 9.0000000
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
0.0000000           0.0000000       1.0000000       0.0000000     0
100000.0000000      1.0000000       0.0000000       1.0000000     1
200000.0000000      1.0000000       0.0000000       0.0000000     2
300000.0000000      1.0000000       0.0000000       0.0000000     3
400000.0000000      1.0000000       0.0000000       0.0000000     4
500000.0000000      1.0000000       0.0000000       0.0000000     5
600000.0000000      1.0000000       0.0000000       0.0000000     6
700000.0000000      1.0000000       0.0000000       0.0000000     7
800000.0000000      1.0000000       0.0000000       0.0000000     8
900000.0000000      1.0000000       0.0000000       0.0000000     9
1000000.0000000     1.0000000       0.0000000       0.0000000    10
1100000.0000000     1.0000000       0.0000000       0.0000000    11
1200000.0000000     1.0000000       0.0000000       0.0000000    12
1300000.0000000     1.0000000       0.0000000       0.0000000    13
1400000.0000000     1.0000000       0.0000000       0.0000000    14
1500000.0000000     1.0000000       0.0000000       0.0000000    15
1600000.0000000     1.0000000       0.0000000       0.0000000    16
1700000.0000000     1.0000000       0.0000000       0.0000000    17
1800000.0000000     1.0000000       0.0000000       0.0000000    18
1900000.0000000     1.0000000       0.0000000       0.0000000    19
2000000.0000000     1.0000000       0.0000000       0.0000000    20
2100000.0000000     1.0000000       0.0000000       0.0000000    21
2200000.0000000     1.0000000       0.0000000       0.0000000    22
2300000.0000000     1.0000000       0.0000000       0.0000000    23
2400000.0000000     1.0000000       0.0000000       0.0000000    24
2500000.0000000     1.0000000       0.0000000       0.0000000    25
2600000.0000000     1.0000000       0.0000000       0.0000000    26
2700000.0000000     1.0000000       0.0000000       0.0000000    27
2800000.0000000     1.0000000       0.0000000       0.0000000    28
2900000.0000000     1.0000000       0.0000000       0.0000000    29
3000000.0000000     1.0000000       0.0000000       0.0000000    30
3100000.0000000     1.0000000       0.0000000       0.0000000    31
3200000.0000000     1.0000000       0.0000000       0.0000000    32
3300000.0000000     1.0000000       0.0000000       0.0000000    33
3400000.0000000     1.0000000       0.0000000       0.0000000    34
3500000.0000000     1.0000000       0.0000000       0.0000000    35
3600000.0000000     1.0000000       0.0000000       0.0000000    36
3700000.0000000     1.0000000       0.0000000       0.0000000    37
3800000.0000000     1.0000000       0.0000000       0.0000000    38
3900000.0000000     1.0000000       0.0000000       0.0000000    39
4000000.0000000     1.0000000       0.0000000       0.0000000    40
4100000.0000000     1.0000000       0.0000000       0.0000000    41
4200000.0000000     1.0000000       0.0000000       0.0000000    42
4300000.0000000     1.0000000       0.0000000       0.0000000    43
4400000.0000000     1.0000000       0.0000000       0.0000000    44
4500000.0000000     1.0000000       0.0000000       0.0000000    45
4600000.0000000     1.0000000       0.0000000       0.0000000    46
4700000.0000000     1.0000000       0.0000000       0.0000000    47
4800000.0000000     1.0000000       0.0000000       0.0000000    48
4900000.0000000     1.0000000       0.0000000       0.0000000    49
5000000.0000000     1.0000000       0.0000000       0.0000000    50
5100000.0000000     1.0000000       0.0000000       0.0000000    51
5200000.0000000     1.0000000       0.0000000       0.0000000    52
5300000.0000000     1.0000000       0.0000000       0.0000000    53
5400000.0000000     1.0000000       0.0000000       0.0000000    54
5500000.0000000     1.0000000       0.0000000       0.0000000    55
5600000.0000000     1.0000000       0.0000000       0.0000000    56
5700000.0000000     1.0000000       0.0000000       0.0000000    57
5800000.0000000     1.0000000       0.0000000       0.0000000    58
5900000.0000000     1.0000000       0.0000000       0.0000000    59
6000000.0000000     1.0000000       0.0000000       0.0000000    60
6100000.0000000     1.0000000       0.0000000       0.0000000    61
6200000.0000000     1.0000000       0.0000000       0.0000000    62
6300000.0000000     1.0000000       0.0000000       0.0000000    63
6400000.0000000     1.0000000       0.0000000       0.0000000    64
6500000.0000000     1.0000000       0.0000000       0.0000000    65
