#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.resourceUsage
#  Description: Resource Usage
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 1.0000000
#  Maximum: 3.7272727
#  Trials: 96
#  Mean: 1.2578283
# 
#  Variance: 0.5705058
#  Relative variance: 0.3605930
#  Coefficient of variation: 0.6004940
#  Standard deviation: 0.7553183
#  Relative standard deviation: 0.6004940
# 
#  Skewness: 2.8793396
# 
#  2nd moment: 2.1466950
#  3rd moment: 5.3611664
# 
#  Sum of all values: 120.7515152
#  (Sum of all values)^2: 206.0827181
#  (Sum of all values)^3: 514.6719762
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 1
#  Resolution of x-axis: 100
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 16
#  Overflows in percent: 0.1666667
# -----------------------------------------------------------
# Percentiles
#  P01: 0.9901200
#  P02: 0.9902400
#  P03: 0.9903600
#  P04: 0.9904800
#  P05: 0.9906000
#  P06: 0.9907200
#  P07: 0.9908400
#  P08: 0.9909600
#  P09: 0.9910800
#  P10: 0.9912000
#  P11: 0.9913200
#  P12: 0.9914400
#  P13: 0.9915600
#  P14: 0.9916800
#  P15: 0.9918000
#  P16: 0.9919200
#  P17: 0.9920400
#  P18: 0.9921600
#  P19: 0.9922800
#  P20: 0.9924000
#  P21: 0.9925200
#  P22: 0.9926400
#  P23: 0.9927600
#  P24: 0.9928800
#  P25: 0.9930000
#  P26: 0.9931200
#  P27: 0.9932400
#  P28: 0.9933600
#  P29: 0.9934800
#  P30: 0.9936000
#  P31: 0.9937200
#  P32: 0.9938400
#  P33: 0.9939600
#  P34: 0.9940800
#  P35: 0.9942000
#  P36: 0.9943200
#  P37: 0.9944400
#  P38: 0.9945600
#  P39: 0.9946800
#  P40: 0.9948000
#  P41: 0.9949200
#  P42: 0.9950400
#  P43: 0.9951600
#  P44: 0.9952800
#  P45: 0.9954000
#  P46: 0.9955200
#  P47: 0.9956400
#  P48: 0.9957600
#  P49: 0.9958800
#  P50: 0.9960000
#  P51: 0.9961200
#  P52: 0.9962400
#  P53: 0.9963600
#  P54: 0.9964800
#  P55: 0.9966000
#  P56: 0.9967200
#  P57: 0.9968400
#  P58: 0.9969600
#  P59: 0.9970800
#  P60: 0.9972000
#  P61: 0.9973200
#  P62: 0.9974400
#  P63: 0.9975600
#  P64: 0.9976800
#  P65: 0.9978000
#  P66: 0.9979200
#  P67: 0.9980400
#  P68: 0.9981600
#  P69: 0.9982800
#  P70: 0.9984000
#  P71: 0.9985200
#  P72: 0.9986400
#  P73: 0.9987600
#  P74: 0.9988800
#  P75: 0.9990000
#  P76: 0.9991200
#  P77: 0.9992400
#  P78: 0.9993600
#  P79: 0.9994800
#  P80: 0.9996000
#  P81: 0.9997200
#  P82: 0.9998400
#  P83: 0.9999600
#  P84: NaN
#  P85: NaN
#  P86: NaN
#  P87: NaN
#  P88: NaN
#  P89: NaN
#  P90: NaN
#  P91: NaN
#  P92: NaN
#  P93: NaN
#  P94: NaN
#  P95: NaN
#  P96: NaN
#  P97: NaN
#  P98: NaN
#  P99: NaN
#  P100: NaN
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
0.0000000           0.0000000       1.0000000       0.0000000     0
0.0100000           0.0000000       1.0000000       0.0000000     1
0.0200000           0.0000000       1.0000000       0.0000000     2
0.0300000           0.0000000       1.0000000       0.0000000     3
0.0400000           0.0000000       1.0000000       0.0000000     4
0.0500000           0.0000000       1.0000000       0.0000000     5
0.0600000           0.0000000       1.0000000       0.0000000     6
0.0700000           0.0000000       1.0000000       0.0000000     7
0.0800000           0.0000000       1.0000000       0.0000000     8
0.0900000           0.0000000       1.0000000       0.0000000     9
0.1000000           0.0000000       1.0000000       0.0000000    10
0.1100000           0.0000000       1.0000000       0.0000000    11
0.1200000           0.0000000       1.0000000       0.0000000    12
0.1300000           0.0000000       1.0000000       0.0000000    13
0.1400000           0.0000000       1.0000000       0.0000000    14
0.1500000           0.0000000       1.0000000       0.0000000    15
0.1600000           0.0000000       1.0000000       0.0000000    16
0.1700000           0.0000000       1.0000000       0.0000000    17
0.1800000           0.0000000       1.0000000       0.0000000    18
0.1900000           0.0000000       1.0000000       0.0000000    19
0.2000000           0.0000000       1.0000000       0.0000000    20
0.2100000           0.0000000       1.0000000       0.0000000    21
0.2200000           0.0000000       1.0000000       0.0000000    22
0.2300000           0.0000000       1.0000000       0.0000000    23
0.2400000           0.0000000       1.0000000       0.0000000    24
0.2500000           0.0000000       1.0000000       0.0000000    25
0.2600000           0.0000000       1.0000000       0.0000000    26
0.2700000           0.0000000       1.0000000       0.0000000    27
0.2800000           0.0000000       1.0000000       0.0000000    28
0.2900000           0.0000000       1.0000000       0.0000000    29
0.3000000           0.0000000       1.0000000       0.0000000    30
0.3100000           0.0000000       1.0000000       0.0000000    31
0.3200000           0.0000000       1.0000000       0.0000000    32
0.3300000           0.0000000       1.0000000       0.0000000    33
0.3400000           0.0000000       1.0000000       0.0000000    34
0.3500000           0.0000000       1.0000000       0.0000000    35
0.3600000           0.0000000       1.0000000       0.0000000    36
0.3700000           0.0000000       1.0000000       0.0000000    37
0.3800000           0.0000000       1.0000000       0.0000000    38
0.3900000           0.0000000       1.0000000       0.0000000    39
0.4000000           0.0000000       1.0000000       0.0000000    40
0.4100000           0.0000000       1.0000000       0.0000000    41
0.4200000           0.0000000       1.0000000       0.0000000    42
0.4300000           0.0000000       1.0000000       0.0000000    43
0.4400000           0.0000000       1.0000000       0.0000000    44
0.4500000           0.0000000       1.0000000       0.0000000    45
0.4600000           0.0000000       1.0000000       0.0000000    46
0.4700000           0.0000000       1.0000000       0.0000000    47
0.4800000           0.0000000       1.0000000       0.0000000    48
0.4900000           0.0000000       1.0000000       0.0000000    49
0.5000000           0.0000000       1.0000000       0.0000000    50
0.5100000           0.0000000       1.0000000       0.0000000    51
0.5200000           0.0000000       1.0000000       0.0000000    52
0.5300000           0.0000000       1.0000000       0.0000000    53
0.5400000           0.0000000       1.0000000       0.0000000    54
0.5500000           0.0000000       1.0000000       0.0000000    55
0.5600000           0.0000000       1.0000000       0.0000000    56
0.5700000           0.0000000       1.0000000       0.0000000    57
0.5800000           0.0000000       1.0000000       0.0000000    58
0.5900000           0.0000000       1.0000000       0.0000000    59
0.6000000           0.0000000       1.0000000       0.0000000    60
0.6100000           0.0000000       1.0000000       0.0000000    61
0.6200000           0.0000000       1.0000000       0.0000000    62
0.6300000           0.0000000       1.0000000       0.0000000    63
0.6400000           0.0000000       1.0000000       0.0000000    64
0.6500000           0.0000000       1.0000000       0.0000000    65
0.6600000           0.0000000       1.0000000       0.0000000    66
0.6700000           0.0000000       1.0000000       0.0000000    67
