#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.uplinkTBSize
#  Description: Uplink TB Size
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 30.0000000
#  Maximum: 30.0000000
#  Trials: 16
#  Mean: 30.0000000
# 
#  Variance: 0.0000000
#  Relative variance: 0.0000000
#  Coefficient of variation: 0.0000000
#  Standard deviation: 0.0000000
#  Relative standard deviation: 0.0000000
# 
#  Skewness: 0.0000000
# 
#  2nd moment: 900.0000000
#  3rd moment: 27000.0000000
# 
#  Sum of all values: 480.0000000
#  (Sum of all values)^2: 14400.0000000
#  (Sum of all values)^3: 432000.0000000
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 100
#  Resolution of x-axis: 100
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 29.0100000
#  P02: 29.0200000
#  P03: 29.0300000
#  P04: 29.0400000
#  P05: 29.0500000
#  P06: 29.0600000
#  P07: 29.0700000
#  P08: 29.0800000
#  P09: 29.0900000
#  P10: 29.1000000
#  P11: 29.1100000
#  P12: 29.1200000
#  P13: 29.1300000
#  P14: 29.1400000
#  P15: 29.1500000
#  P16: 29.1600000
#  P17: 29.1700000
#  P18: 29.1800000
#  P19: 29.1900000
#  P20: 29.2000000
#  P21: 29.2100000
#  P22: 29.2200000
#  P23: 29.2300000
#  P24: 29.2400000
#  P25: 29.2500000
#  P26: 29.2600000
#  P27: 29.2700000
#  P28: 29.2800000
#  P29: 29.2900000
#  P30: 29.3000000
#  P31: 29.3100000
#  P32: 29.3200000
#  P33: 29.3300000
#  P34: 29.3400000
#  P35: 29.3500000
#  P36: 29.3600000
#  P37: 29.3700000
#  P38: 29.3800000
#  P39: 29.3900000
#  P40: 29.4000000
#  P41: 29.4100000
#  P42: 29.4200000
#  P43: 29.4300000
#  P44: 29.4400000
#  P45: 29.4500000
#  P46: 29.4600000
#  P47: 29.4700000
#  P48: 29.4800000
#  P49: 29.4900000
#  P50: 29.5000000
#  P51: 29.5100000
#  P52: 29.5200000
#  P53: 29.5300000
#  P54: 29.5400000
#  P55: 29.5500000
#  P56: 29.5600000
#  P57: 29.5700000
#  P58: 29.5800000
#  P59: 29.5900000
#  P60: 29.6000000
#  P61: 29.6100000
#  P62: 29.6200000
#  P63: 29.6300000
#  P64: 29.6400000
#  P65: 29.6500000
#  P66: 29.6600000
#  P67: 29.6700000
#  P68: 29.6800000
#  P69: 29.6900000
#  P70: 29.7000000
#  P71: 29.7100000
#  P72: 29.7200000
#  P73: 29.7300000
#  P74: 29.7400000
#  P75: 29.7500000
#  P76: 29.7600000
#  P77: 29.7700000
#  P78: 29.7800000
#  P79: 29.7900000
#  P80: 29.8000000
#  P81: 29.8100000
#  P82: 29.8200000
#  P83: 29.8300000
#  P84: 29.8400000
#  P85: 29.8500000
#  P86: 29.8600000
#  P87: 29.8700000
#  P88: 29.8800000
#  P89: 29.8900000
#  P90: 29.9000000
#  P91: 29.9100000
#  P92: 29.9200000
#  P93: 29.9300000
#  P94: 29.9400000
#  P95: 29.9500000
#  P96: 29.9600000
#  P97: 29.9700000
#  P98: 29.9800000
#  P99: 29.9900000
#  P100: 30.0000000
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
0.0000000           0.0000000       1.0000000       0.0000000     0
1.0000000           0.0000000       1.0000000       0.0000000     1
2.0000000           0.0000000       1.0000000       0.0000000     2
3.0000000           0.0000000       1.0000000       0.0000000     3
4.0000000           0.0000000       1.0000000       0.0000000     4
5.0000000           0.0000000       1.0000000       0.0000000     5
6.0000000           0.0000000       1.0000000       0.0000000     6
7.0000000           0.0000000       1.0000000       0.0000000     7
8.0000000           0.0000000       1.0000000       0.0000000     8
9.0000000           0.0000000       1.0000000       0.0000000     9
10.0000000          0.0000000       1.0000000       0.0000000    10
11.0000000          0.0000000       1.0000000       0.0000000    11
12.0000000          0.0000000       1.0000000       0.0000000    12
13.0000000          0.0000000       1.0000000       0.0000000    13
14.0000000          0.0000000       1.0000000       0.0000000    14
15.0000000          0.0000000       1.0000000       0.0000000    15
16.0000000          0.0000000       1.0000000       0.0000000    16
17.0000000          0.0000000       1.0000000       0.0000000    17
18.0000000          0.0000000       1.0000000       0.0000000    18
19.0000000          0.0000000       1.0000000       0.0000000    19
20.0000000          0.0000000       1.0000000       0.0000000    20
21.0000000          0.0000000       1.0000000       0.0000000    21
22.0000000          0.0000000       1.0000000       0.0000000    22
23.0000000          0.0000000       1.0000000       0.0000000    23
24.0000000          0.0000000       1.0000000       0.0000000    24
25.0000000          0.0000000       1.0000000       0.0000000    25
26.0000000          0.0000000       1.0000000       0.0000000    26
27.0000000          0.0000000       1.0000000       0.0000000    27
28.0000000          0.0000000       1.0000000       0.0000000    28
29.0000000          0.0000000       1.0000000       0.0000000    29
30.0000000          1.0000000       0.0000000       1.0000000    30
31.0000000          1.0000000       0.0000000       0.0000000    31
32.0000000          1.0000000       0.0000000       0.0000000    32
33.0000000          1.0000000       0.0000000       0.0000000    33
34.0000000          1.0000000       0.0000000       0.0000000    34
35.0000000          1.0000000       0.0000000       0.0000000    35
36.0000000          1.0000000       0.0000000       0.0000000    36
37.0000000          1.0000000       0.0000000       0.0000000    37
38.0000000          1.0000000       0.0000000       0.0000000    38
39.0000000          1.0000000       0.0000000       0.0000000    39
40.0000000          1.0000000       0.0000000       0.0000000    40
41.0000000          1.0000000       0.0000000       0.0000000    41
42.0000000          1.0000000       0.0000000       0.0000000    42
43.0000000          1.0000000       0.0000000       0.0000000    43
44.0000000          1.0000000       0.0000000       0.0000000    44
45.0000000          1.0000000       0.0000000       0.0000000    45
46.0000000          1.0000000       0.0000000       0.0000000    46
47.0000000          1.0000000       0.0000000       0.0000000    47
48.0000000          1.0000000       0.0000000       0.0000000    48
49.0000000          1.0000000       0.0000000       0.0000000    49
50.0000000          1.0000000       0.0000000       0.0000000    50
51.0000000          1.0000000       0.0000000       0.0000000    51
52.0000000          1.0000000       0.0000000       0.0000000    52
53.0000000          1.0000000       0.0000000       0.0000000    53
54.0000000          1.0000000       0.0000000       0.0000000    54
55.0000000          1.0000000       0.0000000       0.0000000    55
56.0000000          1.0000000       0.0000000       0.0000000    56
57.0000000          1.0000000       0.0000000       0.0000000    57
58.0000000          1.0000000       0.0000000       0.0000000    58
59.0000000          1.0000000       0.0000000       0.0000000    59
60.0000000          1.0000000       0.0000000       0.0000000    60
61.0000000          1.0000000       0.0000000       0.0000000    61
62.0000000          1.0000000       0.0000000       0.0000000    62
63.0000000          1.0000000       0.0000000       0.0000000    63
64.0000000          1.0000000       0.0000000       0.0000000    64
65.0000000          1.0000000       0.0000000       0.0000000    65
66.0000000          1.0000000       0.0000000       0.0000000    66
67.0000000          1.0000000       0.0000000       0.0000000    67
68.0000000          1.0000000       0.0000000       0.0000000    68
69.0000000          1.0000000       0.0000000       0.0000000    69
