#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: scheduler.harq.effSINR
#  Description: Effective SINR
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 51.2838993
#  Maximum: 65.6344959
#  Trials: 32
#  Mean: 55.5619684
# 
#  Variance: 35.7233301
#  Relative variance: 0.0115717
#  Coefficient of variation: 0.1075718
#  Standard deviation: 5.9768997
#  Relative standard deviation: 0.1075718
# 
#  Skewness: 1.0287587
# 
#  2nd moment: 3121.7393062
#  3rd moment: 177515.2992166
# 
#  Sum of all values: 1777.9829881
#  (Sum of all values)^2: 99895.6577983
#  (Sum of all values)^3: 5680489.5749322
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -50
#  Right border of x-axis: 100
#  Resolution of x-axis: 150
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 51.0200000
#  P02: 51.0400000
#  P03: 51.0600000
#  P04: 51.0800000
#  P05: 51.1000000
#  P06: 51.1200000
#  P07: 51.1400000
#  P08: 51.1600000
#  P09: 51.1800000
#  P10: 51.2000000
#  P11: 51.2200000
#  P12: 51.2400000
#  P13: 51.2600000
#  P14: 51.2800000
#  P15: 51.3000000
#  P16: 51.3200000
#  P17: 51.3400000
#  P18: 51.3600000
#  P19: 51.3800000
#  P20: 51.4000000
#  P21: 51.4200000
#  P22: 51.4400000
#  P23: 51.4600000
#  P24: 51.4800000
#  P25: 51.5000000
#  P26: 51.5200000
#  P27: 51.5400000
#  P28: 51.5600000
#  P29: 51.5800000
#  P30: 51.6000000
#  P31: 51.6200000
#  P32: 51.6400000
#  P33: 51.6600000
#  P34: 51.6800000
#  P35: 51.7000000
#  P36: 51.7200000
#  P37: 51.7400000
#  P38: 51.7600000
#  P39: 51.7800000
#  P40: 51.8000000
#  P41: 51.8200000
#  P42: 51.8400000
#  P43: 51.8600000
#  P44: 51.8800000
#  P45: 51.9000000
#  P46: 51.9200000
#  P47: 51.9400000
#  P48: 51.9600000
#  P49: 51.9800000
#  P50: 52.0000000
#  P51: 53.0400000
#  P52: 53.0800000
#  P53: 53.1200000
#  P54: 53.1600000
#  P55: 53.2000000
#  P56: 53.2400000
#  P57: 53.2800000
#  P58: 53.3200000
#  P59: 53.3600000
#  P60: 53.4000000
#  P61: 53.4400000
#  P62: 53.4800000
#  P63: 53.5200000
#  P64: 53.5600000
#  P65: 53.6000000
#  P66: 53.6400000
#  P67: 53.6800000
#  P68: 53.7200000
#  P69: 53.7600000
#  P70: 53.8000000
#  P71: 53.8400000
#  P72: 53.8800000
#  P73: 53.9200000
#  P74: 53.9600000
#  P75: 54.0000000
#  P76: 65.0253798
#  P77: 65.0507597
#  P78: 65.0761395
#  P79: 65.1015194
#  P80: 65.1268992
#  P81: 65.1522790
#  P82: 65.1776589
#  P83: 65.2030387
#  P84: 65.2284185
#  P85: 65.2537984
#  P86: 65.2791782
#  P87: 65.3045581
#  P88: 65.3299379
#  P89: 65.3553177
#  P90: 65.3806976
#  P91: 65.4060774
#  P92: 65.4314572
#  P93: 65.4568371
#  P94: 65.4822169
#  P95: 65.5075968
#  P96: 65.5329766
#  P97: 65.5583564
#  P98: 65.5837363
#  P99: 65.6091161
#  P100: 65.6344959
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-50.0000000         0.0000000       1.0000000       0.0000000     0
-49.0000000         0.0000000       1.0000000       0.0000000     1
-48.0000000         0.0000000       1.0000000       0.0000000     2
-47.0000000         0.0000000       1.0000000       0.0000000     3
-46.0000000         0.0000000       1.0000000       0.0000000     4
-45.0000000         0.0000000       1.0000000       0.0000000     5
-44.0000000         0.0000000       1.0000000       0.0000000     6
-43.0000000         0.0000000       1.0000000       0.0000000     7
-42.0000000         0.0000000       1.0000000       0.0000000     8
-41.0000000         0.0000000       1.0000000       0.0000000     9
-40.0000000         0.0000000       1.0000000       0.0000000    10
-39.0000000         0.0000000       1.0000000       0.0000000    11
-38.0000000         0.0000000       1.0000000       0.0000000    12
-37.0000000         0.0000000       1.0000000       0.0000000    13
-36.0000000         0.0000000       1.0000000       0.0000000    14
-35.0000000         0.0000000       1.0000000       0.0000000    15
-34.0000000         0.0000000       1.0000000       0.0000000    16
-33.0000000         0.0000000       1.0000000       0.0000000    17
-32.0000000         0.0000000       1.0000000       0.0000000    18
-31.0000000         0.0000000       1.0000000       0.0000000    19
-30.0000000         0.0000000       1.0000000       0.0000000    20
-29.0000000         0.0000000       1.0000000       0.0000000    21
-28.0000000         0.0000000       1.0000000       0.0000000    22
-27.0000000         0.0000000       1.0000000       0.0000000    23
-26.0000000         0.0000000       1.0000000       0.0000000    24
-25.0000000         0.0000000       1.0000000       0.0000000    25
-24.0000000         0.0000000       1.0000000       0.0000000    26
-23.0000000         0.0000000       1.0000000       0.0000000    27
-22.0000000         0.0000000       1.0000000       0.0000000    28
-21.0000000         0.0000000       1.0000000       0.0000000    29
-20.0000000         0.0000000       1.0000000       0.0000000    30
-19.0000000         0.0000000       1.0000000       0.0000000    31
-18.0000000         0.0000000       1.0000000       0.0000000    32
-17.0000000         0.0000000       1.0000000       0.0000000    33
-16.0000000         0.0000000       1.0000000       0.0000000    34
-15.0000000         0.0000000       1.0000000       0.0000000    35
-14.0000000         0.0000000       1.0000000       0.0000000    36
-13.0000000         0.0000000       1.0000000       0.0000000    37
-12.0000000         0.0000000       1.0000000       0.0000000    38
-11.0000000         0.0000000       1.0000000       0.0000000    39
-10.0000000         0.0000000       1.0000000       0.0000000    40
-9.0000000          0.0000000       1.0000000       0.0000000    41
-8.0000000          0.0000000       1.0000000       0.0000000    42
-7.0000000          0.0000000       1.0000000       0.0000000    43
-6.0000000          0.0000000       1.0000000       0.0000000    44
-5.0000000          0.0000000       1.0000000       0.0000000    45
-4.0000000          0.0000000       1.0000000       0.0000000    46
-3.0000000          0.0000000       1.0000000       0.0000000    47
-2.0000000          0.0000000       1.0000000       0.0000000    48
-1.0000000          0.0000000       1.0000000       0.0000000    49
0.0000000           0.0000000       1.0000000       0.0000000    50
1.0000000           0.0000000       1.0000000       0.0000000    51
2.0000000           0.0000000       1.0000000       0.0000000    52
3.0000000           0.0000000       1.0000000       0.0000000    53
4.0000000           0.0000000       1.0000000       0.0000000    54
5.0000000           0.0000000       1.0000000       0.0000000    55
6.0000000           0.0000000       1.0000000       0.0000000    56
7.0000000           0.0000000       1.0000000       0.0000000    57
8.0000000           0.0000000       1.0000000       0.0000000    58
9.0000000           0.0000000       1.0000000       0.0000000    59
10.0000000          0.0000000       1.0000000       0.0000000    60
11.0000000          0.0000000       1.0000000       0.0000000    61
12.0000000          0.0000000       1.0000000       0.0000000    62
13.0000000          0.0000000       1.0000000       0.0000000    63
14.0000000          0.0000000       1.0000000       0.0000000    64
15.0000000          0.0000000       1.0000000       0.0000000    65
16.0000000          0.0000000       1.0000000       0.0000000    66
17.0000000          0.0000000       1.0000000       0.0000000    67
