#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: applications.packet.incoming.delay
#  Description: End to end packet delay [s]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 0.0060000
#  Maximum: 0.0300000
#  Trials: 56
#  Mean: 0.0085000
# 
#  Variance: 0.0000230
#  Relative variance: 0.3185908
#  Coefficient of variation: 0.5644384
#  Standard deviation: 0.0047977
#  Relative standard deviation: 0.5644384
# 
#  Skewness: 2.2246452
# 
#  2nd moment: 0.0000949
#  3rd moment: 0.0000014
# 
#  Sum of all values: 0.4760000
#  (Sum of all values)^2: 0.0053120
#  (Sum of all values)^3: 0.0000804
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 0.5
#  Resolution of x-axis: 500
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 0.0050280
#  P02: 0.0050560
#  P03: 0.0050840
#  P04: 0.0051120
#  P05: 0.0051400
#  P06: 0.0051680
#  P07: 0.0051960
#  P08: 0.0052240
#  P09: 0.0052520
#  P10: 0.0052800
#  P11: 0.0053080
#  P12: 0.0053360
#  P13: 0.0053640
#  P14: 0.0053920
#  P15: 0.0054200
#  P16: 0.0054480
#  P17: 0.0054760
#  P18: 0.0055040
#  P19: 0.0055320
#  P20: 0.0055600
#  P21: 0.0055880
#  P22: 0.0056160
#  P23: 0.0056440
#  P24: 0.0056720
#  P25: 0.0057000
#  P26: 0.0057280
#  P27: 0.0057560
#  P28: 0.0057840
#  P29: 0.0058120
#  P30: 0.0058400
#  P31: 0.0058680
#  P32: 0.0058960
#  P33: 0.0059240
#  P34: 0.0059520
#  P35: 0.0059800
#  P36: 0.0060076
#  P37: 0.0060343
#  P38: 0.0060610
#  P39: 0.0060876
#  P40: 0.0061143
#  P41: 0.0061410
#  P42: 0.0061676
#  P43: 0.0061943
#  P44: 0.0062210
#  P45: 0.0062476
#  P46: 0.0062743
#  P47: 0.0063010
#  P48: 0.0063276
#  P49: 0.0063543
#  P50: 0.0063810
#  P51: 0.0064076
#  P52: 0.0064343
#  P53: 0.0064610
#  P54: 0.0064876
#  P55: 0.0065143
#  P56: 0.0065410
#  P57: 0.0065676
#  P58: 0.0065943
#  P59: 0.0066210
#  P60: 0.0066476
#  P61: 0.0066743
#  P62: 0.0067010
#  P63: 0.0067276
#  P64: 0.0067543
#  P65: 0.0067810
#  P66: 0.0068076
#  P67: 0.0068343
#  P68: 0.0068610
#  P69: 0.0068876
#  P70: 0.0069143
#  P71: 0.0069410
#  P72: 0.0069676
#  P73: 0.0069943
#  P74: 0.0104400
#  P75: 0.0110000
#  P76: 0.0140467
#  P77: 0.0140933
#  P78: 0.0141400
#  P79: 0.0141867
#  P80: 0.0142333
#  P81: 0.0142800
#  P82: 0.0143267
#  P83: 0.0143733
#  P84: 0.0144200
#  P85: 0.0144667
#  P86: 0.0145133
#  P87: 0.0145600
#  P88: 0.0146067
#  P89: 0.0146533
#  P90: 0.0147000
#  P91: 0.0147467
#  P92: 0.0147933
#  P93: 0.0148400
#  P94: 0.0148867
#  P95: 0.0149333
#  P96: 0.0149800
#  P97: 0.0223200
#  P98: 0.0228800
#  P99: 0.0300000
#  P100: 0.0300000
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
0.0000000           0.0000000       1.0000000       0.0000000     0
0.0010000           0.0000000       1.0000000       0.0000000     1
0.0020000           0.0000000       1.0000000       0.0000000     2
0.0030000           0.0000000       1.0000000       0.0000000     3
0.0040000           0.0000000       1.0000000       0.0000000     4
0.0050000           0.0000000       1.0000000       0.0000000     5
0.0060000           0.3571429       0.6428571       0.3571429     6
0.0070000           0.7321429       0.2678571       0.3750000     7
0.0080000           0.7321429       0.2678571       0.0000000     8
0.0090000           0.7321429       0.2678571       0.0000000     9
0.0100000           0.7321429       0.2678571       0.0000000    10
0.0110000           0.7500000       0.2500000       0.0178571    11
0.0120000           0.7500000       0.2500000       0.0000000    12
0.0130000           0.7500000       0.2500000       0.0000000    13
0.0140000           0.7500000       0.2500000       0.0000000    14
0.0150000           0.9642857       0.0357143       0.2142857    15
0.0160000           0.9642857       0.0357143       0.0000000    16
0.0170000           0.9642857       0.0357143       0.0000000    17
0.0180000           0.9642857       0.0357143       0.0000000    18
0.0190000           0.9642857       0.0357143       0.0000000    19
0.0200000           0.9642857       0.0357143       0.0000000    20
0.0210000           0.9642857       0.0357143       0.0000000    21
0.0220000           0.9642857       0.0357143       0.0000000    22
0.0230000           0.9821429       0.0178571       0.0178571    23
0.0240000           0.9821429       0.0178571       0.0000000    24
0.0250000           0.9821429       0.0178571       0.0000000    25
0.0260000           0.9821429       0.0178571       0.0000000    26
0.0270000           0.9821429       0.0178571       0.0000000    27
0.0280000           0.9821429       0.0178571       0.0000000    28
0.0290000           0.9821429       0.0178571       0.0000000    29
0.0300000           0.9821429       0.0178571       0.0000000    30
0.0310000           1.0000000       0.0000000       0.0178571    31
0.0320000           1.0000000       0.0000000       0.0000000    32
0.0330000           1.0000000       0.0000000       0.0000000    33
0.0340000           1.0000000       0.0000000       0.0000000    34
0.0350000           1.0000000       0.0000000       0.0000000    35
0.0360000           1.0000000       0.0000000       0.0000000    36
0.0370000           1.0000000       0.0000000       0.0000000    37
0.0380000           1.0000000       0.0000000       0.0000000    38
0.0390000           1.0000000       0.0000000       0.0000000    39
0.0400000           1.0000000       0.0000000       0.0000000    40
0.0410000           1.0000000       0.0000000       0.0000000    41
0.0420000           1.0000000       0.0000000       0.0000000    42
0.0430000           1.0000000       0.0000000       0.0000000    43
0.0440000           1.0000000       0.0000000       0.0000000    44
0.0450000           1.0000000       0.0000000       0.0000000    45
0.0460000           1.0000000       0.0000000       0.0000000    46
0.0470000           1.0000000       0.0000000       0.0000000    47
0.0480000           1.0000000       0.0000000       0.0000000    48
0.0490000           1.0000000       0.0000000       0.0000000    49
0.0500000           1.0000000       0.0000000       0.0000000    50
0.0510000           1.0000000       0.0000000       0.0000000    51
0.0520000           1.0000000       0.0000000       0.0000000    52
0.0530000           1.0000000       0.0000000       0.0000000    53
0.0540000           1.0000000       0.0000000       0.0000000    54
0.0550000           1.0000000       0.0000000       0.0000000    55
0.0560000           1.0000000       0.0000000       0.0000000    56
0.0570000           1.0000000       0.0000000       0.0000000    57
0.0580000           1.0000000       0.0000000       0.0000000    58
0.0590000           1.0000000       0.0000000       0.0000000    59
0.0600000           1.0000000       0.0000000       0.0000000    60
0.0610000           1.0000000       0.0000000       0.0000000    61
0.0620000           1.0000000       0.0000000       0.0000000    62
0.0630000           1.0000000       0.0000000       0.0000000    63
0.0640000           1.0000000       0.0000000       0.0000000    64
0.0650000           1.0000000       0.0000000       0.0000000    65
0.0660000           1.0000000       0.0000000       0.0000000    66
0.0670000           1.0000000       0.0000000       0.0000000    67
0.0680000           1.0000000       0.0000000       0.0000000    68
0.0690000           1.0000000       0.0000000       0.0000000    69
