#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.IoT
#  Description: Interference over Thermal (IoT) [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 0.0000000
#  Maximum: 0.0000000
#  Trials: 50
#  Mean: 0.0000000
# 
#  Variance: 0.0000000
#  Relative variance: 0.0000000
#  Coefficient of variation: 0.0000000
#  Standard deviation: 0.0000000
#  Relative standard deviation: 0.0000000
# 
#  Skewness: 0.0000000
# 
#  2nd moment: 0.0000000
#  3rd moment: 0.0000000
# 
#  Sum of all values: 0.0000000
#  (Sum of all values)^2: 0.0000000
#  (Sum of all values)^3: 0.0000000
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 70
#  Resolution of x-axis: 100
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: NaN
#  P02: NaN
#  P03: NaN
#  P04: NaN
#  P05: NaN
#  P06: NaN
#  P07: 0.0000000
#  P08: 0.0000000
#  P09: 0.0000000
#  P10: 0.0000000
#  P11: 0.0000000
#  P12: 0.0000000
#  P13: 0.0000000
#  P14: 0.0000000
#  P15: 0.0000000
#  P16: 0.0000000
#  P17: 0.0000000
#  P18: 0.0000000
#  P19: 0.0000000
#  P20: 0.0000000
#  P21: 0.0000000
#  P22: 0.0000000
#  P23: 0.0000000
#  P24: 0.0000000
#  P25: 0.0000000
#  P26: 0.0000000
#  P27: 0.0000000
#  P28: 0.0000000
#  P29: 0.0000000
#  P30: 0.0000000
#  P31: 0.0000000
#  P32: 0.0000000
#  P33: 0.0000000
#  P34: 0.0000000
#  P35: 0.0000000
#  P36: 0.0000000
#  P37: 0.0000000
#  P38: 0.0000000
#  P39: 0.0000000
#  P40: 0.0000000
#  P41: 0.0000000
#  P42: 0.0000000
#  P43: 0.0000000
#  P44: 0.0000000
#  P45: 0.0000000
#  P46: 0.0000000
#  P47: 0.0000000
#  P48: 0.0000000
#  P49: 0.0000000
#  P50: 0.0000000
#  P51: 0.0000000
#  P52: 0.0000000
#  P53: 0.0000000
#  P54: 0.0000000
#  P55: 0.0000000
#  P56: 0.0000000
#  P57: 0.0000000
#  P58: 0.0000000
#  P59: 0.0000000
#  P60: 0.0000000
#  P61: 0.0000000
#  P62: 0.0000000
#  P63: 0.0000000
#  P64: 0.0000000
#  P65: 0.0000000
#  P66: 0.0000000
#  P67: 0.0000000
#  P68: 0.0000000
#  P69: 0.0000000
#  P70: 0.0000000
#  P71: 0.0000000
#  P72: 0.0000000
#  P73: 0.0000000
#  P74: 0.0000000
#  P75: 0.0000000
#  P76: 0.0000000
#  P77: 0.0000000
#  P78: 0.0000000
#  P79: 0.0000000
#  P80: 0.0000000
#  P81: 0.0000000
#  P82: 0.0000000
#  P83: 0.0000000
#  P84: 0.0000000
#  P85: 0.0000000
#  P86: 0.0000000
#  P87: 0.0000000
#  P88: 0.0000000
#  P89: 0.0000000
#  P90: 0.0000000
#  P91: 0.0000000
#  P92: 0.0000000
#  P93: 0.0000000
#  P94: 0.0000000
#  P95: 0.0000000
#  P96: 0.0000000
#  P97: 0.0000000
#  P98: 0.0000000
#  P99: 0.0000000
#  P100: 0.0000000
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
0.0000000           0.0600000       0.9400000       0.0600000     0
0.7000000           1.0000000       0.0000000       0.9400000     1
1.4000000           1.0000000       0.0000000       0.0000000     2
2.1000000           1.0000000       0.0000000       0.0000000     3
2.8000000           1.0000000       0.0000000       0.0000000     4
3.5000000           1.0000000       0.0000000       0.0000000     5
4.2000000           1.0000000       0.0000000       0.0000000     6
4.9000000           1.0000000       0.0000000       0.0000000     7
5.6000000           1.0000000       0.0000000       0.0000000     8
6.3000000           1.0000000       0.0000000       0.0000000     9
7.0000000           1.0000000       0.0000000       0.0000000    10
7.7000000           1.0000000       0.0000000       0.0000000    11
8.4000000           1.0000000       0.0000000       0.0000000    12
9.1000000           1.0000000       0.0000000       0.0000000    13
9.8000000           1.0000000       0.0000000       0.0000000    14
10.5000000          1.0000000       0.0000000       0.0000000    15
11.2000000          1.0000000       0.0000000       0.0000000    16
11.9000000          1.0000000       0.0000000       0.0000000    17
12.6000000          1.0000000       0.0000000       0.0000000    18
13.3000000          1.0000000       0.0000000       0.0000000    19
14.0000000          1.0000000       0.0000000       0.0000000    20
14.7000000          1.0000000       0.0000000       0.0000000    21
15.4000000          1.0000000       0.0000000       0.0000000    22
16.1000000          1.0000000       0.0000000       0.0000000    23
16.8000000          1.0000000       0.0000000       0.0000000    24
17.5000000          1.0000000       0.0000000       0.0000000    25
18.2000000          1.0000000       0.0000000       0.0000000    26
18.9000000          1.0000000       0.0000000       0.0000000    27
19.6000000          1.0000000       0.0000000       0.0000000    28
20.3000000          1.0000000       0.0000000       0.0000000    29
21.0000000          1.0000000       0.0000000       0.0000000    30
21.7000000          1.0000000       0.0000000       0.0000000    31
22.4000000          1.0000000       0.0000000       0.0000000    32
23.1000000          1.0000000       0.0000000       0.0000000    33
23.8000000          1.0000000       0.0000000       0.0000000    34
24.5000000          1.0000000       0.0000000       0.0000000    35
25.2000000          1.0000000       0.0000000       0.0000000    36
25.9000000          1.0000000       0.0000000       0.0000000    37
26.6000000          1.0000000       0.0000000       0.0000000    38
27.3000000          1.0000000       0.0000000       0.0000000    39
28.0000000          1.0000000       0.0000000       0.0000000    40
28.7000000          1.0000000       0.0000000       0.0000000    41
29.4000000          1.0000000       0.0000000       0.0000000    42
30.1000000          1.0000000       0.0000000       0.0000000    43
30.8000000          1.0000000       0.0000000       0.0000000    44
31.5000000          1.0000000       0.0000000       0.0000000    45
32.2000000          1.0000000       0.0000000       0.0000000    46
32.9000000          1.0000000       0.0000000       0.0000000    47
33.6000000          1.0000000       0.0000000       0.0000000    48
34.3000000          1.0000000       0.0000000       0.0000000    49
35.0000000          1.0000000       0.0000000       0.0000000    50
35.7000000          1.0000000       0.0000000       0.0000000    51
36.4000000          1.0000000       0.0000000       0.0000000    52
37.1000000          1.0000000       0.0000000       0.0000000    53
37.8000000          1.0000000       0.0000000       0.0000000    54
38.5000000          1.0000000       0.0000000       0.0000000    55
39.2000000          1.0000000       0.0000000       0.0000000    56
39.9000000          1.0000000       0.0000000       0.0000000    57
40.6000000          1.0000000       0.0000000       0.0000000    58
41.3000000          1.0000000       0.0000000       0.0000000    59
42.0000000          1.0000000       0.0000000       0.0000000    60
42.7000000          1.0000000       0.0000000       0.0000000    61
43.4000000          1.0000000       0.0000000       0.0000000    62
44.1000000          1.0000000       0.0000000       0.0000000    63
44.8000000          1.0000000       0.0000000       0.0000000    64
45.5000000          1.0000000       0.0000000       0.0000000    65
46.2000000          1.0000000       0.0000000       0.0000000    66
46.9000000          1.0000000       0.0000000       0.0000000    67
47.6000000          1.0000000       0.0000000       0.0000000    68
48.3000000          1.0000000       0.0000000       0.0000000    69
