#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.MAP_SINR
#  Description: Center Cell DL SINR distribution [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 7.6326951
#  Maximum: 42.7995854
#  Trials: 2000
#  Mean: 25.2161402
# 
#  Variance: 309.3322084
#  Relative variance: 0.4864833
#  Coefficient of variation: 0.6974835
#  Standard deviation: 17.5878426
#  Relative standard deviation: 0.6974835
# 
#  Skewness: 0.0000000
# 
#  2nd moment: 945.0312710
#  3rd moment: 39422.5695926
# 
#  Sum of all values: 50432.2804813
#  (Sum of all values)^2: 1890062.5419010
#  (Sum of all values)^3: 78845139.1851830
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -50
#  Right border of x-axis: 100
#  Resolution of x-axis: 150
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 7.0200000
#  P02: 7.0400000
#  P03: 7.0600000
#  P04: 7.0800000
#  P05: 7.1000000
#  P06: 7.1200000
#  P07: 7.1400000
#  P08: 7.1600000
#  P09: 7.1800000
#  P10: 7.2000000
#  P11: 7.2200000
#  P12: 7.2400000
#  P13: 7.2600000
#  P14: 7.2800000
#  P15: 7.3000000
#  P16: 7.3200000
#  P17: 7.3400000
#  P18: 7.3600000
#  P19: 7.3800000
#  P20: 7.4000000
#  P21: 7.4200000
#  P22: 7.4400000
#  P23: 7.4600000
#  P24: 7.4800000
#  P25: 7.5000000
#  P26: 7.5200000
#  P27: 7.5400000
#  P28: 7.5600000
#  P29: 7.5800000
#  P30: 7.6000000
#  P31: 7.6200000
#  P32: 7.6400000
#  P33: 7.6600000
#  P34: 7.6800000
#  P35: 7.7000000
#  P36: 7.7200000
#  P37: 7.7400000
#  P38: 7.7600000
#  P39: 7.7800000
#  P40: 7.8000000
#  P41: 7.8200000
#  P42: 7.8400000
#  P43: 7.8600000
#  P44: 7.8800000
#  P45: 7.9000000
#  P46: 7.9200000
#  P47: 7.9400000
#  P48: 7.9600000
#  P49: 7.9800000
#  P50: 8.0000000
#  P51: 42.0159917
#  P52: 42.0319834
#  P53: 42.0479751
#  P54: 42.0639668
#  P55: 42.0799585
#  P56: 42.0959502
#  P57: 42.1119420
#  P58: 42.1279337
#  P59: 42.1439254
#  P60: 42.1599171
#  P61: 42.1759088
#  P62: 42.1919005
#  P63: 42.2078922
#  P64: 42.2238839
#  P65: 42.2398756
#  P66: 42.2558673
#  P67: 42.2718590
#  P68: 42.2878507
#  P69: 42.3038424
#  P70: 42.3198341
#  P71: 42.3358259
#  P72: 42.3518176
#  P73: 42.3678093
#  P74: 42.3838010
#  P75: 42.3997927
#  P76: 42.4157844
#  P77: 42.4317761
#  P78: 42.4477678
#  P79: 42.4637595
#  P80: 42.4797512
#  P81: 42.4957429
#  P82: 42.5117346
#  P83: 42.5277263
#  P84: 42.5437180
#  P85: 42.5597098
#  P86: 42.5757015
#  P87: 42.5916932
#  P88: 42.6076849
#  P89: 42.6236766
#  P90: 42.6396683
#  P91: 42.6556600
#  P92: 42.6716517
#  P93: 42.6876434
#  P94: 42.7036351
#  P95: 42.7196268
#  P96: 42.7356185
#  P97: 42.7516102
#  P98: 42.7676019
#  P99: 42.7835937
#  P100: 42.7995854
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-50.0000000         0.0000000       1.0000000       0.0000000     0
-49.0000000         0.0000000       1.0000000       0.0000000     1
-48.0000000         0.0000000       1.0000000       0.0000000     2
-47.0000000         0.0000000       1.0000000       0.0000000     3
-46.0000000         0.0000000       1.0000000       0.0000000     4
-45.0000000         0.0000000       1.0000000       0.0000000     5
-44.0000000         0.0000000       1.0000000       0.0000000     6
-43.0000000         0.0000000       1.0000000       0.0000000     7
-42.0000000         0.0000000       1.0000000       0.0000000     8
-41.0000000         0.0000000       1.0000000       0.0000000     9
-40.0000000         0.0000000       1.0000000       0.0000000    10
-39.0000000         0.0000000       1.0000000       0.0000000    11
-38.0000000         0.0000000       1.0000000       0.0000000    12
-37.0000000         0.0000000       1.0000000       0.0000000    13
-36.0000000         0.0000000       1.0000000       0.0000000    14
-35.0000000         0.0000000       1.0000000       0.0000000    15
-34.0000000         0.0000000       1.0000000       0.0000000    16
-33.0000000         0.0000000       1.0000000       0.0000000    17
-32.0000000         0.0000000       1.0000000       0.0000000    18
-31.0000000         0.0000000       1.0000000       0.0000000    19
-30.0000000         0.0000000       1.0000000       0.0000000    20
-29.0000000         0.0000000       1.0000000       0.0000000    21
-28.0000000         0.0000000       1.0000000       0.0000000    22
-27.0000000         0.0000000       1.0000000       0.0000000    23
-26.0000000         0.0000000       1.0000000       0.0000000    24
-25.0000000         0.0000000       1.0000000       0.0000000    25
-24.0000000         0.0000000       1.0000000       0.0000000    26
-23.0000000         0.0000000       1.0000000       0.0000000    27
-22.0000000         0.0000000       1.0000000       0.0000000    28
-21.0000000         0.0000000       1.0000000       0.0000000    29
-20.0000000         0.0000000       1.0000000       0.0000000    30
-19.0000000         0.0000000       1.0000000       0.0000000    31
-18.0000000         0.0000000       1.0000000       0.0000000    32
-17.0000000         0.0000000       1.0000000       0.0000000    33
-16.0000000         0.0000000       1.0000000       0.0000000    34
-15.0000000         0.0000000       1.0000000       0.0000000    35
-14.0000000         0.0000000       1.0000000       0.0000000    36
-13.0000000         0.0000000       1.0000000       0.0000000    37
-12.0000000         0.0000000       1.0000000       0.0000000    38
-11.0000000         0.0000000       1.0000000       0.0000000    39
-10.0000000         0.0000000       1.0000000       0.0000000    40
-9.0000000          0.0000000       1.0000000       0.0000000    41
-8.0000000          0.0000000       1.0000000       0.0000000    42
-7.0000000          0.0000000       1.0000000       0.0000000    43
-6.0000000          0.0000000       1.0000000       0.0000000    44
-5.0000000          0.0000000       1.0000000       0.0000000    45
-4.0000000          0.0000000       1.0000000       0.0000000    46
-3.0000000          0.0000000       1.0000000       0.0000000    47
-2.0000000          0.0000000       1.0000000       0.0000000    48
-1.0000000          0.0000000       1.0000000       0.0000000    49
0.0000000           0.0000000       1.0000000       0.0000000    50
1.0000000           0.0000000       1.0000000       0.0000000    51
2.0000000           0.0000000       1.0000000       0.0000000    52
3.0000000           0.0000000       1.0000000       0.0000000    53
4.0000000           0.0000000       1.0000000       0.0000000    54
5.0000000           0.0000000       1.0000000       0.0000000    55
6.0000000           0.0000000       1.0000000       0.0000000    56
7.0000000           0.0000000       1.0000000       0.0000000    57
8.0000000           0.5000000       0.5000000       0.5000000    58
9.0000000           0.5000000       0.5000000       0.0000000    59
10.0000000          0.5000000       0.5000000       0.0000000    60
11.0000000          0.5000000       0.5000000       0.0000000    61
12.0000000          0.5000000       0.5000000       0.0000000    62
13.0000000          0.5000000       0.5000000       0.0000000    63
14.0000000          0.5000000       0.5000000       0.0000000    64
15.0000000          0.5000000       0.5000000       0.0000000    65
16.0000000          0.5000000       0.5000000       0.0000000    66
17.0000000          0.5000000       0.5000000       0.0000000    67
18.0000000          0.5000000       0.5000000       0.0000000    68
