#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.SINRest
#  Description: SINR Estimation Error [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 42.8696547
#  Maximum: 44.1991764
#  Trials: 68
#  Mean: 43.2997940
# 
#  Variance: 0.3926338
#  Relative variance: 0.0002094
#  Coefficient of variation: 0.0144713
#  Standard deviation: 0.6266050
#  Relative standard deviation: 0.0144713
# 
#  Skewness: 0.7378530
# 
#  2nd moment: 1875.2590236
#  3rd moment: 81232.0129182
# 
#  Sum of all values: 2944.3859946
#  (Sum of all values)^2: 127517.6136032
#  (Sum of all values)^3: 5523776.8784370
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -20
#  Right border of x-axis: 80
#  Resolution of x-axis: 1000
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 42.8014783
#  P02: 42.8029565
#  P03: 42.8044348
#  P04: 42.8059130
#  P05: 42.8073913
#  P06: 42.8088696
#  P07: 42.8103478
#  P08: 42.8118261
#  P09: 42.8133043
#  P10: 42.8147826
#  P11: 42.8162609
#  P12: 42.8177391
#  P13: 42.8192174
#  P14: 42.8206957
#  P15: 42.8221739
#  P16: 42.8236522
#  P17: 42.8251304
#  P18: 42.8266087
#  P19: 42.8280870
#  P20: 42.8295652
#  P21: 42.8310435
#  P22: 42.8325217
#  P23: 42.8340000
#  P24: 42.8354783
#  P25: 42.8369565
#  P26: 42.8384348
#  P27: 42.8399130
#  P28: 42.8413913
#  P29: 42.8428696
#  P30: 42.8443478
#  P31: 42.8458261
#  P32: 42.8473043
#  P33: 42.8487826
#  P34: 42.8502609
#  P35: 42.8517391
#  P36: 42.8532174
#  P37: 42.8546957
#  P38: 42.8561739
#  P39: 42.8576522
#  P40: 42.8591304
#  P41: 42.8606087
#  P42: 42.8620870
#  P43: 42.8635652
#  P44: 42.8650435
#  P45: 42.8665217
#  P46: 42.8680000
#  P47: 42.8694783
#  P48: 42.8709565
#  P49: 42.8724348
#  P50: 42.8739130
#  P51: 42.8753913
#  P52: 42.8768696
#  P53: 42.8783478
#  P54: 42.8798261
#  P55: 42.8813043
#  P56: 42.8827826
#  P57: 42.8842609
#  P58: 42.8857391
#  P59: 42.8872174
#  P60: 42.8886957
#  P61: 42.8901739
#  P62: 42.8916522
#  P63: 42.8931304
#  P64: 42.8946087
#  P65: 42.8960870
#  P66: 42.8975652
#  P67: 42.8990435
#  P68: 44.1010819
#  P69: 44.1041474
#  P70: 44.1072128
#  P71: 44.1102783
#  P72: 44.1133437
#  P73: 44.1164092
#  P74: 44.1194746
#  P75: 44.1225401
#  P76: 44.1256055
#  P77: 44.1286710
#  P78: 44.1317364
#  P79: 44.1348019
#  P80: 44.1378673
#  P81: 44.1409328
#  P82: 44.1439983
#  P83: 44.1470637
#  P84: 44.1501292
#  P85: 44.1531946
#  P86: 44.1562601
#  P87: 44.1593255
#  P88: 44.1623910
#  P89: 44.1654564
#  P90: 44.1685219
#  P91: 44.1715873
#  P92: 44.1746528
#  P93: 44.1777182
#  P94: 44.1807837
#  P95: 44.1838491
#  P96: 44.1869146
#  P97: 44.1899800
#  P98: 44.1930455
#  P99: 44.1961109
#  P100: 44.1991764
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-20.0000000         0.0000000       1.0000000       0.0000000     0
-19.9000000         0.0000000       1.0000000       0.0000000     1
-19.8000000         0.0000000       1.0000000       0.0000000     2
-19.7000000         0.0000000       1.0000000       0.0000000     3
-19.6000000         0.0000000       1.0000000       0.0000000     4
-19.5000000         0.0000000       1.0000000       0.0000000     5
-19.4000000         0.0000000       1.0000000       0.0000000     6
-19.3000000         0.0000000       1.0000000       0.0000000     7
-19.2000000         0.0000000       1.0000000       0.0000000     8
-19.1000000         0.0000000       1.0000000       0.0000000     9
-19.0000000         0.0000000       1.0000000       0.0000000    10
-18.9000000         0.0000000       1.0000000       0.0000000    11
-18.8000000         0.0000000       1.0000000       0.0000000    12
-18.7000000         0.0000000       1.0000000       0.0000000    13
-18.6000000         0.0000000       1.0000000       0.0000000    14
-18.5000000         0.0000000       1.0000000       0.0000000    15
-18.4000000         0.0000000       1.0000000       0.0000000    16
-18.3000000         0.0000000       1.0000000       0.0000000    17
-18.2000000         0.0000000       1.0000000       0.0000000    18
-18.1000000         0.0000000       1.0000000       0.0000000    19
-18.0000000         0.0000000       1.0000000       0.0000000    20
-17.9000000         0.0000000       1.0000000       0.0000000    21
-17.8000000         0.0000000       1.0000000       0.0000000    22
-17.7000000         0.0000000       1.0000000       0.0000000    23
-17.6000000         0.0000000       1.0000000       0.0000000    24
-17.5000000         0.0000000       1.0000000       0.0000000    25
-17.4000000         0.0000000       1.0000000       0.0000000    26
-17.3000000         0.0000000       1.0000000       0.0000000    27
-17.2000000         0.0000000       1.0000000       0.0000000    28
-17.1000000         0.0000000       1.0000000       0.0000000    29
-17.0000000         0.0000000       1.0000000       0.0000000    30
-16.9000000         0.0000000       1.0000000       0.0000000    31
-16.8000000         0.0000000       1.0000000       0.0000000    32
-16.7000000         0.0000000       1.0000000       0.0000000    33
-16.6000000         0.0000000       1.0000000       0.0000000    34
-16.5000000         0.0000000       1.0000000       0.0000000    35
-16.4000000         0.0000000       1.0000000       0.0000000    36
-16.3000000         0.0000000       1.0000000       0.0000000    37
-16.2000000         0.0000000       1.0000000       0.0000000    38
-16.1000000         0.0000000       1.0000000       0.0000000    39
-16.0000000         0.0000000       1.0000000       0.0000000    40
-15.9000000         0.0000000       1.0000000       0.0000000    41
-15.8000000         0.0000000       1.0000000       0.0000000    42
-15.7000000         0.0000000       1.0000000       0.0000000    43
-15.6000000         0.0000000       1.0000000       0.0000000    44
-15.5000000         0.0000000       1.0000000       0.0000000    45
-15.4000000         0.0000000       1.0000000       0.0000000    46
-15.3000000         0.0000000       1.0000000       0.0000000    47
-15.2000000         0.0000000       1.0000000       0.0000000    48
-15.1000000         0.0000000       1.0000000       0.0000000    49
-15.0000000         0.0000000       1.0000000       0.0000000    50
-14.9000000         0.0000000       1.0000000       0.0000000    51
-14.8000000         0.0000000       1.0000000       0.0000000    52
-14.7000000         0.0000000       1.0000000       0.0000000    53
-14.6000000         0.0000000       1.0000000       0.0000000    54
-14.5000000         0.0000000       1.0000000       0.0000000    55
-14.4000000         0.0000000       1.0000000       0.0000000    56
-14.3000000         0.0000000       1.0000000       0.0000000    57
-14.2000000         0.0000000       1.0000000       0.0000000    58
-14.1000000         0.0000000       1.0000000       0.0000000    59
-14.0000000         0.0000000       1.0000000       0.0000000    60
-13.9000000         0.0000000       1.0000000       0.0000000    61
-13.8000000         0.0000000       1.0000000       0.0000000    62
-13.7000000         0.0000000       1.0000000       0.0000000    63
-13.6000000         0.0000000       1.0000000       0.0000000    64
-13.5000000         0.0000000       1.0000000       0.0000000    65
-13.4000000         0.0000000       1.0000000       0.0000000    66
-13.3000000         0.0000000       1.0000000       0.0000000    67
