#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.TxPower
#  Description: Downlink Tx Power distribution
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 1.0000000
#  Maximum: 1.0000000
#  Trials: 112
#  Mean: 1.0000000
# 
#  Variance: 0.0000000
#  Relative variance: 0.0000000
#  Coefficient of variation: 0.0000000
#  Standard deviation: 0.0000000
#  Relative standard deviation: 0.0000000
# 
#  Skewness: 0.0000000
# 
#  2nd moment: 1.0000000
#  3rd moment: 1.0000000
# 
#  Sum of all values: 112.0000000
#  (Sum of all values)^2: 112.0000000
#  (Sum of all values)^3: 112.0000000
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -10
#  Right border of x-axis: 40
#  Resolution of x-axis: 100
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 0.5050000
#  P02: 0.5100000
#  P03: 0.5150000
#  P04: 0.5200000
#  P05: 0.5250000
#  P06: 0.5300000
#  P07: 0.5350000
#  P08: 0.5400000
#  P09: 0.5450000
#  P10: 0.5500000
#  P11: 0.5550000
#  P12: 0.5600000
#  P13: 0.5650000
#  P14: 0.5700000
#  P15: 0.5750000
#  P16: 0.5800000
#  P17: 0.5850000
#  P18: 0.5900000
#  P19: 0.5950000
#  P20: 0.6000000
#  P21: 0.6050000
#  P22: 0.6100000
#  P23: 0.6150000
#  P24: 0.6200000
#  P25: 0.6250000
#  P26: 0.6300000
#  P27: 0.6350000
#  P28: 0.6400000
#  P29: 0.6450000
#  P30: 0.6500000
#  P31: 0.6550000
#  P32: 0.6600000
#  P33: 0.6650000
#  P34: 0.6700000
#  P35: 0.6750000
#  P36: 0.6800000
#  P37: 0.6850000
#  P38: 0.6900000
#  P39: 0.6950000
#  P40: 0.7000000
#  P41: 0.7050000
#  P42: 0.7100000
#  P43: 0.7150000
#  P44: 0.7200000
#  P45: 0.7250000
#  P46: 0.7300000
#  P47: 0.7350000
#  P48: 0.7400000
#  P49: 0.7450000
#  P50: 0.7500000
#  P51: 0.7550000
#  P52: 0.7600000
#  P53: 0.7650000
#  P54: 0.7700000
#  P55: 0.7750000
#  P56: 0.7800000
#  P57: 0.7850000
#  P58: 0.7900000
#  P59: 0.7950000
#  P60: 0.8000000
#  P61: 0.8050000
#  P62: 0.8100000
#  P63: 0.8150000
#  P64: 0.8200000
#  P65: 0.8250000
#  P66: 0.8300000
#  P67: 0.8350000
#  P68: 0.8400000
#  P69: 0.8450000
#  P70: 0.8500000
#  P71: 0.8550000
#  P72: 0.8600000
#  P73: 0.8650000
#  P74: 0.8700000
#  P75: 0.8750000
#  P76: 0.8800000
#  P77: 0.8850000
#  P78: 0.8900000
#  P79: 0.8950000
#  P80: 0.9000000
#  P81: 0.9050000
#  P82: 0.9100000
#  P83: 0.9150000
#  P84: 0.9200000
#  P85: 0.9250000
#  P86: 0.9300000
#  P87: 0.9350000
#  P88: 0.9400000
#  P89: 0.9450000
#  P90: 0.9500000
#  P91: 0.9550000
#  P92: 0.9600000
#  P93: 0.9650000
#  P94: 0.9700000
#  P95: 0.9750000
#  P96: 0.9800000
#  P97: 0.9850000
#  P98: 0.9900000
#  P99: 0.9950000
#  P100: 1.0000000
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-10.0000000         0.0000000       1.0000000       0.0000000     0
-9.5000000          0.0000000       1.0000000       0.0000000     1
-9.0000000          0.0000000       1.0000000       0.0000000     2
-8.5000000          0.0000000       1.0000000       0.0000000     3
-8.0000000          0.0000000       1.0000000       0.0000000     4
-7.5000000          0.0000000       1.0000000       0.0000000     5
-7.0000000          0.0000000       1.0000000       0.0000000     6
-6.5000000          0.0000000       1.0000000       0.0000000     7
-6.0000000          0.0000000       1.0000000       0.0000000     8
-5.5000000          0.0000000       1.0000000       0.0000000     9
-5.0000000          0.0000000       1.0000000       0.0000000    10
-4.5000000          0.0000000       1.0000000       0.0000000    11
-4.0000000          0.0000000       1.0000000       0.0000000    12
-3.5000000          0.0000000       1.0000000       0.0000000    13
-3.0000000          0.0000000       1.0000000       0.0000000    14
-2.5000000          0.0000000       1.0000000       0.0000000    15
-2.0000000          0.0000000       1.0000000       0.0000000    16
-1.5000000          0.0000000       1.0000000       0.0000000    17
-1.0000000          0.0000000       1.0000000       0.0000000    18
-0.5000000          0.0000000       1.0000000       0.0000000    19
0.0000000           0.0000000       1.0000000       0.0000000    20
0.5000000           0.0000000       1.0000000       0.0000000    21
1.0000000           1.0000000       0.0000000       1.0000000    22
1.5000000           1.0000000       0.0000000       0.0000000    23
2.0000000           1.0000000       0.0000000       0.0000000    24
2.5000000           1.0000000       0.0000000       0.0000000    25
3.0000000           1.0000000       0.0000000       0.0000000    26
3.5000000           1.0000000       0.0000000       0.0000000    27
4.0000000           1.0000000       0.0000000       0.0000000    28
4.5000000           1.0000000       0.0000000       0.0000000    29
5.0000000           1.0000000       0.0000000       0.0000000    30
5.5000000           1.0000000       0.0000000       0.0000000    31
6.0000000           1.0000000       0.0000000       0.0000000    32
6.5000000           1.0000000       0.0000000       0.0000000    33
7.0000000           1.0000000       0.0000000       0.0000000    34
7.5000000           1.0000000       0.0000000       0.0000000    35
8.0000000           1.0000000       0.0000000       0.0000000    36
8.5000000           1.0000000       0.0000000       0.0000000    37
9.0000000           1.0000000       0.0000000       0.0000000    38
9.5000000           1.0000000       0.0000000       0.0000000    39
10.0000000          1.0000000       0.0000000       0.0000000    40
10.5000000          1.0000000       0.0000000       0.0000000    41
11.0000000          1.0000000       0.0000000       0.0000000    42
11.5000000          1.0000000       0.0000000       0.0000000    43
12.0000000          1.0000000       0.0000000       0.0000000    44
12.5000000          1.0000000       0.0000000       0.0000000    45
13.0000000          1.0000000       0.0000000       0.0000000    46
13.5000000          1.0000000       0.0000000       0.0000000    47
14.0000000          1.0000000       0.0000000       0.0000000    48
14.5000000          1.0000000       0.0000000       0.0000000    49
15.0000000          1.0000000       0.0000000       0.0000000    50
15.5000000          1.0000000       0.0000000       0.0000000    51
16.0000000          1.0000000       0.0000000       0.0000000    52
16.5000000          1.0000000       0.0000000       0.0000000    53
17.0000000          1.0000000       0.0000000       0.0000000    54
17.5000000          1.0000000       0.0000000       0.0000000    55
18.0000000          1.0000000       0.0000000       0.0000000    56
18.5000000          1.0000000       0.0000000       0.0000000    57
19.0000000          1.0000000       0.0000000       0.0000000    58
19.5000000          1.0000000       0.0000000       0.0000000    59
20.0000000          1.0000000       0.0000000       0.0000000    60
20.5000000          1.0000000       0.0000000       0.0000000    61
21.0000000          1.0000000       0.0000000       0.0000000    62
21.5000000          1.0000000       0.0000000       0.0000000    63
22.0000000          1.0000000       0.0000000       0.0000000    64
22.5000000          1.0000000       0.0000000       0.0000000    65
23.0000000          1.0000000       0.0000000       0.0000000    66
23.5000000          1.0000000       0.0000000       0.0000000    67
24.0000000          1.0000000       0.0000000       0.0000000    68
24.5000000          1.0000000       0.0000000       0.0000000    69
25.0000000          1.0000000       0.0000000       0.0000000    70
25.5000000          1.0000000       0.0000000       0.0000000    71
26.0000000          1.0000000       0.0000000       0.0000000    72
26.5000000          1.0000000       0.0000000       0.0000000    73
27.0000000          1.0000000       0.0000000       0.0000000    74
27.5000000          1.0000000       0.0000000       0.0000000    75
28.0000000          1.0000000       0.0000000       0.0000000    76
28.5000000          1.0000000       0.0000000       0.0000000    77
29.0000000          1.0000000       0.0000000       0.0000000    78
29.5000000          1.0000000       0.0000000       0.0000000    79
30.0000000          1.0000000       0.0000000       0.0000000    80
30.5000000          1.0000000       0.0000000       0.0000000    81
31.0000000          1.0000000       0.0000000       0.0000000    82
31.5000000          1.0000000       0.0000000       0.0000000    83
32.0000000          1.0000000       0.0000000       0.0000000    84
32.5000000          1.0000000       0.0000000       0.0000000    85
33.0000000          1.0000000       0.0000000       0.0000000    86
33.5000000          1.0000000       0.0000000       0.0000000    87
34.0000000          1.0000000       0.0000000       0.0000000    88
34.5000000          1.0000000       0.0000000       0.0000000    89
35.0000000          1.0000000       0.0000000       0.0000000    90
35.5000000          1.0000000       0.0000000       0.0000000    91
36.0000000          1.0000000       0.0000000       0.0000000    92
36.5000000          1.0000000       0.0000000       0.0000000    93
37.0000000          1.0000000       0.0000000       0.0000000    94
37.5000000          1.0000000       0.0000000       0.0000000    95
38.0000000          1.0000000       0.0000000       0.0000000    96
38.5000000          1.0000000       0.0000000       0.0000000    97
39.0000000          1.0000000       0.0000000       0.0000000    98
39.5000000          1.0000000       0.0000000       0.0000000    99
40.0000000          1.0000000       0.0000000       0.0000000   100
# -----------------------------------------------------------
