#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: lte.TxPower
#  Description: Uplink Tx Power distribution
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 4.0000000
#  Maximum: 4.0000000
#  Trials: 48
#  Mean: 4.0000000
# 
#  Variance: 0.0000000
#  Relative variance: 0.0000000
#  Coefficient of variation: 0.0000000
#  Standard deviation: 0.0000000
#  Relative standard deviation: 0.0000000
# 
#  Skewness: 0.0000000
# 
#  2nd moment: 16.0000000
#  3rd moment: 64.0000000
# 
#  Sum of all values: 192.0000000
#  (Sum of all values)^2: 768.0000000
#  (Sum of all values)^3: 3072.0000000
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -110
#  Right border of x-axis: 22
#  Resolution of x-axis: 100
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 3.5248000
#  P02: 3.5296000
#  P03: 3.5344000
#  P04: 3.5392000
#  P05: 3.5440000
#  P06: 3.5488000
#  P07: 3.5536000
#  P08: 3.5584000
#  P09: 3.5632000
#  P10: 3.5680000
#  P11: 3.5728000
#  P12: 3.5776000
#  P13: 3.5824000
#  P14: 3.5872000
#  P15: 3.5920000
#  P16: 3.5968000
#  P17: 3.6016000
#  P18: 3.6064000
#  P19: 3.6112000
#  P20: 3.6160000
#  P21: 3.6208000
#  P22: 3.6256000
#  P23: 3.6304000
#  P24: 3.6352000
#  P25: 3.6400000
#  P26: 3.6448000
#  P27: 3.6496000
#  P28: 3.6544000
#  P29: 3.6592000
#  P30: 3.6640000
#  P31: 3.6688000
#  P32: 3.6736000
#  P33: 3.6784000
#  P34: 3.6832000
#  P35: 3.6880000
#  P36: 3.6928000
#  P37: 3.6976000
#  P38: 3.7024000
#  P39: 3.7072000
#  P40: 3.7120000
#  P41: 3.7168000
#  P42: 3.7216000
#  P43: 3.7264000
#  P44: 3.7312000
#  P45: 3.7360000
#  P46: 3.7408000
#  P47: 3.7456000
#  P48: 3.7504000
#  P49: 3.7552000
#  P50: 3.7600000
#  P51: 3.7648000
#  P52: 3.7696000
#  P53: 3.7744000
#  P54: 3.7792000
#  P55: 3.7840000
#  P56: 3.7888000
#  P57: 3.7936000
#  P58: 3.7984000
#  P59: 3.8032000
#  P60: 3.8080000
#  P61: 3.8128000
#  P62: 3.8176000
#  P63: 3.8224000
#  P64: 3.8272000
#  P65: 3.8320000
#  P66: 3.8368000
#  P67: 3.8416000
#  P68: 3.8464000
#  P69: 3.8512000
#  P70: 3.8560000
#  P71: 3.8608000
#  P72: 3.8656000
#  P73: 3.8704000
#  P74: 3.8752000
#  P75: 3.8800000
#  P76: 3.8848000
#  P77: 3.8896000
#  P78: 3.8944000
#  P79: 3.8992000
#  P80: 3.9040000
#  P81: 3.9088000
#  P82: 3.9136000
#  P83: 3.9184000
#  P84: 3.9232000
#  P85: 3.9280000
#  P86: 3.9328000
#  P87: 3.9376000
#  P88: 3.9424000
#  P89: 3.9472000
#  P90: 3.9520000
#  P91: 3.9568000
#  P92: 3.9616000
#  P93: 3.9664000
#  P94: 3.9712000
#  P95: 3.9760000
#  P96: 3.9808000
#  P97: 3.9856000
#  P98: 3.9904000
#  P99: 3.9952000
#  P100: 4.0000000
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-110.0000000        0.0000000       1.0000000       0.0000000     0
-108.6800000        0.0000000       1.0000000       0.0000000     1
-107.3600000        0.0000000       1.0000000       0.0000000     2
-106.0400000        0.0000000       1.0000000       0.0000000     3
-104.7200000        0.0000000       1.0000000       0.0000000     4
-103.4000000        0.0000000       1.0000000       0.0000000     5
-102.0800000        0.0000000       1.0000000       0.0000000     6
-100.7600000        0.0000000       1.0000000       0.0000000     7
-99.4400000         0.0000000       1.0000000       0.0000000     8
-98.1200000         0.0000000       1.0000000       0.0000000     9
-96.8000000         0.0000000       1.0000000       0.0000000    10
-95.4800000         0.0000000       1.0000000       0.0000000    11
-94.1600000         0.0000000       1.0000000       0.0000000    12
-92.8400000         0.0000000       1.0000000       0.0000000    13
-91.5200000         0.0000000       1.0000000       0.0000000    14
-90.2000000         0.0000000       1.0000000       0.0000000    15
-88.8800000         0.0000000       1.0000000       0.0000000    16
-87.5600000         0.0000000       1.0000000       0.0000000    17
-86.2400000         0.0000000       1.0000000       0.0000000    18
-84.9200000         0.0000000       1.0000000       0.0000000    19
-83.6000000         0.0000000       1.0000000       0.0000000    20
-82.2800000         0.0000000       1.0000000       0.0000000    21
-80.9600000         0.0000000       1.0000000       0.0000000    22
-79.6400000         0.0000000       1.0000000       0.0000000    23
-78.3200000         0.0000000       1.0000000       0.0000000    24
-77.0000000         0.0000000       1.0000000       0.0000000    25
-75.6800000         0.0000000       1.0000000       0.0000000    26
-74.3600000         0.0000000       1.0000000       0.0000000    27
-73.0400000         0.0000000       1.0000000       0.0000000    28
-71.7200000         0.0000000       1.0000000       0.0000000    29
-70.4000000         0.0000000       1.0000000       0.0000000    30
-69.0800000         0.0000000       1.0000000       0.0000000    31
-67.7600000         0.0000000       1.0000000       0.0000000    32
-66.4400000         0.0000000       1.0000000       0.0000000    33
-65.1200000         0.0000000       1.0000000       0.0000000    34
-63.8000000         0.0000000       1.0000000       0.0000000    35
-62.4800000         0.0000000       1.0000000       0.0000000    36
-61.1600000         0.0000000       1.0000000       0.0000000    37
-59.8400000         0.0000000       1.0000000       0.0000000    38
-58.5200000         0.0000000       1.0000000       0.0000000    39
-57.2000000         0.0000000       1.0000000       0.0000000    40
-55.8800000         0.0000000       1.0000000       0.0000000    41
-54.5600000         0.0000000       1.0000000       0.0000000    42
-53.2400000         0.0000000       1.0000000       0.0000000    43
-51.9200000         0.0000000       1.0000000       0.0000000    44
-50.6000000         0.0000000       1.0000000       0.0000000    45
-49.2800000         0.0000000       1.0000000       0.0000000    46
-47.9600000         0.0000000       1.0000000       0.0000000    47
-46.6400000         0.0000000       1.0000000       0.0000000    48
-45.3200000         0.0000000       1.0000000       0.0000000    49
-44.0000000         0.0000000       1.0000000       0.0000000    50
-42.6800000         0.0000000       1.0000000       0.0000000    51
-41.3600000         0.0000000       1.0000000       0.0000000    52
-40.0400000         0.0000000       1.0000000       0.0000000    53
-38.7200000         0.0000000       1.0000000       0.0000000    54
-37.4000000         0.0000000       1.0000000       0.0000000    55
-36.0800000         0.0000000       1.0000000       0.0000000    56
-34.7600000         0.0000000       1.0000000       0.0000000    57
-33.4400000         0.0000000       1.0000000       0.0000000    58
-32.1200000         0.0000000       1.0000000       0.0000000    59
-30.8000000         0.0000000       1.0000000       0.0000000    60
-29.4800000         0.0000000       1.0000000       0.0000000    61
-28.1600000         0.0000000       1.0000000       0.0000000    62
-26.8400000         0.0000000       1.0000000       0.0000000    63
-25.5200000         0.0000000       1.0000000       0.0000000    64
-24.2000000         0.0000000       1.0000000       0.0000000    65
-22.8800000         0.0000000       1.0000000       0.0000000    66
-21.5600000         0.0000000       1.0000000       0.0000000    67
