#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: scheduler.persistentvoip.FrameOccupationFairness
#  Description: Frame Occupation Fairness
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: +infinity
#  Maximum: -infinity
#  Trials: 0
#  Mean: 0.0000000
# 
#  Variance: 0.0000000
#  Relative variance: 0.0000000
#  Coefficient of variation: 0.0000000
#  Standard deviation: 0.0000000
#  Relative standard deviation: 0.0000000
# 
#  Skewness: 0.0000000
# 
#  2nd moment: 0.0000000
#  3rd moment: 0.0000000
# 
#  Sum of all values: 0.0000000
#  (Sum of all values)^2: 0.0000000
#  (Sum of all values)^3: 0.0000000
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 1
#  Resolution of x-axis: 100
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 0.0000000
#  P02: 0.0000000
#  P03: 0.0000000
#  P04: 0.0000000
#  P05: 0.0000000
#  P06: 0.0000000
#  P07: 0.0000000
#  P08: 0.0000000
#  P09: 0.0000000
#  P10: 0.0000000
#  P11: 0.0000000
#  P12: 0.0000000
#  P13: 0.0000000
#  P14: 0.0000000
#  P15: 0.0000000
#  P16: 0.0000000
#  P17: 0.0000000
#  P18: 0.0000000
#  P19: 0.0000000
#  P20: 0.0000000
#  P21: 0.0000000
#  P22: 0.0000000
#  P23: 0.0000000
#  P24: 0.0000000
#  P25: 0.0000000
#  P26: 0.0000000
#  P27: 0.0000000
#  P28: 0.0000000
#  P29: 0.0000000
#  P30: 0.0000000
#  P31: 0.0000000
#  P32: 0.0000000
#  P33: 0.0000000
#  P34: 0.0000000
#  P35: 0.0000000
#  P36: 0.0000000
#  P37: 0.0000000
#  P38: 0.0000000
#  P39: 0.0000000
#  P40: 0.0000000
#  P41: 0.0000000
#  P42: 0.0000000
#  P43: 0.0000000
#  P44: 0.0000000
#  P45: 0.0000000
#  P46: 0.0000000
#  P47: 0.0000000
#  P48: 0.0000000
#  P49: 0.0000000
#  P50: 0.0000000
#  P51: 0.0000000
#  P52: 0.0000000
#  P53: 0.0000000
#  P54: 0.0000000
#  P55: 0.0000000
#  P56: 0.0000000
#  P57: 0.0000000
#  P58: 0.0000000
#  P59: 0.0000000
#  P60: 0.0000000
#  P61: 0.0000000
#  P62: 0.0000000
#  P63: 0.0000000
#  P64: 0.0000000
#  P65: 0.0000000
#  P66: 0.0000000
#  P67: 0.0000000
#  P68: 0.0000000
#  P69: 0.0000000
#  P70: 0.0000000
#  P71: 0.0000000
#  P72: 0.0000000
#  P73: 0.0000000
#  P74: 0.0000000
#  P75: 0.0000000
#  P76: 0.0000000
#  P77: 0.0000000
#  P78: 0.0000000
#  P79: 0.0000000
#  P80: 0.0000000
#  P81: 0.0000000
#  P82: 0.0000000
#  P83: 0.0000000
#  P84: 0.0000000
#  P85: 0.0000000
#  P86: 0.0000000
#  P87: 0.0000000
#  P88: 0.0000000
#  P89: 0.0000000
#  P90: 0.0000000
#  P91: 0.0000000
#  P92: 0.0000000
#  P93: 0.0000000
#  P94: 0.0000000
#  P95: 0.0000000
#  P96: 0.0000000
#  P97: 0.0000000
#  P98: 0.0000000
#  P99: 0.0000000
#  P100: 0.0000000
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
0.0000000           0.0000000       0.0000000       0.0000000     0
0.0100000           0.0000000       0.0000000       0.0000000     1
0.0200000           0.0000000       0.0000000       0.0000000     2
0.0300000           0.0000000       0.0000000       0.0000000     3
0.0400000           0.0000000       0.0000000       0.0000000     4
0.0500000           0.0000000       0.0000000       0.0000000     5
0.0600000           0.0000000       0.0000000       0.0000000     6
0.0700000           0.0000000       0.0000000       0.0000000     7
0.0800000           0.0000000       0.0000000       0.0000000     8
0.0900000           0.0000000       0.0000000       0.0000000     9
0.1000000           0.0000000       0.0000000       0.0000000    10
0.1100000           0.0000000       0.0000000       0.0000000    11
0.1200000           0.0000000       0.0000000       0.0000000    12
0.1300000           0.0000000       0.0000000       0.0000000    13
0.1400000           0.0000000       0.0000000       0.0000000    14
0.1500000           0.0000000       0.0000000       0.0000000    15
0.1600000           0.0000000       0.0000000       0.0000000    16
0.1700000           0.0000000       0.0000000       0.0000000    17
0.1800000           0.0000000       0.0000000       0.0000000    18
0.1900000           0.0000000       0.0000000       0.0000000    19
0.2000000           0.0000000       0.0000000       0.0000000    20
0.2100000           0.0000000       0.0000000       0.0000000    21
0.2200000           0.0000000       0.0000000       0.0000000    22
0.2300000           0.0000000       0.0000000       0.0000000    23
0.2400000           0.0000000       0.0000000       0.0000000    24
0.2500000           0.0000000       0.0000000       0.0000000    25
0.2600000           0.0000000       0.0000000       0.0000000    26
0.2700000           0.0000000       0.0000000       0.0000000    27
0.2800000           0.0000000       0.0000000       0.0000000    28
0.2900000           0.0000000       0.0000000       0.0000000    29
0.3000000           0.0000000       0.0000000       0.0000000    30
0.3100000           0.0000000       0.0000000       0.0000000    31
0.3200000           0.0000000       0.0000000       0.0000000    32
0.3300000           0.0000000       0.0000000       0.0000000    33
0.3400000           0.0000000       0.0000000       0.0000000    34
0.3500000           0.0000000       0.0000000       0.0000000    35
0.3600000           0.0000000       0.0000000       0.0000000    36
0.3700000           0.0000000       0.0000000       0.0000000    37
0.3800000           0.0000000       0.0000000       0.0000000    38
0.3900000           0.0000000       0.0000000       0.0000000    39
0.4000000           0.0000000       0.0000000       0.0000000    40
0.4100000           0.0000000       0.0000000       0.0000000    41
0.4200000           0.0000000       0.0000000       0.0000000    42
0.4300000           0.0000000       0.0000000       0.0000000    43
0.4400000           0.0000000       0.0000000       0.0000000    44
0.4500000           0.0000000       0.0000000       0.0000000    45
0.4600000           0.0000000       0.0000000       0.0000000    46
0.4700000           0.0000000       0.0000000       0.0000000    47
0.4800000           0.0000000       0.0000000       0.0000000    48
0.4900000           0.0000000       0.0000000       0.0000000    49
0.5000000           0.0000000       0.0000000       0.0000000    50
0.5100000           0.0000000       0.0000000       0.0000000    51
0.5200000           0.0000000       0.0000000       0.0000000    52
0.5300000           0.0000000       0.0000000       0.0000000    53
0.5400000           0.0000000       0.0000000       0.0000000    54
0.5500000           0.0000000       0.0000000       0.0000000    55
0.5600000           0.0000000       0.0000000       0.0000000    56
0.5700000           0.0000000       0.0000000       0.0000000    57
0.5800000           0.0000000       0.0000000       0.0000000    58
0.5900000           0.0000000       0.0000000       0.0000000    59
0.6000000           0.0000000       0.0000000       0.0000000    60
0.6100000           0.0000000       0.0000000       0.0000000    61
0.6200000           0.0000000       0.0000000       0.0000000    62
0.6300000           0.0000000       0.0000000       0.0000000    63
0.6400000           0.0000000       0.0000000       0.0000000    64
0.6500000           0.0000000       0.0000000       0.0000000    65
0.6600000           0.0000000       0.0000000       0.0000000    66
0.6700000           0.0000000       0.0000000       0.0000000    67
0.6800000           0.0000000       0.0000000       0.0000000    68
0.6900000           0.0000000       0.0000000       0.0000000    69
0.7000000           0.0000000       0.0000000       0.0000000    70
0.7100000           0.0000000       0.0000000       0.0000000    71
0.7200000           0.0000000       0.0000000       0.0000000    72
0.7300000           0.0000000       0.0000000       0.0000000    73
0.7400000           0.0000000       0.0000000       0.0000000    74
0.7500000           0.0000000       0.0000000       0.0000000    75
0.7600000           0.0000000       0.0000000       0.0000000    76
0.7700000           0.0000000       0.0000000       0.0000000    77
0.7800000           0.0000000       0.0000000       0.0000000    78
0.7900000           0.0000000       0.0000000       0.0000000    79
0.8000000           0.0000000       0.0000000       0.0000000    80
0.8100000           0.0000000       0.0000000       0.0000000    81
0.8200000           0.0000000       0.0000000       0.0000000    82
0.8300000           0.0000000       0.0000000       0.0000000    83
0.8400000           0.0000000       0.0000000       0.0000000    84
0.8500000           0.0000000       0.0000000       0.0000000    85
0.8600000           0.0000000       0.0000000       0.0000000    86
0.8700000           0.0000000       0.0000000       0.0000000    87
0.8800000           0.0000000       0.0000000       0.0000000    88
0.8900000           0.0000000       0.0000000       0.0000000    89
0.9000000           0.0000000       0.0000000       0.0000000    90
0.9100000           0.0000000       0.0000000       0.0000000    91
0.9200000           0.0000000       0.0000000       0.0000000    92
0.9300000           0.0000000       0.0000000       0.0000000    93
0.9400000           0.0000000       0.0000000       0.0000000    94
0.9500000           0.0000000       0.0000000       0.0000000    95
0.9600000           0.0000000       0.0000000       0.0000000    96
0.9700000           0.0000000       0.0000000       0.0000000    97
0.9800000           0.0000000       0.0000000       0.0000000    98
0.9900000           0.0000000       0.0000000       0.0000000    99
1.0000000           0.0000000       0.0000000       0.0000000   100
# -----------------------------------------------------------
