#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: scheduler.persistentvoip.FrameOccupationFairness
#  Description: Frame Occupation Fairness
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 0.0500000
#  Maximum: 0.0900000
#  Trials: 100
#  Mean: 0.0868000
# 
#  Variance: 0.0001189
#  Relative variance: 0.0157879
#  Coefficient of variation: 0.1256497
#  Standard deviation: 0.0109064
#  Relative standard deviation: 0.1256497
# 
#  Skewness: -3.0499532
# 
#  2nd moment: 0.0076520
#  3rd moment: 0.0006807
# 
#  Sum of all values: 8.6800000
#  (Sum of all values)^2: 0.7652000
#  (Sum of all values)^3: 0.0680680
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 1
#  Resolution of x-axis: 100
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 0.0412500
#  P02: 0.0425000
#  P03: 0.0437500
#  P04: 0.0450000
#  P05: 0.0462500
#  P06: 0.0475000
#  P07: 0.0487500
#  P08: 0.0500000
#  P09: 0.0801087
#  P10: 0.0802174
#  P11: 0.0803261
#  P12: 0.0804348
#  P13: 0.0805435
#  P14: 0.0806522
#  P15: 0.0807609
#  P16: 0.0808696
#  P17: 0.0809783
#  P18: 0.0810870
#  P19: 0.0811957
#  P20: 0.0813043
#  P21: 0.0814130
#  P22: 0.0815217
#  P23: 0.0816304
#  P24: 0.0817391
#  P25: 0.0818478
#  P26: 0.0819565
#  P27: 0.0820652
#  P28: 0.0821739
#  P29: 0.0822826
#  P30: 0.0823913
#  P31: 0.0825000
#  P32: 0.0826087
#  P33: 0.0827174
#  P34: 0.0828261
#  P35: 0.0829348
#  P36: 0.0830435
#  P37: 0.0831522
#  P38: 0.0832609
#  P39: 0.0833696
#  P40: 0.0834783
#  P41: 0.0835870
#  P42: 0.0836957
#  P43: 0.0838043
#  P44: 0.0839130
#  P45: 0.0840217
#  P46: 0.0841304
#  P47: 0.0842391
#  P48: 0.0843478
#  P49: 0.0844565
#  P50: 0.0845652
#  P51: 0.0846739
#  P52: 0.0847826
#  P53: 0.0848913
#  P54: 0.0850000
#  P55: 0.0851087
#  P56: 0.0852174
#  P57: 0.0853261
#  P58: 0.0854348
#  P59: 0.0855435
#  P60: 0.0856522
#  P61: 0.0857609
#  P62: 0.0858696
#  P63: 0.0859783
#  P64: 0.0860870
#  P65: 0.0861957
#  P66: 0.0863043
#  P67: 0.0864130
#  P68: 0.0865217
#  P69: 0.0866304
#  P70: 0.0867391
#  P71: 0.0868478
#  P72: 0.0869565
#  P73: 0.0870652
#  P74: 0.0871739
#  P75: 0.0872826
#  P76: 0.0873913
#  P77: 0.0875000
#  P78: 0.0876087
#  P79: 0.0877174
#  P80: 0.0878261
#  P81: 0.0879348
#  P82: 0.0880435
#  P83: 0.0881522
#  P84: 0.0882609
#  P85: 0.0883696
#  P86: 0.0884783
#  P87: 0.0885870
#  P88: 0.0886957
#  P89: 0.0888043
#  P90: 0.0889130
#  P91: 0.0890217
#  P92: 0.0891304
#  P93: 0.0892391
#  P94: 0.0893478
#  P95: 0.0894565
#  P96: 0.0895652
#  P97: 0.0896739
#  P98: 0.0897826
#  P99: 0.0898913
#  P100: 0.0900000
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
0.0000000           0.0000000       1.0000000       0.0000000     0
0.0100000           0.0000000       1.0000000       0.0000000     1
0.0200000           0.0000000       1.0000000       0.0000000     2
0.0300000           0.0000000       1.0000000       0.0000000     3
0.0400000           0.0000000       1.0000000       0.0000000     4
0.0500000           0.0800000       0.9200000       0.0800000     5
0.0600000           0.0800000       0.9200000       0.0000000     6
0.0700000           0.0800000       0.9200000       0.0000000     7
0.0800000           0.0800000       0.9200000       0.0000000     8
0.0900000           1.0000000       0.0000000       0.9200000     9
0.1000000           1.0000000       0.0000000       0.0000000    10
0.1100000           1.0000000       0.0000000       0.0000000    11
0.1200000           1.0000000       0.0000000       0.0000000    12
0.1300000           1.0000000       0.0000000       0.0000000    13
0.1400000           1.0000000       0.0000000       0.0000000    14
0.1500000           1.0000000       0.0000000       0.0000000    15
0.1600000           1.0000000       0.0000000       0.0000000    16
0.1700000           1.0000000       0.0000000       0.0000000    17
0.1800000           1.0000000       0.0000000       0.0000000    18
0.1900000           1.0000000       0.0000000       0.0000000    19
0.2000000           1.0000000       0.0000000       0.0000000    20
0.2100000           1.0000000       0.0000000       0.0000000    21
0.2200000           1.0000000       0.0000000       0.0000000    22
0.2300000           1.0000000       0.0000000       0.0000000    23
0.2400000           1.0000000       0.0000000       0.0000000    24
0.2500000           1.0000000       0.0000000       0.0000000    25
0.2600000           1.0000000       0.0000000       0.0000000    26
0.2700000           1.0000000       0.0000000       0.0000000    27
0.2800000           1.0000000       0.0000000       0.0000000    28
0.2900000           1.0000000       0.0000000       0.0000000    29
0.3000000           1.0000000       0.0000000       0.0000000    30
0.3100000           1.0000000       0.0000000       0.0000000    31
0.3200000           1.0000000       0.0000000       0.0000000    32
0.3300000           1.0000000       0.0000000       0.0000000    33
0.3400000           1.0000000       0.0000000       0.0000000    34
0.3500000           1.0000000       0.0000000       0.0000000    35
0.3600000           1.0000000       0.0000000       0.0000000    36
0.3700000           1.0000000       0.0000000       0.0000000    37
0.3800000           1.0000000       0.0000000       0.0000000    38
0.3900000           1.0000000       0.0000000       0.0000000    39
0.4000000           1.0000000       0.0000000       0.0000000    40
0.4100000           1.0000000       0.0000000       0.0000000    41
0.4200000           1.0000000       0.0000000       0.0000000    42
0.4300000           1.0000000       0.0000000       0.0000000    43
0.4400000           1.0000000       0.0000000       0.0000000    44
0.4500000           1.0000000       0.0000000       0.0000000    45
0.4600000           1.0000000       0.0000000       0.0000000    46
0.4700000           1.0000000       0.0000000       0.0000000    47
0.4800000           1.0000000       0.0000000       0.0000000    48
0.4900000           1.0000000       0.0000000       0.0000000    49
0.5000000           1.0000000       0.0000000       0.0000000    50
0.5100000           1.0000000       0.0000000       0.0000000    51
0.5200000           1.0000000       0.0000000       0.0000000    52
0.5300000           1.0000000       0.0000000       0.0000000    53
0.5400000           1.0000000       0.0000000       0.0000000    54
0.5500000           1.0000000       0.0000000       0.0000000    55
0.5600000           1.0000000       0.0000000       0.0000000    56
0.5700000           1.0000000       0.0000000       0.0000000    57
0.5800000           1.0000000       0.0000000       0.0000000    58
0.5900000           1.0000000       0.0000000       0.0000000    59
0.6000000           1.0000000       0.0000000       0.0000000    60
0.6100000           1.0000000       0.0000000       0.0000000    61
0.6200000           1.0000000       0.0000000       0.0000000    62
0.6300000           1.0000000       0.0000000       0.0000000    63
0.6400000           1.0000000       0.0000000       0.0000000    64
0.6500000           1.0000000       0.0000000       0.0000000    65
0.6600000           1.0000000       0.0000000       0.0000000    66
0.6700000           1.0000000       0.0000000       0.0000000    67
0.6800000           1.0000000       0.0000000       0.0000000    68
0.6900000           1.0000000       0.0000000       0.0000000    69
0.7000000           1.0000000       0.0000000       0.0000000    70
