#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: scheduler.persistentvoip.PersistentConnections
#  Description: Reserved RBs
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 0.0000000
#  Maximum: 1.0000000
#  Trials: 63
#  Mean: 0.8888889
# 
#  Variance: 0.1003584
#  Relative variance: 0.1270161
#  Coefficient of variation: 0.3563932
#  Standard deviation: 0.3167940
#  Relative standard deviation: 0.3563932
# 
#  Skewness: -2.4161826
# 
#  2nd moment: 0.8888889
#  3rd moment: 0.8888889
# 
#  Sum of all values: 56.0000000
#  (Sum of all values)^2: 56.0000000
#  (Sum of all values)^3: 56.0000000
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 100
#  Resolution of x-axis: 100
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: NaN
#  P02: NaN
#  P03: NaN
#  P04: NaN
#  P05: NaN
#  P06: NaN
#  P07: NaN
#  P08: NaN
#  P09: NaN
#  P10: NaN
#  P11: NaN
#  P12: 0.0100000
#  P13: 0.0212500
#  P14: 0.0325000
#  P15: 0.0437500
#  P16: 0.0550000
#  P17: 0.0662500
#  P18: 0.0775000
#  P19: 0.0887500
#  P20: 0.1000000
#  P21: 0.1112500
#  P22: 0.1225000
#  P23: 0.1337500
#  P24: 0.1450000
#  P25: 0.1562500
#  P26: 0.1675000
#  P27: 0.1787500
#  P28: 0.1900000
#  P29: 0.2012500
#  P30: 0.2125000
#  P31: 0.2237500
#  P32: 0.2350000
#  P33: 0.2462500
#  P34: 0.2575000
#  P35: 0.2687500
#  P36: 0.2800000
#  P37: 0.2912500
#  P38: 0.3025000
#  P39: 0.3137500
#  P40: 0.3250000
#  P41: 0.3362500
#  P42: 0.3475000
#  P43: 0.3587500
#  P44: 0.3700000
#  P45: 0.3812500
#  P46: 0.3925000
#  P47: 0.4037500
#  P48: 0.4150000
#  P49: 0.4262500
#  P50: 0.4375000
#  P51: 0.4487500
#  P52: 0.4600000
#  P53: 0.4712500
#  P54: 0.4825000
#  P55: 0.4937500
#  P56: 0.5050000
#  P57: 0.5162500
#  P58: 0.5275000
#  P59: 0.5387500
#  P60: 0.5500000
#  P61: 0.5612500
#  P62: 0.5725000
#  P63: 0.5837500
#  P64: 0.5950000
#  P65: 0.6062500
#  P66: 0.6175000
#  P67: 0.6287500
#  P68: 0.6400000
#  P69: 0.6512500
#  P70: 0.6625000
#  P71: 0.6737500
#  P72: 0.6850000
#  P73: 0.6962500
#  P74: 0.7075000
#  P75: 0.7187500
#  P76: 0.7300000
#  P77: 0.7412500
#  P78: 0.7525000
#  P79: 0.7637500
#  P80: 0.7750000
#  P81: 0.7862500
#  P82: 0.7975000
#  P83: 0.8087500
#  P84: 0.8200000
#  P85: 0.8312500
#  P86: 0.8425000
#  P87: 0.8537500
#  P88: 0.8650000
#  P89: 0.8762500
#  P90: 0.8875000
#  P91: 0.8987500
#  P92: 0.9100000
#  P93: 0.9212500
#  P94: 0.9325000
#  P95: 0.9437500
#  P96: 0.9550000
#  P97: 0.9662500
#  P98: 0.9775000
#  P99: 0.9887500
#  P100: 1.0000000
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
0.0000000           0.1111111       0.8888889       0.1111111     0
1.0000000           1.0000000       0.0000000       0.8888889     1
2.0000000           1.0000000       0.0000000       0.0000000     2
3.0000000           1.0000000       0.0000000       0.0000000     3
4.0000000           1.0000000       0.0000000       0.0000000     4
5.0000000           1.0000000       0.0000000       0.0000000     5
6.0000000           1.0000000       0.0000000       0.0000000     6
7.0000000           1.0000000       0.0000000       0.0000000     7
8.0000000           1.0000000       0.0000000       0.0000000     8
9.0000000           1.0000000       0.0000000       0.0000000     9
10.0000000          1.0000000       0.0000000       0.0000000    10
11.0000000          1.0000000       0.0000000       0.0000000    11
12.0000000          1.0000000       0.0000000       0.0000000    12
13.0000000          1.0000000       0.0000000       0.0000000    13
14.0000000          1.0000000       0.0000000       0.0000000    14
15.0000000          1.0000000       0.0000000       0.0000000    15
16.0000000          1.0000000       0.0000000       0.0000000    16
17.0000000          1.0000000       0.0000000       0.0000000    17
18.0000000          1.0000000       0.0000000       0.0000000    18
19.0000000          1.0000000       0.0000000       0.0000000    19
20.0000000          1.0000000       0.0000000       0.0000000    20
21.0000000          1.0000000       0.0000000       0.0000000    21
22.0000000          1.0000000       0.0000000       0.0000000    22
23.0000000          1.0000000       0.0000000       0.0000000    23
24.0000000          1.0000000       0.0000000       0.0000000    24
25.0000000          1.0000000       0.0000000       0.0000000    25
26.0000000          1.0000000       0.0000000       0.0000000    26
27.0000000          1.0000000       0.0000000       0.0000000    27
28.0000000          1.0000000       0.0000000       0.0000000    28
29.0000000          1.0000000       0.0000000       0.0000000    29
30.0000000          1.0000000       0.0000000       0.0000000    30
31.0000000          1.0000000       0.0000000       0.0000000    31
32.0000000          1.0000000       0.0000000       0.0000000    32
33.0000000          1.0000000       0.0000000       0.0000000    33
34.0000000          1.0000000       0.0000000       0.0000000    34
35.0000000          1.0000000       0.0000000       0.0000000    35
36.0000000          1.0000000       0.0000000       0.0000000    36
37.0000000          1.0000000       0.0000000       0.0000000    37
38.0000000          1.0000000       0.0000000       0.0000000    38
39.0000000          1.0000000       0.0000000       0.0000000    39
40.0000000          1.0000000       0.0000000       0.0000000    40
41.0000000          1.0000000       0.0000000       0.0000000    41
42.0000000          1.0000000       0.0000000       0.0000000    42
43.0000000          1.0000000       0.0000000       0.0000000    43
44.0000000          1.0000000       0.0000000       0.0000000    44
45.0000000          1.0000000       0.0000000       0.0000000    45
46.0000000          1.0000000       0.0000000       0.0000000    46
47.0000000          1.0000000       0.0000000       0.0000000    47
48.0000000          1.0000000       0.0000000       0.0000000    48
49.0000000          1.0000000       0.0000000       0.0000000    49
50.0000000          1.0000000       0.0000000       0.0000000    50
51.0000000          1.0000000       0.0000000       0.0000000    51
52.0000000          1.0000000       0.0000000       0.0000000    52
53.0000000          1.0000000       0.0000000       0.0000000    53
54.0000000          1.0000000       0.0000000       0.0000000    54
55.0000000          1.0000000       0.0000000       0.0000000    55
56.0000000          1.0000000       0.0000000       0.0000000    56
57.0000000          1.0000000       0.0000000       0.0000000    57
58.0000000          1.0000000       0.0000000       0.0000000    58
59.0000000          1.0000000       0.0000000       0.0000000    59
60.0000000          1.0000000       0.0000000       0.0000000    60
61.0000000          1.0000000       0.0000000       0.0000000    61
62.0000000          1.0000000       0.0000000       0.0000000    62
63.0000000          1.0000000       0.0000000       0.0000000    63
64.0000000          1.0000000       0.0000000       0.0000000    64
65.0000000          1.0000000       0.0000000       0.0000000    65
66.0000000          1.0000000       0.0000000       0.0000000    66
67.0000000          1.0000000       0.0000000       0.0000000    67
68.0000000          1.0000000       0.0000000       0.0000000    68
69.0000000          1.0000000       0.0000000       0.0000000    69
70.0000000          1.0000000       0.0000000       0.0000000    70
71.0000000          1.0000000       0.0000000       0.0000000    71
72.0000000          1.0000000       0.0000000       0.0000000    72
73.0000000          1.0000000       0.0000000       0.0000000    73
74.0000000          1.0000000       0.0000000       0.0000000    74
75.0000000          1.0000000       0.0000000       0.0000000    75
76.0000000          1.0000000       0.0000000       0.0000000    76
77.0000000          1.0000000       0.0000000       0.0000000    77
78.0000000          1.0000000       0.0000000       0.0000000    78
79.0000000          1.0000000       0.0000000       0.0000000    79
80.0000000          1.0000000       0.0000000       0.0000000    80
81.0000000          1.0000000       0.0000000       0.0000000    81
82.0000000          1.0000000       0.0000000       0.0000000    82
