#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: scheduler.persistentvoip.PersistentConnections
#  Description: Reserved RBs
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 0.0000000
#  Maximum: 1.0000000
#  Trials: 55
#  Mean: 0.8909091
# 
#  Variance: 0.0989899
#  Relative variance: 0.1247166
#  Coefficient of variation: 0.3531523
#  Standard deviation: 0.3146266
#  Relative standard deviation: 0.3531523
# 
#  Skewness: -2.4397279
# 
#  2nd moment: 0.8909091
#  3rd moment: 0.8909091
# 
#  Sum of all values: 49.0000000
#  (Sum of all values)^2: 49.0000000
#  (Sum of all values)^3: 49.0000000
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 100
#  Resolution of x-axis: 100
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: NaN
#  P02: NaN
#  P03: NaN
#  P04: NaN
#  P05: NaN
#  P06: NaN
#  P07: NaN
#  P08: NaN
#  P09: NaN
#  P10: NaN
#  P11: 0.0010204
#  P12: 0.0122449
#  P13: 0.0234694
#  P14: 0.0346939
#  P15: 0.0459184
#  P16: 0.0571429
#  P17: 0.0683673
#  P18: 0.0795918
#  P19: 0.0908163
#  P20: 0.1020408
#  P21: 0.1132653
#  P22: 0.1244898
#  P23: 0.1357143
#  P24: 0.1469388
#  P25: 0.1581633
#  P26: 0.1693878
#  P27: 0.1806122
#  P28: 0.1918367
#  P29: 0.2030612
#  P30: 0.2142857
#  P31: 0.2255102
#  P32: 0.2367347
#  P33: 0.2479592
#  P34: 0.2591837
#  P35: 0.2704082
#  P36: 0.2816327
#  P37: 0.2928571
#  P38: 0.3040816
#  P39: 0.3153061
#  P40: 0.3265306
#  P41: 0.3377551
#  P42: 0.3489796
#  P43: 0.3602041
#  P44: 0.3714286
#  P45: 0.3826531
#  P46: 0.3938776
#  P47: 0.4051020
#  P48: 0.4163265
#  P49: 0.4275510
#  P50: 0.4387755
#  P51: 0.4500000
#  P52: 0.4612245
#  P53: 0.4724490
#  P54: 0.4836735
#  P55: 0.4948980
#  P56: 0.5061224
#  P57: 0.5173469
#  P58: 0.5285714
#  P59: 0.5397959
#  P60: 0.5510204
#  P61: 0.5622449
#  P62: 0.5734694
#  P63: 0.5846939
#  P64: 0.5959184
#  P65: 0.6071429
#  P66: 0.6183673
#  P67: 0.6295918
#  P68: 0.6408163
#  P69: 0.6520408
#  P70: 0.6632653
#  P71: 0.6744898
#  P72: 0.6857143
#  P73: 0.6969388
#  P74: 0.7081633
#  P75: 0.7193878
#  P76: 0.7306122
#  P77: 0.7418367
#  P78: 0.7530612
#  P79: 0.7642857
#  P80: 0.7755102
#  P81: 0.7867347
#  P82: 0.7979592
#  P83: 0.8091837
#  P84: 0.8204082
#  P85: 0.8316327
#  P86: 0.8428571
#  P87: 0.8540816
#  P88: 0.8653061
#  P89: 0.8765306
#  P90: 0.8877551
#  P91: 0.8989796
#  P92: 0.9102041
#  P93: 0.9214286
#  P94: 0.9326531
#  P95: 0.9438776
#  P96: 0.9551020
#  P97: 0.9663265
#  P98: 0.9775510
#  P99: 0.9887755
#  P100: 1.0000000
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
0.0000000           0.1090909       0.8909091       0.1090909     0
1.0000000           1.0000000       0.0000000       0.8909091     1
2.0000000           1.0000000       0.0000000       0.0000000     2
3.0000000           1.0000000       0.0000000       0.0000000     3
4.0000000           1.0000000       0.0000000       0.0000000     4
5.0000000           1.0000000       0.0000000       0.0000000     5
6.0000000           1.0000000       0.0000000       0.0000000     6
7.0000000           1.0000000       0.0000000       0.0000000     7
8.0000000           1.0000000       0.0000000       0.0000000     8
9.0000000           1.0000000       0.0000000       0.0000000     9
10.0000000          1.0000000       0.0000000       0.0000000    10
11.0000000          1.0000000       0.0000000       0.0000000    11
12.0000000          1.0000000       0.0000000       0.0000000    12
13.0000000          1.0000000       0.0000000       0.0000000    13
14.0000000          1.0000000       0.0000000       0.0000000    14
15.0000000          1.0000000       0.0000000       0.0000000    15
16.0000000          1.0000000       0.0000000       0.0000000    16
17.0000000          1.0000000       0.0000000       0.0000000    17
18.0000000          1.0000000       0.0000000       0.0000000    18
19.0000000          1.0000000       0.0000000       0.0000000    19
20.0000000          1.0000000       0.0000000       0.0000000    20
21.0000000          1.0000000       0.0000000       0.0000000    21
22.0000000          1.0000000       0.0000000       0.0000000    22
23.0000000          1.0000000       0.0000000       0.0000000    23
24.0000000          1.0000000       0.0000000       0.0000000    24
25.0000000          1.0000000       0.0000000       0.0000000    25
26.0000000          1.0000000       0.0000000       0.0000000    26
27.0000000          1.0000000       0.0000000       0.0000000    27
28.0000000          1.0000000       0.0000000       0.0000000    28
29.0000000          1.0000000       0.0000000       0.0000000    29
30.0000000          1.0000000       0.0000000       0.0000000    30
31.0000000          1.0000000       0.0000000       0.0000000    31
32.0000000          1.0000000       0.0000000       0.0000000    32
33.0000000          1.0000000       0.0000000       0.0000000    33
34.0000000          1.0000000       0.0000000       0.0000000    34
35.0000000          1.0000000       0.0000000       0.0000000    35
36.0000000          1.0000000       0.0000000       0.0000000    36
37.0000000          1.0000000       0.0000000       0.0000000    37
38.0000000          1.0000000       0.0000000       0.0000000    38
39.0000000          1.0000000       0.0000000       0.0000000    39
40.0000000          1.0000000       0.0000000       0.0000000    40
41.0000000          1.0000000       0.0000000       0.0000000    41
42.0000000          1.0000000       0.0000000       0.0000000    42
43.0000000          1.0000000       0.0000000       0.0000000    43
44.0000000          1.0000000       0.0000000       0.0000000    44
45.0000000          1.0000000       0.0000000       0.0000000    45
46.0000000          1.0000000       0.0000000       0.0000000    46
47.0000000          1.0000000       0.0000000       0.0000000    47
48.0000000          1.0000000       0.0000000       0.0000000    48
49.0000000          1.0000000       0.0000000       0.0000000    49
50.0000000          1.0000000       0.0000000       0.0000000    50
51.0000000          1.0000000       0.0000000       0.0000000    51
52.0000000          1.0000000       0.0000000       0.0000000    52
53.0000000          1.0000000       0.0000000       0.0000000    53
54.0000000          1.0000000       0.0000000       0.0000000    54
55.0000000          1.0000000       0.0000000       0.0000000    55
56.0000000          1.0000000       0.0000000       0.0000000    56
57.0000000          1.0000000       0.0000000       0.0000000    57
58.0000000          1.0000000       0.0000000       0.0000000    58
59.0000000          1.0000000       0.0000000       0.0000000    59
60.0000000          1.0000000       0.0000000       0.0000000    60
61.0000000          1.0000000       0.0000000       0.0000000    61
62.0000000          1.0000000       0.0000000       0.0000000    62
63.0000000          1.0000000       0.0000000       0.0000000    63
64.0000000          1.0000000       0.0000000       0.0000000    64
65.0000000          1.0000000       0.0000000       0.0000000    65
66.0000000          1.0000000       0.0000000       0.0000000    66
67.0000000          1.0000000       0.0000000       0.0000000    67
68.0000000          1.0000000       0.0000000       0.0000000    68
69.0000000          1.0000000       0.0000000       0.0000000    69
70.0000000          1.0000000       0.0000000       0.0000000    70
71.0000000          1.0000000       0.0000000       0.0000000    71
72.0000000          1.0000000       0.0000000       0.0000000    72
73.0000000          1.0000000       0.0000000       0.0000000    73
74.0000000          1.0000000       0.0000000       0.0000000    74
75.0000000          1.0000000       0.0000000       0.0000000    75
76.0000000          1.0000000       0.0000000       0.0000000    76
77.0000000          1.0000000       0.0000000       0.0000000    77
78.0000000          1.0000000       0.0000000       0.0000000    78
79.0000000          1.0000000       0.0000000       0.0000000    79
80.0000000          1.0000000       0.0000000       0.0000000    80
