#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: scheduler.persistentvoip.dynPDUSize
#  Description: Dynamic PDU Size
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 168.0000000
#  Maximum: 368.0000000
#  Trials: 7
#  Mean: 225.1428571
# 
#  Variance: 9523.8095238
#  Relative variance: 0.1878860
#  Coefficient of variation: 0.4334582
#  Standard deviation: 97.5900073
#  Relative standard deviation: 0.4334582
# 
#  Skewness: 0.7528372
# 
#  2nd moment: 58852.5714286
#  3rd moment: 17625746.2857143
# 
#  Sum of all values: 1576.0000000
#  (Sum of all values)^2: 411968.0000000
#  (Sum of all values)^3: 123380224.0000000
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 2000
#  Resolution of x-axis: 1000
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 166.0280000
#  P02: 166.0560000
#  P03: 166.0840000
#  P04: 166.1120000
#  P05: 166.1400000
#  P06: 166.1680000
#  P07: 166.1960000
#  P08: 166.2240000
#  P09: 166.2520000
#  P10: 166.2800000
#  P11: 166.3080000
#  P12: 166.3360000
#  P13: 166.3640000
#  P14: 166.3920000
#  P15: 166.4200000
#  P16: 166.4480000
#  P17: 166.4760000
#  P18: 166.5040000
#  P19: 166.5320000
#  P20: 166.5600000
#  P21: 166.5880000
#  P22: 166.6160000
#  P23: 166.6440000
#  P24: 166.6720000
#  P25: 166.7000000
#  P26: 166.7280000
#  P27: 166.7560000
#  P28: 166.7840000
#  P29: 166.8120000
#  P30: 166.8400000
#  P31: 166.8680000
#  P32: 166.8960000
#  P33: 166.9240000
#  P34: 166.9520000
#  P35: 166.9800000
#  P36: 167.0080000
#  P37: 167.0360000
#  P38: 167.0640000
#  P39: 167.0920000
#  P40: 167.1200000
#  P41: 167.1480000
#  P42: 167.1760000
#  P43: 167.2040000
#  P44: 167.2320000
#  P45: 167.2600000
#  P46: 167.2880000
#  P47: 167.3160000
#  P48: 167.3440000
#  P49: 167.3720000
#  P50: 167.4000000
#  P51: 167.4280000
#  P52: 167.4560000
#  P53: 167.4840000
#  P54: 167.5120000
#  P55: 167.5400000
#  P56: 167.5680000
#  P57: 167.5960000
#  P58: 167.6240000
#  P59: 167.6520000
#  P60: 167.6800000
#  P61: 167.7080000
#  P62: 167.7360000
#  P63: 167.7640000
#  P64: 167.7920000
#  P65: 167.8200000
#  P66: 167.8480000
#  P67: 167.8760000
#  P68: 167.9040000
#  P69: 167.9320000
#  P70: 167.9600000
#  P71: 167.9880000
#  P72: 366.0400000
#  P73: 366.1100000
#  P74: 366.1800000
#  P75: 366.2500000
#  P76: 366.3200000
#  P77: 366.3900000
#  P78: 366.4600000
#  P79: 366.5300000
#  P80: 366.6000000
#  P81: 366.6700000
#  P82: 366.7400000
#  P83: 366.8100000
#  P84: 366.8800000
#  P85: 366.9500000
#  P86: 367.0200000
#  P87: 367.0900000
#  P88: 367.1600000
#  P89: 367.2300000
#  P90: 367.3000000
#  P91: 367.3700000
#  P92: 367.4400000
#  P93: 367.5100000
#  P94: 367.5800000
#  P95: 367.6500000
#  P96: 367.7200000
#  P97: 367.7900000
#  P98: 367.8600000
#  P99: 367.9300000
#  P100: 368.0000000
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
0.0000000           0.0000000       1.0000000       0.0000000     0
2.0000000           0.0000000       1.0000000       0.0000000     1
4.0000000           0.0000000       1.0000000       0.0000000     2
6.0000000           0.0000000       1.0000000       0.0000000     3
8.0000000           0.0000000       1.0000000       0.0000000     4
10.0000000          0.0000000       1.0000000       0.0000000     5
12.0000000          0.0000000       1.0000000       0.0000000     6
14.0000000          0.0000000       1.0000000       0.0000000     7
16.0000000          0.0000000       1.0000000       0.0000000     8
18.0000000          0.0000000       1.0000000       0.0000000     9
20.0000000          0.0000000       1.0000000       0.0000000    10
22.0000000          0.0000000       1.0000000       0.0000000    11
24.0000000          0.0000000       1.0000000       0.0000000    12
26.0000000          0.0000000       1.0000000       0.0000000    13
28.0000000          0.0000000       1.0000000       0.0000000    14
30.0000000          0.0000000       1.0000000       0.0000000    15
32.0000000          0.0000000       1.0000000       0.0000000    16
34.0000000          0.0000000       1.0000000       0.0000000    17
36.0000000          0.0000000       1.0000000       0.0000000    18
38.0000000          0.0000000       1.0000000       0.0000000    19
40.0000000          0.0000000       1.0000000       0.0000000    20
42.0000000          0.0000000       1.0000000       0.0000000    21
44.0000000          0.0000000       1.0000000       0.0000000    22
46.0000000          0.0000000       1.0000000       0.0000000    23
48.0000000          0.0000000       1.0000000       0.0000000    24
50.0000000          0.0000000       1.0000000       0.0000000    25
52.0000000          0.0000000       1.0000000       0.0000000    26
54.0000000          0.0000000       1.0000000       0.0000000    27
56.0000000          0.0000000       1.0000000       0.0000000    28
58.0000000          0.0000000       1.0000000       0.0000000    29
60.0000000          0.0000000       1.0000000       0.0000000    30
62.0000000          0.0000000       1.0000000       0.0000000    31
64.0000000          0.0000000       1.0000000       0.0000000    32
66.0000000          0.0000000       1.0000000       0.0000000    33
68.0000000          0.0000000       1.0000000       0.0000000    34
70.0000000          0.0000000       1.0000000       0.0000000    35
72.0000000          0.0000000       1.0000000       0.0000000    36
74.0000000          0.0000000       1.0000000       0.0000000    37
76.0000000          0.0000000       1.0000000       0.0000000    38
78.0000000          0.0000000       1.0000000       0.0000000    39
80.0000000          0.0000000       1.0000000       0.0000000    40
82.0000000          0.0000000       1.0000000       0.0000000    41
84.0000000          0.0000000       1.0000000       0.0000000    42
86.0000000          0.0000000       1.0000000       0.0000000    43
88.0000000          0.0000000       1.0000000       0.0000000    44
90.0000000          0.0000000       1.0000000       0.0000000    45
92.0000000          0.0000000       1.0000000       0.0000000    46
94.0000000          0.0000000       1.0000000       0.0000000    47
96.0000000          0.0000000       1.0000000       0.0000000    48
98.0000000          0.0000000       1.0000000       0.0000000    49
100.0000000         0.0000000       1.0000000       0.0000000    50
102.0000000         0.0000000       1.0000000       0.0000000    51
104.0000000         0.0000000       1.0000000       0.0000000    52
106.0000000         0.0000000       1.0000000       0.0000000    53
108.0000000         0.0000000       1.0000000       0.0000000    54
110.0000000         0.0000000       1.0000000       0.0000000    55
112.0000000         0.0000000       1.0000000       0.0000000    56
114.0000000         0.0000000       1.0000000       0.0000000    57
116.0000000         0.0000000       1.0000000       0.0000000    58
118.0000000         0.0000000       1.0000000       0.0000000    59
120.0000000         0.0000000       1.0000000       0.0000000    60
122.0000000         0.0000000       1.0000000       0.0000000    61
124.0000000         0.0000000       1.0000000       0.0000000    62
126.0000000         0.0000000       1.0000000       0.0000000    63
128.0000000         0.0000000       1.0000000       0.0000000    64
130.0000000         0.0000000       1.0000000       0.0000000    65
132.0000000         0.0000000       1.0000000       0.0000000    66
134.0000000         0.0000000       1.0000000       0.0000000    67
136.0000000         0.0000000       1.0000000       0.0000000    68
138.0000000         0.0000000       1.0000000       0.0000000    69
140.0000000         0.0000000       1.0000000       0.0000000    70
